Time(s),Density,CongestionFactor(1-10),ExpectedTravelTime_ETT,Weight_wij,TTL,ProactiveTriggered(0/1),MaintenanceTriggered(0/1),ReactiveTriggered(0/1),PacketsTx_cum,PacketCollisions_cum,PacketsLost_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,0.403,5,62.125,310.625,3,1,0,0,61,2,0,621.26,125.326,10.059
2,0.415,5,82.112,410.561,3,0,0,0,97,3,0,610.359,126.752,20.416
3,0.377,4,98.855,395.419,2,0,0,0,132,4,0,614.208,115.667,29.804
4,0.431,5,36.251,181.256,3,0,0,0,169,5,0,654.519,141.094,40.557
5,0.385,4,110.048,440.191,2,0,0,0,204,6,0,614.847,118.331,50.152
6,0.452,5,64.016,320.079,3,0,0,0,242,7,0,632.507,142.864,61.42
7,0.431,5,84.496,422.478,3,0,0,0,279,8,0,641.649,138.409,72.179
8,0.376,4,61.68,246.721,2,0,0,0,314,9,0,619.423,116.573,81.561
9,0.417,5,99.743,498.716,3,0,0,0,350,10,0,626.53,130.686,91.964
10,0.412,5,69.262,346.312,3,0,1,0,386,11,0,613.748,126.402,102.235
11,0.44,5,102.023,510.116,3,0,0,0,423,12,0,655.164,144.173,113.212
12,0.367,4,99.152,396.607,2,0,0,0,457,13,0,607.407,111.574,122.368
13,0.415,5,35.693,178.463,3,0,0,0,493,14,0,645.968,134.02,132.715
14,0.372,4,63.035,252.142,2,0,0,0,527,15,0,622.741,115.762,141.981
15,0.404,5,24.595,122.977,3,0,0,0,563,16,0,631.003,127.474,152.055
16,0.454,5,31.66,158.299,3,0,0,0,601,17,0,646.453,146.644,163.372
17,0.433,5,30.04,150.198,3,0,0,0,638,18,0,641.641,138.889,174.169
18,0.405,5,23.13,115.648,3,0,0,0,674,19,0,641.222,129.774,184.261
19,0.46,5,116.629,583.144,3,0,0,0,712,20,0,663.259,152.554,195.737
20,0.451,5,86.831,434.157,3,0,1,0,750,21,0,664.924,149.913,206.985
21,0.419,5,110.444,552.22,3,1,0,0,811,23,0,635.819,133.109,217.426
22,0.411,5,73.604,368.018,3,0,0,0,847,24,0,630.939,129.74,227.681
23,0.448,5,102.316,511.578,3,1,0,0,909,26,0,661.747,148.093,238.845
24,0.466,5,43.294,216.468,3,1,0,0,972,28,0,643.303,149.821,250.465
25,0.424,5,46.125,230.623,3,1,0,0,1033,30,0,643.815,136.416,261.033
26,0.429,5,86.805,434.023,3,0,0,0,1070,31,0,636.899,136.592,271.73
27,0.397,5,115.089,575.444,3,1,0,0,1130,33,0,614.078,121.844,281.624
28,0.445,5,46.649,233.244,3,1,0,0,1192,35,0,643.142,143.0,292.716
29,0.39,5,88.027,440.134,3,0,0,0,1227,36,0,625.455,121.869,302.431
30,0.484,5,67.66,338.3,3,0,1,0,1266,37,0,669.537,162.137,314.515
31,0.435,5,66.408,332.038,3,0,0,0,1303,38,0,636.731,138.462,325.362
32,0.406,5,117.603,588.014,3,1,0,0,1364,40,0,615.698,125.015,335.487
33,0.412,5,76.86,384.301,3,1,0,1,1425,42,0,612.304,126.039,345.753
34,0.441,5,54.888,274.438,3,1,0,0,1487,44,0,625.238,137.95,356.759
35,0.483,5,56.532,282.661,3,0,0,0,1526,45,0,656.466,158.402,368.8
36,0.469,5,70.793,353.966,3,0,0,0,1564,46,0,650.148,152.431,380.498
37,0.465,5,47.522,237.611,3,0,0,0,1602,47,0,673.935,156.711,392.1
38,0.499,5,86.368,431.839,3,0,0,0,1641,48,0,674.738,168.291,404.548
39,0.5,5,43.734,218.668,3,0,0,0,1680,49,0,663.18,165.684,417.016
40,0.415,5,26.047,130.235,3,0,1,0,1716,50,0,645.991,134.041,427.364
41,0.431,5,96.447,482.236,3,0,0,0,1753,51,0,624.451,134.615,438.117
42,0.497,5,97.966,489.828,3,0,0,0,1792,52,0,663.429,164.87,450.519
43,0.451,5,22.881,114.406,3,1,0,0,1855,54,0,629.154,141.805,461.764
44,0.455,5,25.413,127.066,3,0,0,0,1893,55,0,638.04,145.001,473.102
45,0.423,5,20.231,101.154,3,0,0,1,1929,56,0,618.509,130.847,483.653
46,0.445,5,109.547,547.737,3,0,0,0,1966,57,0,658.502,146.504,494.752
47,0.426,5,70.23,351.148,3,0,0,1,2003,58,0,645.755,137.482,505.37
48,0.486,5,85.366,426.831,3,0,0,0,2042,59,0,680.836,165.467,517.498
49,0.476,5,113.176,565.882,3,0,0,0,2081,60,0,665.013,158.313,529.377
50,0.446,5,86.989,434.947,3,0,1,0,2118,61,0,640.835,143.001,540.509
51,0.508,6,82.424,494.546,3,0,0,0,2158,63,0,699.039,177.699,553.197
52,0.518,6,27.774,166.647,3,1,0,0,2223,66,0,686.749,177.924,566.128
53,0.475,5,85.001,425.007,3,0,0,0,2261,67,0,647.16,153.623,577.973
