Time(s),Density,CongestionFactor(1-10),ExpectedTravelTime_ETT,Weight_wij,TTL,ProactiveTriggered(0/1),MaintenanceTriggered(0/1),ReactiveTriggered(0/1),PacketsTx_cum,PacketCollisions_cum,PacketsLost_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,0.431,5,25.863,129.313,3,0,0,0,37,1,0,620.717,133.773,10.75
2,0.443,5,98.59,492.948,3,0,0,0,74,2,0,649.598,143.878,21.799
3,0.394,5,77.211,386.055,3,0,0,0,109,3,0,626.284,123.435,31.626
4,0.426,5,112.217,561.086,3,0,0,0,146,4,0,643.951,137.259,42.257
5,0.376,4,70.198,280.791,2,0,0,0,181,5,0,587.324,110.291,51.618
6,0.446,5,83.629,418.146,3,0,0,0,218,6,0,659.782,147.116,62.742
7,0.385,4,79.286,317.144,2,0,0,0,253,7,0,607.388,116.899,72.337
8,0.392,5,36.614,183.072,3,1,0,0,313,9,0,619.674,121.322,82.099
9,0.363,4,77.938,311.75,2,0,0,0,347,10,0,616.732,111.886,91.141
10,0.448,5,73.87,369.352,3,0,1,0,384,11,0,627.862,140.596,102.312
11,0.402,5,38.223,191.114,3,0,0,0,420,12,0,615.231,123.669,112.336
12,0.453,5,24.123,120.614,3,1,0,0,483,14,0,643.346,145.613,123.627
13,0.37,4,87.056,348.225,2,0,0,0,517,15,0,588.559,108.841,132.845
14,0.381,4,67.496,269.985,2,0,0,0,552,16,0,622.802,118.71,142.348
15,0.38,4,110.015,440.06,2,0,0,0,587,17,0,597.095,113.469,151.822
16,0.428,5,109.543,547.715,3,1,0,0,649,19,0,636.277,136.009,162.483
17,0.421,5,98.467,492.333,3,0,0,0,685,20,0,624.575,131.37,172.974
18,0.414,5,70.243,351.215,3,0,0,0,721,21,0,640.144,132.378,183.287
19,0.467,5,32.619,163.093,3,1,0,0,784,23,0,668.07,155.908,194.931
20,0.403,5,108.295,541.477,3,0,1,0,820,24,0,606.004,121.986,204.968
21,0.388,4,106.565,426.258,2,0,0,0,855,25,0,629.082,122.083,214.644
22,0.4,5,66.696,333.48,3,0,0,0,891,26,0,604.924,121.001,224.618
23,0.387,4,109.008,436.032,2,0,0,0,926,27,0,619.47,119.956,234.273
24,0.462,5,26.347,131.734,3,1,0,0,989,29,0,660.252,152.65,245.808
25,0.428,5,34.03,170.152,3,1,0,0,1051,31,0,640.242,137.111,256.49
26,0.43,5,83.315,416.576,3,0,0,0,1088,32,0,626.878,134.834,267.218
27,0.476,5,116.4,582.0,3,0,0,0,1127,33,0,659.277,156.921,279.095
28,0.401,5,72.439,362.194,3,0,0,0,1163,34,0,608.878,121.968,289.083
29,0.399,5,116.157,580.787,3,0,0,0,1198,35,0,628.406,125.422,299.036
30,0.48,5,97.16,485.8,3,0,1,0,1237,36,0,650.457,156.2,311.019
31,0.446,5,47.964,239.82,3,0,0,0,1274,37,0,659.308,147.147,322.152
32,0.394,5,31.849,159.246,3,0,0,0,1309,38,0,608.669,119.818,331.968
33,0.455,5,57.129,285.644,3,0,0,0,1347,39,0,650.453,147.995,343.319
34,0.467,5,64.678,323.388,3,0,0,0,1385,40,0,645.756,150.864,354.976
35,0.451,5,109.066,545.328,3,0,0,0,1423,41,0,632.772,142.551,366.214
36,0.404,5,62.069,310.346,3,1,0,0,1484,43,0,610.251,123.172,376.279
37,0.475,5,31.951,159.755,3,0,0,0,1522,44,0,669.051,158.862,388.127
38,0.499,5,64.462,322.308,3,1,0,0,1586,47,0,690.099,172.152,400.577
39,0.45,5,81.636,408.181,3,1,0,0,1648,49,0,629.537,141.643,411.802
40,0.476,5,54.715,273.573,3,0,1,0,1687,50,0,644.825,153.615,423.689
41,0.505,6,79.283,475.698,3,1,0,0,1752,53,0,690.471,174.264,436.285
42,0.495,5,94.021,470.105,3,1,0,0,1816,56,0,676.598,167.563,448.644
43,0.498,5,87.503,437.516,3,0,0,0,1855,57,0,676.3,168.308,461.064
44,0.45,5,46.466,232.329,3,1,0,1,1917,59,0,646.406,145.413,472.287
45,0.492,5,31.91,159.551,3,0,0,0,1956,60,0,679.956,167.18,484.557
46,0.444,5,97.292,486.46,3,0,0,0,1993,61,0,625.125,138.848,495.637
47,0.421,5,85.096,425.478,3,1,0,0,2054,63,0,615.097,129.561,506.142
48,0.498,5,77.857,389.284,3,0,0,0,2093,64,0,654.723,162.939,518.562
49,0.478,5,51.971,259.856,3,0,0,0,2132,65,0,643.627,153.93,530.496
50,0.473,5,85.497,427.487,3,0,1,0,2170,66,0,675.404,159.585,542.286
51,0.463,5,30.641,153.207,3,0,0,0,2208,67,0,655.999,151.999,553.847
52,0.448,5,30.623,153.113,3,0,0,0,2245,68,0,649.71,145.389,565.01
53,0.488,5,55.279,276.393,3,0,0,0,2284,69,0,674.685,164.597,577.185
54,0.441,5,117.105,585.526,3,0,0,0,2321,70,0,626.233,137.943,588.173
55,0.494,5,27.491,137.454,3,0,0,0,2360,71,0,680.802,168.253,600.506
56,0.504,6,114.025,684.152,3,0,0,0,2400,73,0,686.713,173.142,613.09
57,0.496,5,78.877,394.385,3,0,0,0,2439,74,0,670.615,166.177,625.456
58,0.451,5,94.823,474.115,3,0,0,0,2477,75,0,629.892,142.072,636.709
59,0.489,5,62.721,313.604,3,0,0,0,2516,76,0,668.587,163.408,648.905
60,0.454,5,106.384,531.918,3,1,1,0,2579,78,0,666.582,151.198,660.222
61,0.477,5,53.953,269.765,3,0,0,1,2618,79,0,672.193,160.24,672.117
62,0.453,5,89.144,445.719,3,1,0,0,2681,81,0,646.548,146.352,683.41
63,0.501,6,100.594,603.562,3,0,0,0,2721,83,0,693.173,173.55,695.905
64,0.527,6,55.687,334.122,3,0,0,0,2762,85,0,672.481,177.036,709.046
65,0.533,6,30.39,182.337,3,0,0,0,2803,87,0,674.237,179.627,722.345
66,0.495,5,100.972,504.858,3,0,0,0,2842,88,0,662.657,164.05,734.699
67,0.442,5,80.089,400.445,3,1,0,0,2904,90,0,650.274,143.696,745.723
68,0.533,6,35.239,211.434,3,0,0,0,2945,92,0,696.641,185.637,759.025
69,0.495,5,39.099,195.493,3,1,0,0,3009,95,0,668.972,165.677,771.384
70,0.454,5,35.464,177.322,3,0,1,0,3047,96,0,637.83,144.645,782.698
71,0.456,5,80.872,404.361,3,0,0,0,3085,97,0,664.432,151.573,794.079
72,0.53,6,74.792,448.752,3,0,0,0,3126,99,0,698.33,185.06,807.307
73,0.45,5,69.669,348.347,3,0,0,0,3163,100,0,627.911,141.221,818.527
74,0.463,5,66.999,334.993,3,0,0,0,3201,101,0,651.303,150.774,830.078
75,0.501,6,30.676,184.054,3,0,0,0,3241,103,0,675.772,169.277,842.579
76,0.462,5,106.843,534.214,3,0,0,0,3279,104,0,662.425,153.068,854.108
77,0.508,6,117.115,702.692,3,0,0,0,3319,106,0,693.271,176.081,866.784
78,0.52,6,82.637,495.821,3,0,0,0,3359,108,0,673.526,175.177,879.767
79,0.54,6,75.396,452.375,3,1,0,0,3425,111,0,694.916,187.574,893.241
80,0.529,6,105.289,631.731,3,0,1,0,3466,113,0,671.561,177.559,906.439
81,0.473,5,109.239,546.195,3,0,0,0,3504,114,0,657.821,155.634,918.244
82,0.513,6,118.033,708.198,3,1,0,0,3569,117,0,669.27,171.513,931.035
83,0.521,6,103.272,619.633,3,0,0,0,3609,119,0,680.528,177.442,944.05
84,0.541,6,32.488,194.925,3,0,0,0,3650,121,0,711.561,192.491,957.554
85,0.534,6,108.334,650.003,3,1,0,0,3716,124,0,689.989,184.372,970.893
86,0.55,6,101.555,609.327,3,0,0,0,3757,126,0,691.629,190.181,984.62
87,0.496,5,77.949,389.747,3,1,0,0,3821,129,0,664.698,164.69,996.985
88,0.517,6,48.111,288.668,3,1,0,0,3886,132,0,676.432,174.811,1009.884
89,0.518,6,102.665,615.993,3,0,0,0,3926,134,0,679.429,176.117,1022.823
90,0.543,6,110.208,661.247,3,0,1,0,3967,136,0,704.875,191.444,1036.381
91,0.544,6,84.065,504.388,3,0,0,0,4008,138,0,692.564,188.521,1049.97
92,0.565,6,118.321,709.929,3,1,0,0,4075,141,0,717.405,202.735,1064.079
93,0.526,6,85.256,511.534,3,1,0,0,4141,144,0,691.739,181.921,1077.207
94,0.549,6,79.814,478.883,3,0,0,0,4182,146,0,711.343,195.353,1090.917
95,0.575,6,113.081,678.485,3,1,0,0,4249,149,0,705.209,202.579,1105.259
96,0.567,6,101.27,607.62,3,0,0,0,4291,151,0,721.353,204.618,1119.422
97,0.552,6,83.608,501.648,3,0,0,0,4333,153,0,688.898,190.083,1133.197
98,0.557,6,52.3,313.8,3,0,0,0,4375,155,0,720.44,200.678,1147.103
99,0.578,6,110.895,665.371,3,0,0,0,4418,157,0,728.458,210.537,1161.534
100,0.57,6,45.892,275.35,3,0,1,0,4460,159,0,717.087,204.372,1175.764
101,0.579,6,42.242,253.453,3,0,0,0,4503,161,0,698.458,202.181,1190.217
102,0.502,6,43.921,263.527,3,1,0,0,4568,164,0,677.169,170.1,1202.754
103,0.53,6,64.96,389.76,3,1,0,0,4634,167,0,684.28,181.325,1215.981
104,0.535,6,95.302,571.815,3,1,0,0,4700,170,0,676.276,181.021,1229.343
105,0.539,6,48.373,290.24,3,1,0,0,4766,173,0,714.743,192.74,1242.805
106,0.57,6,32.809,196.857,3,0,0,0,4808,175,0,705.483,201.034,1257.032
107,0.494,5,119.194,595.97,3,1,0,0,4872,178,0,671.712,166.028,1269.367
108,0.508,6,22.749,136.491,3,0,0,0,4912,180,0,675.51,171.704,1282.054
109,0.565,6,31.76,190.561,3,0,0,0,4954,182,0,723.671,204.294,1296.148
110,0.558,6,118.83,712.98,3,0,1,0,4996,184,0,701.794,195.746,1310.073
111,0.531,6,109.853,659.121,3,1,0,0,5062,187,0,694.358,184.387,1323.329
112,0.565,6,49.122,294.73,3,0,0,0,5104,189,0,724.07,204.597,1337.437
113,0.591,6,52.537,315.223,3,0,0,0,5147,191,0,724.829,214.134,1352.188
114,0.57,6,71.449,428.693,3,1,0,0,5214,194,0,720.444,205.18,1366.408
115,0.588,6,98.164,588.986,3,1,0,0,5282,198,0,734.06,215.763,1381.085
116,0.523,6,87.571,525.425,3,0,0,0,5322,200,0,691.403,180.78,1394.136
117,0.542,6,56.154,336.927,3,0,0,0,5363,202,0,695.955,188.691,1407.671
118,0.562,6,41.192,247.153,3,0,0,0,5405,204,0,707.98,198.917,1421.698
119,0.534,6,32.572,195.433,3,1,0,0,5471,207,0,707.115,188.754,1435.023
120,0.538,6,29.492,176.954,3,0,1,0,5512,209,0,695.139,187.113,1448.46
121,0.513,6,67.085,402.513,3,1,0,0,5577,212,0,690.471,177.039,1461.257
122,0.554,6,113.785,682.709,3,1,0,0,5644,215,0,707.709,195.914,1475.078
123,0.517,6,26.117,156.701,3,0,0,0,5684,217,0,684.237,176.917,1487.983
124,0.594,6,61.468,368.809,3,0,0,0,5727,219,0,740.493,220.048,1502.822
125,0.563,6,88.728,532.367,3,1,0,0,5794,222,0,700.346,197.312,1516.888
126,0.581,6,78.129,468.777,3,0,0,0,5837,224,0,733.669,213.196,1531.398
127,0.605,6,56.874,341.241,3,0,0,0,5881,226,0,714.684,216.17,1546.502
128,0.599,6,46.84,281.043,3,0,0,0,5924,228,0,732.972,219.432,1561.451
129,0.59,6,118.579,711.471,3,1,0,0,5992,232,0,724.993,213.906,1576.184
130,0.532,6,71.781,430.688,3,0,1,0,6033,234,0,679.105,180.646,1589.463
131,0.568,6,116.385,698.309,3,1,0,0,6100,237,0,730.606,207.609,1603.65
132,0.617,7,58.682,410.772,3,0,0,0,6144,239,0,756.831,233.414,1619.052
133,0.587,6,110.837,665.025,3,1,0,0,6212,243,0,712.505,208.95,1633.695
134,0.61,6,76.849,461.093,3,0,0,0,6256,245,0,718.075,219.168,1648.937
135,0.594,6,75.042,450.253,3,0,0,0,6299,247,0,730.951,216.911,1663.756
136,0.535,6,102.721,616.326,3,1,0,0,6365,250,0,702.17,187.907,1677.114
137,0.567,6,33.715,202.291,3,0,0,0,6407,252,0,699.738,198.517,1691.279
138,0.539,6,79.166,474.999,3,0,0,0,6448,254,0,689.567,185.728,1704.724
139,0.583,6,50.132,300.79,3,0,0,0,6491,256,0,709.775,206.835,1719.275
140,0.549,6,81.605,489.631,3,0,1,0,6532,258,0,721.042,197.933,1732.979
141,0.546,6,45.144,270.866,3,0,0,0,6573,260,0,697.938,190.497,1746.605
142,0.607,6,118.878,713.268,3,0,0,0,6617,262,0,726.035,220.251,1761.754
143,0.613,7,104.852,733.961,3,1,0,0,6686,266,0,726.228,222.474,1777.052
144,0.61,6,114.979,689.872,3,0,0,0,6730,268,0,723.878,220.809,1792.285
145,0.555,6,63.57,381.418,3,0,0,1,6772,270,0,724.39,201.104,1806.145
146,0.621,7,118.114,826.799,3,0,0,0,6816,272,0,728.817,226.162,1821.642
147,0.63,7,70.743,495.2,3,0,0,0,6861,274,0,737.813,232.318,1837.368
148,0.634,7,100.532,703.727,3,1,0,0,6931,278,0,766.803,242.969,1853.193
149,0.544,6,97.327,583.959,3,0,0,0,6972,280,0,702.313,191.012,1866.771
150,0.562,6,53.01,318.058,3,0,1,0,7014,282,0,699.874,196.543,1880.791
