Time(s),Density,CongestionFactor(1-10),ExpectedTravelTime_ETT,Weight_wij,TTL,ProactiveTriggered(0/1),MaintenanceTriggered(0/1),ReactiveTriggered(0/1),PacketsTx_cum,PacketCollisions_cum,PacketsLost_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,0.428,5,28.765,143.827,3,0,0,0,37,1,0,621.413,132.913,12.39
2,0.375,4,88.229,352.916,2,0,0,0,71,2,0,616.166,115.471,23.594
3,0.394,5,102.868,514.341,3,1,0,0,131,4,0,605.298,119.158,35.221
4,0.419,5,38.383,191.917,3,0,0,1,167,5,0,630.074,131.99,47.414
5,0.387,4,49.353,197.41,2,0,0,1,202,6,0,595.828,115.377,58.897
6,0.388,4,81.77,327.078,2,0,0,1,237,7,0,629.562,122.011,70.387
7,0.369,4,32.31,129.238,2,0,0,0,271,8,0,615.987,113.527,81.452
8,0.441,5,43.117,215.584,3,0,0,0,308,9,0,657.245,145.043,94.147
9,0.459,5,70.253,351.266,3,0,0,0,346,10,0,655.855,150.359,107.225
10,0.454,5,69.563,347.813,3,0,1,0,384,11,0,660.582,150.07,120.211
11,0.449,5,87.946,439.732,3,0,0,0,421,12,0,627.246,140.895,133.082
12,0.384,4,108.206,432.825,2,0,0,0,456,13,0,618.867,118.748,144.486
13,0.434,5,56.162,280.81,3,1,0,0,518,15,0,628.307,136.46,157.024
14,0.369,4,90.031,360.123,2,0,0,0,552,16,0,608.667,112.346,168.101
15,0.381,4,47.498,189.99,2,0,0,0,587,17,0,607.029,115.789,179.455
16,0.396,5,82.291,411.453,3,0,0,0,622,18,0,608.498,120.624,191.144
17,0.433,5,90.729,453.645,3,0,0,0,659,19,0,646.627,139.997,203.651
18,0.396,5,43.845,219.225,3,0,0,0,694,20,0,620.863,123.077,215.34
19,0.431,5,60.835,304.173,3,0,0,0,731,21,0,620.389,133.544,227.792
20,0.473,5,31.221,156.106,3,1,1,0,794,24,0,652.308,154.259,241.194
21,0.423,5,68.693,343.463,3,1,0,0,855,26,0,650.567,137.554,253.474
22,0.396,5,27.705,138.523,3,0,0,0,890,27,0,633.175,125.518,265.163
23,0.419,5,106.708,533.539,3,0,0,0,926,28,0,638.779,133.769,277.353
24,0.417,5,53.988,269.94,3,0,0,0,962,29,0,620.655,129.365,289.499
25,0.443,5,100.297,501.486,3,0,0,0,999,30,0,658.91,145.881,302.226
26,0.422,5,48.541,242.706,3,1,0,0,1060,32,0,630.934,133.167,314.489
27,0.398,5,65.872,329.362,3,0,0,0,1095,33,0,616.916,122.688,326.207
28,0.402,5,46.833,234.164,3,1,0,0,1156,35,0,608.524,122.396,338.026
29,0.417,5,73.234,366.169,3,0,0,0,1192,36,0,622.178,129.795,350.18
30,0.476,5,117.005,585.026,3,0,1,1,1231,37,0,653.052,155.428,363.65
31,0.445,5,66.729,333.647,3,0,0,0,1268,38,0,636.661,141.691,376.428
32,0.43,5,94.494,472.472,3,1,0,0,1330,40,0,642.067,138.115,388.873
33,0.468,5,27.328,136.642,3,0,0,0,1368,41,0,661.112,154.608,402.158
34,0.425,5,104.839,524.194,3,0,0,0,1405,42,0,627.23,133.353,414.491
35,0.48,5,104.155,520.776,3,0,0,0,1444,43,0,654.046,157.064,428.057
36,0.469,5,22.991,114.957,3,0,0,0,1482,44,0,642.766,150.807,441.377
37,0.469,5,70.108,350.538,3,1,0,0,1545,46,0,669.404,156.825,454.68
38,0.431,5,58.104,290.518,3,0,0,0,1582,47,0,635.086,136.925,467.147
39,0.496,5,111.3,556.498,3,0,0,0,1621,48,0,671.482,166.632,481.072
40,0.433,5,74.024,370.122,3,0,1,0,1658,49,0,628.552,135.992,493.573
41,0.473,5,31.346,156.729,3,1,0,0,1721,52,0,675.918,159.894,506.979
42,0.454,5,71.268,356.34,3,1,0,0,1784,54,0,657.556,149.424,519.967
43,0.432,5,36.502,182.511,3,1,0,0,1846,56,0,621.218,134.156,532.45
44,0.505,6,61.143,366.857,3,0,0,0,1886,58,0,669.889,169.197,546.573
45,0.458,5,49.422,247.109,3,0,0,0,1924,59,0,640.465,146.583,559.635
46,0.458,5,114.959,574.794,3,0,0,0,1962,60,0,667.718,152.983,572.707
47,0.417,5,31.904,159.519,3,0,0,0,1998,61,0,635.408,132.381,584.849
48,0.468,5,67.708,338.542,3,0,0,0,2036,62,0,639.043,149.62,598.146
49,0.476,5,73.046,365.232,3,0,0,0,2075,63,0,647.248,154.021,611.615
50,0.517,6,40.665,243.988,3,1,1,0,2140,66,0,689.57,178.203,626.0
51,0.448,5,79.155,395.774,3,1,0,0,2202,68,0,664.601,148.96,638.849
52,0.474,5,110.689,553.445,3,0,0,0,2240,69,0,640.762,151.733,652.266
53,0.463,5,106.635,533.173,3,1,0,0,2303,71,0,637.711,147.614,665.444
54,0.454,5,81.78,408.9,3,0,0,0,2341,72,0,649.392,147.562,678.432
55,0.514,6,28.327,169.959,3,1,0,0,2406,75,0,681.837,175.105,692.745
56,0.479,5,75.675,378.377,3,0,0,0,2445,76,0,657.144,157.543,706.294
57,0.504,6,72.559,435.356,3,0,0,0,2485,78,0,657.451,165.828,720.401
58,0.518,6,50.393,302.357,3,0,0,0,2525,80,0,682.051,176.498,734.803
59,0.433,5,48.483,242.416,3,0,0,0,2562,81,0,640.902,138.634,747.301
60,0.487,5,91.239,456.197,3,0,1,0,2601,82,0,667.035,162.517,761.024
61,0.476,5,48.04,240.2,3,0,0,0,2640,83,0,665.107,158.268,774.493
62,0.518,6,28.329,169.975,3,1,0,0,2705,86,0,676.902,175.27,788.901
63,0.438,5,69.186,345.932,3,0,0,0,2742,87,0,653.081,143.055,801.522
64,0.49,5,23.792,118.96,3,1,0,0,2806,90,0,649.302,158.96,815.298
65,0.536,6,44.368,266.208,3,1,0,0,2872,93,0,691.496,185.281,830.11
66,0.478,5,36.005,180.026,3,1,0,0,2936,96,0,653.41,156.316,843.635
67,0.484,5,68.307,341.535,3,0,0,0,2975,97,0,684.449,165.61,857.283
68,0.471,5,88.735,443.674,3,0,0,0,3013,98,0,668.65,157.625,870.652
69,0.466,5,35.861,179.306,3,0,0,0,3051,99,0,662.631,154.264,883.89
70,0.498,5,94.065,470.327,3,0,1,0,3090,100,0,678.558,169.121,897.864
71,0.473,5,79.012,395.06,3,1,0,0,3153,103,0,644.346,152.499,911.275
72,0.459,5,28.326,141.63,3,0,0,0,3191,104,0,645.198,148.174,924.371
73,0.463,5,54.155,270.776,3,0,0,0,3229,105,0,659.925,152.717,937.547
74,0.532,6,82.008,492.046,3,0,0,0,3270,107,0,677.257,180.253,952.278
75,0.478,5,70.146,350.728,3,0,0,0,3309,108,0,662.67,158.483,965.801
76,0.473,5,65.892,329.461,3,1,0,0,3372,111,0,645.826,152.774,979.206
77,0.485,5,56.406,282.03,3,1,0,0,3436,114,0,653.22,158.482,992.883
78,0.519,6,45.94,275.641,3,0,0,0,3476,116,0,678.017,175.955,1007.318
79,0.513,6,79.431,476.585,3,0,0,0,3516,118,0,663.815,170.285,1021.618
80,0.48,5,113.684,568.422,3,0,1,0,3555,119,0,656.016,157.487,1035.181
81,0.491,5,67.126,335.628,3,1,0,0,3619,122,0,681.921,167.55,1048.997
82,0.476,5,69.673,348.364,3,0,0,0,3658,123,0,650.494,154.667,1062.457
83,0.47,5,113.299,566.497,3,0,0,0,3696,124,0,662.483,155.585,1075.786
84,0.525,6,27.146,162.875,3,0,0,0,3737,126,0,696.975,183.101,1090.363
85,0.562,6,72.328,433.969,3,0,0,0,3779,128,0,711.645,200.068,1105.766
86,0.467,5,57.264,286.322,3,0,0,1,3817,129,0,648.408,151.35,1119.031
87,0.549,6,95.813,574.88,3,0,0,0,3858,131,0,713.724,195.868,1134.134
88,0.532,6,58.487,350.925,3,0,0,0,3899,133,0,682.395,181.369,1148.849
89,0.543,6,51.223,307.339,3,1,0,0,3965,136,0,707.075,191.853,1163.812
90,0.537,6,95.337,572.021,3,0,1,0,4006,138,0,712.439,191.225,1178.645
91,0.481,5,35.896,179.479,3,0,0,0,4045,139,0,677.468,162.941,1192.228
