Time(s),Density,CongestionFactor(1-10),ExpectedTravelTime_ETT,Weight_wij,TTL,ProactiveTriggered(0/1),MaintenanceTriggered(0/1),ReactiveTriggered(0/1),PacketsTx_cum,PacketCollisions_cum,PacketsLost_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,0.387,4,119.931,479.724,2,0,0,0,35,1,0,631.309,122.217,11.481
2,0.416,5,34.945,174.726,3,0,0,0,71,2,0,642.657,133.568,23.6
3,0.376,4,31.724,126.898,2,0,0,0,106,3,0,611.756,115.027,34.832
4,0.407,5,100.4,501.999,3,1,0,0,167,5,0,616.547,125.595,46.766
5,0.457,5,81.619,408.093,3,0,0,1,205,6,0,669.085,152.776,59.803
6,0.439,5,40.325,201.625,3,1,0,1,267,8,0,660.64,144.866,72.435
7,0.426,5,48.36,241.798,3,0,0,0,304,9,0,636.31,135.526,84.785
8,0.418,5,65.219,326.097,3,0,0,0,340,10,0,628.499,131.481,96.965
9,0.38,4,33.292,133.166,2,0,0,0,375,11,0,603.745,114.774,108.29
10,0.394,5,73.834,369.168,3,0,1,0,410,12,0,612.837,120.82,119.93
11,0.446,5,66.377,331.884,3,0,0,0,447,13,0,630.014,140.36,132.719
12,0.451,5,112.856,564.279,3,0,0,0,485,14,0,648.325,146.186,145.629
13,0.388,4,58.186,232.745,2,0,0,0,520,15,0,617.55,119.956,157.139
14,0.412,5,54.992,274.962,3,0,0,0,556,16,0,617.496,127.292,169.182
15,0.451,5,69.399,346.996,3,0,0,0,594,17,0,653.48,147.522,182.103
16,0.449,5,29.098,145.491,3,1,0,1,656,19,0,652.831,146.398,194.958
17,0.408,5,25.026,125.13,3,0,0,0,692,20,0,627.341,127.881,206.898
18,0.406,5,94.577,472.886,3,1,0,0,753,22,0,623.294,126.554,218.802
19,0.415,5,105.724,528.62,3,1,0,0,814,24,0,628.406,130.392,230.906
20,0.463,5,109.492,547.462,3,0,1,0,852,25,0,669.678,155.095,244.09
21,0.436,5,80.203,401.016,3,1,0,0,914,27,0,632.151,137.834,256.666
22,0.436,5,23.773,118.863,3,0,0,0,951,28,0,623.899,136.028,269.242
23,0.441,5,98.272,491.362,3,0,0,0,988,29,0,639.396,141.06,281.933
24,0.477,5,63.511,317.556,3,0,0,0,1027,30,0,667.62,159.312,295.432
25,0.408,5,38.984,194.92,3,0,0,0,1063,31,0,621.193,126.79,307.384
26,0.413,5,56.354,281.769,3,1,0,0,1124,33,0,631.529,130.432,319.444
27,0.432,5,58.684,293.42,3,0,0,0,1161,34,0,624.177,134.866,331.932
28,0.443,5,42.988,214.942,3,1,0,0,1223,36,0,641.908,142.073,344.656
29,0.448,5,106.025,530.127,3,0,0,0,1260,37,0,630.265,141.061,357.491
30,0.446,5,35.552,177.761,3,0,1,0,1297,38,0,632.223,140.886,370.282
31,0.42,5,100.347,501.734,3,0,0,0,1333,39,0,647.954,136.051,382.497
32,0.411,5,21.158,105.788,3,0,0,0,1369,40,0,639.845,131.507,394.512
33,0.418,5,22.374,111.872,3,0,0,0,1405,41,0,627.349,130.982,406.674
34,0.442,5,95.66,478.3,3,0,0,0,1442,42,0,631.776,139.6,419.381
35,0.478,5,110.811,554.057,3,1,0,0,1506,45,0,674.216,161.08,432.893
36,0.404,5,63.072,315.362,3,1,0,0,1567,47,0,603.745,121.917,444.747
37,0.446,5,25.101,125.503,3,0,0,0,1604,48,0,647.951,144.422,457.541
38,0.425,5,31.439,157.195,3,0,0,0,1641,49,0,651.532,138.522,469.874
39,0.415,5,90.368,451.841,3,0,0,0,1677,50,0,638.72,132.59,481.982
40,0.478,5,80.91,404.552,3,1,1,0,1741,53,0,657.433,157.24,495.504
41,0.489,5,31.936,159.681,3,0,0,0,1780,54,0,678.075,165.636,509.256
42,0.451,5,44.807,224.036,3,0,0,0,1818,55,0,630.398,142.038,522.158
43,0.491,5,23.753,118.764,3,0,0,0,1857,56,0,658.279,161.732,535.973
44,0.464,5,48.86,244.298,3,1,0,0,1920,58,0,635.203,147.271,549.168
45,0.477,5,91.558,457.789,3,0,0,0,1959,59,0,672.39,160.532,562.672
46,0.481,5,44.212,221.062,3,0,0,0,1998,60,0,669.533,161.132,576.261
47,0.446,5,22.111,110.554,3,0,0,0,2035,61,0,631.54,140.781,589.056
48,0.452,5,47.332,236.661,3,0,0,0,2073,62,0,665.719,150.435,601.988
49,0.446,5,29.612,148.059,3,0,0,0,2110,63,0,663.387,147.97,614.788
50,0.464,5,61.744,308.721,3,0,1,1,2148,64,0,671.887,155.73,627.98
51,0.426,5,57.574,287.872,3,1,0,0,2210,66,0,635.032,135.135,640.322
52,0.488,5,48.866,244.33,3,0,0,0,2249,67,0,660.038,161.174,654.069
53,0.486,5,48.794,243.97,3,0,0,0,2288,68,0,670.949,163.068,667.765
54,0.499,5,38.903,194.515,3,0,0,0,2327,69,0,661.622,165.125,681.755
55,0.522,6,78.83,472.982,3,0,0,0,2367,71,0,672.678,175.626,696.259
56,0.489,5,27.501,137.505,3,0,0,0,2406,72,0,666.063,162.703,710.011
57,0.427,5,77.235,386.174,3,0,0,0,2443,73,0,629.437,134.423,722.386
58,0.477,5,60.121,300.606,3,1,0,0,2507,76,0,657.057,156.702,735.879
59,0.496,5,95.891,479.457,3,0,0,0,2546,77,0,682.011,169.258,749.805
60,0.496,5,89.146,445.73,3,0,1,0,2585,78,0,669.57,166.057,763.723
61,0.495,5,87.592,437.959,3,0,0,0,2624,79,0,674.779,167.156,777.629
62,0.443,5,65.196,325.979,3,1,0,0,2686,81,0,623.846,138.248,790.365
63,0.498,5,119.924,599.62,3,0,0,0,2725,82,0,654.969,163.086,804.328
64,0.486,5,48.628,243.138,3,1,0,0,2789,85,0,675.388,164.158,818.025
65,0.439,5,36.907,184.537,3,0,0,0,2826,86,0,648.479,142.248,830.66
66,0.492,5,33.913,169.565,3,0,0,0,2865,87,0,672.426,165.438,844.491
67,0.451,5,83.49,417.45,3,0,0,0,2903,88,0,632.619,142.632,857.399
68,0.483,5,70.961,354.807,3,1,0,0,2967,91,0,671.944,162.437,871.037
69,0.527,6,51.694,310.165,3,1,0,0,3033,94,0,685.39,180.48,885.642
70,0.519,6,95.734,574.401,3,0,1,0,3073,96,0,677.258,175.637,900.069
71,0.479,5,26.022,130.112,3,0,0,0,3112,97,0,653.343,156.395,913.601
72,0.517,6,73.812,442.874,3,0,0,0,3152,99,0,674.843,174.495,927.993
73,0.547,6,53.252,319.513,3,0,0,0,3193,101,0,713.65,195.039,943.044
74,0.51,6,109.202,655.214,3,0,0,0,3233,103,0,664.367,169.373,957.274
75,0.479,5,32.382,161.911,3,0,0,0,3272,104,0,657.285,157.4,970.81
76,0.532,6,91.18,547.077,3,0,0,0,3313,106,0,689.732,183.347,985.527
77,0.54,6,90.35,542.098,3,0,0,0,3354,108,0,689.842,186.178,1000.426
78,0.464,5,21.099,105.493,3,0,0,0,3392,109,0,671.254,155.827,1013.634
79,0.51,6,116.078,696.466,3,0,0,0,3432,111,0,689.056,175.629,1027.861
80,0.459,5,113.933,569.666,3,0,1,0,3470,112,0,639.504,146.858,1040.957
81,0.484,5,93.508,467.542,3,0,0,0,3509,113,0,648.99,157.142,1054.612
82,0.467,5,67.013,335.063,3,1,0,0,3572,115,0,664.013,154.897,1067.871
83,0.472,5,93.759,468.794,3,0,0,0,3610,116,0,640.097,151.018,1081.249
84,0.492,5,79.253,396.265,3,0,0,0,3649,117,0,679.423,167.056,1095.072
85,0.519,6,61.867,371.201,3,0,0,0,3689,119,0,668.558,173.455,1109.503
86,0.492,5,90.878,454.392,3,0,0,0,3728,120,0,654.838,161.198,1123.339
87,0.509,6,65.458,392.748,3,0,0,0,3768,122,0,693.68,176.702,1137.559
88,0.472,5,43.377,216.885,3,1,0,0,3831,125,0,676.742,159.631,1150.935
89,0.513,6,89.161,534.965,3,0,0,0,3871,127,0,701.219,179.727,1165.225
90,0.568,6,75.923,455.54,3,0,1,0,3913,129,0,705.989,200.527,1180.758
91,0.54,6,84.286,505.718,3,0,0,0,3954,131,0,701.791,189.368,1195.655
92,0.477,5,66.946,334.73,3,0,0,0,3993,132,0,645.903,154.101,1209.151
93,0.573,6,38.073,228.438,3,0,0,0,4035,134,0,723.988,207.343,1224.79
94,0.486,5,40.595,202.973,3,0,0,0,4074,135,0,673.285,163.501,1238.477
95,0.543,6,100.057,600.342,3,0,0,0,4115,137,0,692.002,187.919,1253.451
96,0.531,6,96.733,580.398,3,0,0,0,4156,139,0,688.473,182.886,1268.159
97,0.531,6,23.573,141.436,3,0,0,0,4197,141,0,706.356,187.548,1282.863
98,0.56,6,38.027,228.164,3,1,0,0,4264,144,0,702.894,196.891,1298.22
99,0.51,6,80.941,485.647,3,1,0,0,4329,147,0,679.425,173.162,1312.446
100,0.49,5,58.278,291.392,3,1,1,0,4393,150,0,681.318,167.029,1326.237
101,0.58,6,48.012,288.075,3,1,0,0,4461,153,0,718.025,208.388,1342.047
102,0.502,6,75.367,452.2,3,0,0,0,4501,155,0,672.387,168.748,1356.098
103,0.527,6,63.287,379.725,3,0,0,0,4542,157,0,689.308,181.546,1370.705
104,0.507,6,105.007,630.044,3,1,0,0,4607,160,0,689.647,174.657,1384.859
105,0.515,6,43.251,259.506,3,0,0,0,4647,162,0,702.646,180.881,1399.2
106,0.527,6,52.939,317.632,3,0,0,0,4688,164,0,690.057,181.775,1413.809
107,0.517,6,117.952,707.712,3,0,0,0,4728,166,0,697.761,180.425,1428.201
108,0.502,6,49.635,297.809,3,0,0,0,4768,168,0,682.625,171.48,1442.263
109,0.512,6,97.658,585.946,3,0,0,0,4808,170,0,680.869,174.381,1456.545
110,0.533,6,40.639,243.832,3,1,1,0,4874,173,0,682.471,181.798,1471.287
111,0.57,6,89.733,538.399,3,0,0,0,4916,175,0,706.112,201.168,1486.859
112,0.514,6,34.86,209.16,3,1,0,0,4981,178,0,681.891,175.107,1501.171
113,0.57,6,75.702,454.213,3,0,0,0,5023,180,0,723.642,206.389,1516.756
114,0.545,6,84.608,507.646,3,0,0,1,5064,182,0,701.393,191.125,1531.772
115,0.552,6,51.508,309.046,3,0,0,0,5106,184,0,688.987,190.123,1546.943
116,0.513,6,72.399,434.393,3,0,0,0,5146,186,0,697.844,178.887,1561.235
117,0.539,6,59.802,358.81,3,0,0,0,5187,188,0,716.181,193.152,1576.125
118,0.585,6,32.403,194.419,3,0,0,0,5230,190,0,736.251,215.393,1592.04
119,0.526,6,114.308,685.851,3,0,0,0,5271,192,0,680.143,178.883,1606.63
120,0.577,6,90.154,540.924,3,1,1,0,5339,195,0,709.688,204.759,1622.364
121,0.516,6,44.381,266.284,3,0,0,0,5379,197,0,683.25,176.302,1636.732
122,0.57,6,34.6,207.599,3,0,0,0,5421,199,0,695.981,198.379,1652.31
123,0.591,6,76.814,460.884,3,0,0,0,5464,201,0,730.436,215.801,1668.353
124,0.551,6,97.463,584.777,3,0,0,0,5506,203,0,692.95,190.985,1683.509
125,0.526,6,115.559,693.355,3,0,0,0,5547,205,0,676.356,177.911,1698.101
126,0.514,6,39.983,239.896,3,0,0,0,5587,207,0,672.287,172.895,1712.431
127,0.6,6,22.971,137.828,3,1,0,0,5655,211,0,729.924,218.88,1728.673
128,0.553,6,90.145,540.872,3,0,0,0,5697,213,0,717.866,198.546,1743.871
129,0.607,6,38.806,232.835,3,0,0,0,5741,215,0,726.793,220.454,1760.268
130,0.603,6,63.813,382.881,3,0,1,0,5785,217,0,738.46,222.501,1776.575
131,0.57,6,89.145,534.869,3,0,0,0,5827,219,0,706.727,201.249,1792.14
132,0.577,6,64.28,385.681,3,0,0,0,5870,221,0,723.402,208.682,1807.872
133,0.567,6,56.679,340.076,3,0,0,0,5912,223,0,724.771,205.453,1823.379
134,0.554,6,28.422,170.53,3,0,0,0,5954,225,0,696.123,192.738,1838.591
135,0.543,6,45.191,271.147,3,0,0,0,5995,227,0,684.994,186.102,1853.571
136,0.589,6,68.508,411.048,3,0,0,0,6038,229,0,709.518,209.029,1869.577
137,0.562,6,107.702,646.213,3,0,0,0,6080,231,0,719.645,202.35,1884.982
138,0.613,7,75.161,526.13,3,0,0,0,6124,233,0,737.89,226.255,1901.527
139,0.59,6,34.821,208.927,3,0,0,0,6167,235,0,726.345,214.253,1917.549
140,0.62,7,51.136,357.952,3,0,1,0,6211,237,0,739.825,229.506,1934.255
141,0.608,6,44.898,269.386,3,0,0,0,6255,239,0,754.087,229.055,1950.671
142,0.536,6,69.77,418.62,3,1,0,0,6321,242,0,704.24,188.717,1965.484
143,0.552,6,99.78,598.681,3,0,0,0,6363,244,0,709.321,195.782,1980.658
144,0.628,7,39.691,277.836,3,1,0,0,6433,248,0,758.72,238.364,1997.54
145,0.57,6,82.481,494.884,3,0,0,0,6475,250,0,727.835,207.458,2013.118
146,0.609,6,107.215,643.289,3,0,0,0,6519,252,0,724.697,220.552,2029.56
147,0.565,6,68.764,412.587,3,1,0,0,6586,255,0,700.336,197.845,2045.024
148,0.588,6,83.532,501.194,3,1,0,0,6654,259,0,706.415,207.644,2061.001
149,0.635,7,48.756,341.292,3,1,0,0,6724,263,0,757.028,240.509,2078.042
150,0.63,7,32.832,229.824,3,0,1,0,6769,265,0,752.843,236.958,2094.951
151,0.63,7,44.102,308.713,3,0,0,0,6814,267,0,765.21,241.18,2111.879
152,0.579,6,23.653,141.918,3,0,0,0,6857,269,0,717.755,207.767,2127.655
153,0.627,7,55.17,386.188,3,0,0,0,6902,271,0,757.903,237.562,2144.505
154,0.642,7,118.203,827.418,3,0,0,0,6947,273,0,772.784,248.14,2161.698
155,0.629,7,39.509,276.564,3,0,0,0,6992,275,0,760.531,239.31,2178.603
156,0.562,6,116.265,697.589,3,1,0,1,7059,278,0,725.324,203.712,2193.994
157,0.558,6,34.608,207.647,3,0,0,0,7101,280,0,696.977,194.47,2209.302
158,0.574,6,86.052,516.315,3,0,0,0,7143,282,0,712.285,204.586,2224.977
159,0.636,7,27.174,190.221,3,0,0,0,7188,284,0,752.848,239.456,2242.035
160,0.58,6,108.508,651.047,3,0,1,0,7231,286,0,736.593,213.439,2257.824
161,0.578,6,115.396,692.375,3,0,0,0,7274,288,0,698.442,201.932,2273.585
162,0.639,7,73.243,512.701,3,0,0,0,7319,290,0,771.28,246.356,2290.702
163,0.58,6,76.738,460.426,3,1,0,1,7387,293,0,713.205,206.9,2306.507
164,0.609,6,114.504,687.024,3,1,0,0,7456,297,0,715.382,217.922,2322.962
165,0.622,7,108.096,756.671,3,0,0,0,7500,299,0,760.681,236.498,2339.698
166,0.649,7,55.582,389.073,3,0,0,0,7545,301,0,765.581,248.354,2357.04
167,0.565,6,61.455,368.731,3,0,0,0,7587,303,0,715.781,202.287,2372.508
168,0.621,7,109.174,764.218,3,1,0,0,7656,307,0,733.861,227.991,2389.235
169,0.565,6,78.383,470.297,3,0,0,0,7698,309,0,709.127,200.37,2404.701
170,0.607,6,48.834,293.003,3,1,1,0,7767,313,0,739.367,224.415,2421.107
171,0.659,7,119.46,836.218,3,1,0,0,7838,317,0,775.496,255.623,2438.682
172,0.661,7,98.71,690.969,3,0,0,0,7884,320,0,770.325,254.6,2456.297
173,0.657,7,32.005,224.033,3,1,0,0,7955,324,0,751.56,247.038,2473.831
174,0.652,7,78.04,546.283,3,0,0,0,8001,327,0,749.306,244.25,2491.242
175,0.65,7,99.806,698.641,3,0,0,0,8046,329,0,740.34,240.458,2508.601
176,0.619,7,98.571,690.0,3,0,0,0,8090,331,0,728.402,225.283,2525.265
177,0.625,7,101.188,708.313,3,0,0,1,8134,333,0,724.946,226.468,2542.068
178,0.645,7,116.976,818.829,3,0,0,0,8179,335,0,747.832,241.124,2559.321
179,0.598,6,71.094,426.567,3,0,0,0,8222,337,0,716.118,214.192,2575.529
