Time(s),Density,AvgSpeed(m/s),Alpha,CongestionScore_CD,Weight_wij,Sigma_Constrained(0/1),RerouteTriggered(0/1),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,0.428,9.455,0.652,0.42,0.348,0,0,49,0,2,628.599,161.386,11.965
2,0.366,10.348,0.714,0.358,0.286,0,0,94,0,3,602.817,132.504,22.613
3,0.437,9.318,0.643,0.429,0.357,0,0,144,0,5,635.086,166.651,34.78
4,0.426,9.479,0.654,0.418,0.346,0,0,193,0,7,636.53,162.792,46.71
5,0.439,9.301,0.641,0.431,0.359,0,0,243,0,9,639.346,168.222,58.902
6,0.4,9.86,0.68,0.392,0.32,0,0,290,0,11,578.894,138.934,70.27
7,0.459,9.008,0.621,0.451,0.379,0,0,342,0,13,641.46,176.554,82.895
8,0.458,9.019,0.622,0.45,0.378,0,0,394,0,15,645.144,177.283,95.504
9,0.46,8.986,0.62,0.452,0.38,0,0,446,0,17,641.787,177.249,108.163
10,0.372,10.273,0.708,0.364,0.292,0,0,492,0,19,597.947,133.297,118.921
11,0.407,9.756,0.673,0.399,0.327,0,0,540,0,21,619.992,151.474,130.443
12,0.374,10.231,0.706,0.366,0.294,0,0,586,0,23,591.041,132.766,141.263
13,0.391,9.984,0.689,0.383,0.311,0,0,633,0,25,574.78,134.988,152.448
14,0.431,9.404,0.649,0.423,0.351,0,0,683,0,27,634.641,164.288,164.489
15,0.382,10.122,0.698,0.374,0.302,0,0,729,0,29,588.415,134.845,175.47
16,0.426,9.484,0.654,0.418,0.346,0,0,778,0,31,618.694,158.107,187.393
17,0.466,8.896,0.614,0.458,0.386,0,0,830,0,33,613.194,171.63,200.184
18,0.421,9.554,0.659,0.413,0.341,0,0,879,0,35,591.603,149.471,212.003
19,0.453,9.094,0.627,0.445,0.373,0,0,930,0,37,638.527,173.489,224.502
20,0.442,9.25,0.638,0.434,0.362,0,0,980,0,39,604.343,160.302,236.77
21,0.425,9.502,0.655,0.417,0.345,0,0,1029,0,41,615.703,156.894,248.667
22,0.413,9.678,0.667,0.405,0.333,0,0,1077,0,43,602.663,149.188,260.304
23,0.399,9.873,0.681,0.391,0.319,0,0,1124,0,45,606.621,145.263,271.653
24,0.436,9.334,0.644,0.428,0.356,0,0,1174,0,47,634.261,166.029,283.797
25,0.429,9.445,0.651,0.421,0.349,0,0,1224,0,49,622.095,159.997,295.779
26,0.42,9.566,0.66,0.412,0.34,0,0,1273,0,51,600.326,151.393,307.581
27,0.466,8.896,0.614,0.458,0.386,0,0,1325,0,53,621.503,173.949,320.372
28,0.427,9.474,0.653,0.419,0.347,0,0,1374,0,55,619.173,158.501,332.31
29,0.48,8.706,0.6,0.472,0.4,0,0,1427,0,58,652.556,187.785,345.382
30,0.471,8.835,0.609,0.463,0.391,0,0,1479,0,60,655.522,185.122,358.262
31,0.436,9.332,0.644,0.428,0.356,0,0,1529,0,62,604.064,158.172,370.409
32,0.441,9.259,0.639,0.433,0.361,0,0,1579,0,64,621.64,164.662,382.665
33,0.49,8.553,0.59,0.482,0.41,0,0,1633,0,67,660.193,194.144,395.961
34,0.443,9.233,0.637,0.435,0.363,0,0,1684,0,69,631.836,168.043,408.255
35,0.465,8.913,0.615,0.457,0.385,0,0,1736,0,71,641.827,179.18,421.02
36,0.474,8.79,0.606,0.466,0.394,0,0,1789,0,74,619.445,176.098,433.968
37,0.402,9.828,0.678,0.394,0.322,0,0,1837,0,76,597.036,144.081,445.383
38,0.474,8.783,0.606,0.466,0.394,0,0,1890,0,79,638.318,181.647,458.341
39,0.499,8.422,0.581,0.491,0.419,0,0,1944,0,82,635.782,190.416,471.831
40,0.427,9.462,0.653,0.419,0.347,0,0,1993,0,84,620.942,159.24,483.786
41,0.427,9.464,0.653,0.419,0.347,0,0,2042,0,86,626.614,160.647,495.738
42,0.445,9.205,0.635,0.437,0.365,0,0,2093,0,88,625.598,167.105,508.073
43,0.478,8.728,0.602,0.47,0.398,0,0,2146,0,91,643.306,184.527,521.111
44,0.428,9.447,0.652,0.42,0.348,0,0,2195,0,93,591.043,151.947,533.089
45,0.484,8.638,0.596,0.476,0.404,0,0,2248,0,96,620.748,180.361,546.26
46,0.422,9.534,0.658,0.414,0.342,0,0,2297,0,98,589.928,149.544,558.109
47,0.506,8.319,0.574,0.498,0.426,0,0,2352,0,101,639.062,194.13,571.752
48,0.492,8.526,0.588,0.484,0.412,0,0,2406,0,104,626.263,184.875,585.089
49,0.511,8.246,0.569,0.503,0.431,0,0,2461,0,107,642.312,197.046,598.838
50,0.427,9.465,0.653,0.419,0.347,0,0,2510,0,109,611.144,156.666,610.789
51,0.43,9.427,0.65,0.422,0.35,0,0,2560,0,111,612.683,158.013,622.796
52,0.492,8.521,0.588,0.484,0.412,0,0,2614,0,114,624.836,184.573,636.14
53,0.452,9.11,0.628,0.444,0.372,0,0,2665,0,116,612.195,165.937,648.615
54,0.44,9.275,0.64,0.432,0.36,0,0,2715,0,118,608.755,160.825,660.846
55,0.512,8.235,0.568,0.504,0.432,0,0,2770,0,121,676.994,208.011,674.613
56,0.441,9.26,0.639,0.433,0.361,0,0,2820,0,123,621.101,164.482,686.866
57,0.468,8.872,0.612,0.46,0.388,0,0,2872,0,125,629.619,176.838,699.692
58,0.431,9.413,0.649,0.423,0.351,0,0,2922,0,127,632.812,163.593,711.72
59,0.457,9.032,0.623,0.449,0.377,0,0,2973,0,129,614.788,168.609,724.31
60,0.519,8.13,0.561,0.511,0.439,0,0,3029,0,132,651.536,203.017,738.232
61,0.463,8.94,0.617,0.455,0.383,0,0,3081,0,134,641.442,178.366,750.957
62,0.466,8.898,0.614,0.458,0.386,0,0,3133,0,136,648.699,181.505,763.745
63,0.435,9.346,0.645,0.427,0.355,0,0,3183,0,138,593.065,154.944,775.871
64,0.516,8.173,0.564,0.508,0.436,0,0,3239,0,141,673.033,208.521,789.729
65,0.531,7.967,0.549,0.523,0.451,0,0,3296,0,144,659.445,209.911,803.891
66,0.507,8.307,0.573,0.499,0.427,0,0,3351,0,147,673.223,204.834,817.551
67,0.499,8.429,0.581,0.491,0.419,0,0,3405,0,150,650.752,194.719,831.031
68,0.447,9.182,0.633,0.439,0.367,0,0,3456,0,152,621.698,166.649,843.399
69,0.542,7.794,0.538,0.534,0.462,0,0,3513,0,155,659.264,214.585,857.817
70,0.518,8.148,0.562,0.51,0.438,0,0,3569,0,158,672.794,209.141,871.712
71,0.458,9.014,0.622,0.45,0.378,0,0,3621,0,160,643.541,176.985,884.329
72,0.485,8.63,0.595,0.477,0.405,0,0,3674,0,163,665.217,193.503,897.512
73,0.538,7.853,0.542,0.53,0.458,0,0,3731,0,166,693.114,223.902,911.841
74,0.543,7.789,0.537,0.535,0.463,0,0,3788,0,169,694.738,226.263,926.265
75,0.474,8.786,0.606,0.466,0.394,0,0,3841,0,172,648.042,184.325,939.218
76,0.517,8.166,0.563,0.509,0.437,0,0,3897,0,175,645.126,200.042,953.086
77,0.474,8.792,0.606,0.466,0.394,0,0,3950,0,178,647.71,184.076,966.03
78,0.521,8.104,0.559,0.513,0.441,0,0,4006,0,181,639.861,200.057,979.989
79,0.516,8.177,0.564,0.508,0.436,0,0,4062,0,184,670.851,207.713,993.841
80,0.526,8.033,0.554,0.518,0.446,0,0,4118,0,187,651.709,205.691,1007.906
81,0.534,7.911,0.546,0.526,0.454,0,0,4175,0,190,690.528,221.407,1022.15
