Time(s),Density,AvgSpeed(m/s),Alpha,CongestionScore_CD,Weight_wij,Sigma_Constrained(0/1),RerouteTriggered(0/1),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,0.426,9.482,0.654,0.418,0.346,0,0,49,0,2,613.007,156.713,11.926
2,0.364,10.384,0.716,0.356,0.284,0,0,94,0,3,584.4,127.573,22.52
3,0.378,10.175,0.702,0.37,0.298,0,0,140,0,5,590.803,134.09,33.423
4,0.455,9.061,0.625,0.447,0.375,0,0,191,0,7,629.504,171.905,45.971
5,0.361,10.425,0.719,0.353,0.281,0,0,236,0,8,564.381,122.251,56.505
6,0.448,9.163,0.632,0.44,0.368,0,0,287,0,10,606.773,163.134,68.902
7,0.397,9.898,0.683,0.389,0.317,0,0,334,0,12,575.892,137.306,80.214
8,0.393,9.959,0.687,0.385,0.313,0,0,381,0,14,589.666,139.107,91.436
9,0.46,8.986,0.62,0.452,0.38,0,0,433,0,16,651.909,180.028,104.093
10,0.375,10.22,0.705,0.367,0.295,0,0,479,0,18,601.227,135.329,114.929
11,0.39,10.003,0.69,0.382,0.31,0,0,526,0,20,597.048,139.747,126.086
12,0.418,9.6,0.662,0.41,0.338,0,0,575,0,22,611.986,153.468,137.838
13,0.424,9.518,0.656,0.416,0.344,0,0,624,0,24,608.359,154.614,149.71
14,0.414,9.66,0.666,0.406,0.334,0,0,672,0,26,601.533,149.344,161.373
15,0.39,10.007,0.69,0.382,0.31,0,0,719,0,28,579.302,135.502,172.524
16,0.374,10.244,0.706,0.366,0.294,0,0,765,0,30,595.583,133.481,183.326
17,0.465,8.92,0.615,0.457,0.385,0,0,817,0,32,656.495,183.092,196.081
18,0.447,9.176,0.633,0.439,0.367,0,0,868,0,34,633.389,169.93,208.458
19,0.45,9.14,0.63,0.442,0.37,0,0,919,0,36,639.87,172.642,220.889
20,0.401,9.85,0.679,0.393,0.321,0,0,967,0,38,600.396,144.351,232.272
21,0.423,9.533,0.657,0.415,0.343,0,0,1016,0,40,590.983,149.838,244.123
22,0.472,8.81,0.608,0.464,0.392,0,0,1069,0,43,645.307,182.913,257.041
23,0.455,9.069,0.625,0.447,0.375,0,0,1120,0,45,634.157,172.955,269.576
24,0.394,9.942,0.686,0.386,0.314,0,0,1167,0,47,621.335,147.004,280.823
25,0.392,9.977,0.688,0.384,0.312,0,0,1214,0,49,617.962,145.328,292.018
26,0.411,9.697,0.669,0.403,0.331,0,0,1262,0,51,605.657,149.431,303.626
27,0.477,8.741,0.603,0.469,0.397,0,0,1315,0,54,630.883,180.618,316.645
28,0.476,8.762,0.604,0.468,0.396,0,0,1368,0,57,662.618,189.138,329.634
29,0.417,9.612,0.663,0.409,0.337,0,0,1417,0,59,633.448,158.535,341.368
30,0.488,8.59,0.592,0.48,0.408,0,0,1471,0,62,667.356,195.247,354.611
31,0.44,9.279,0.64,0.432,0.36,0,0,1521,0,64,614.651,162.284,366.836
32,0.467,8.885,0.613,0.459,0.387,0,0,1573,0,66,610.481,171.155,379.644
33,0.419,9.586,0.661,0.411,0.339,0,0,1622,0,68,593.758,149.243,391.417
34,0.493,8.518,0.587,0.485,0.413,0,0,1676,0,71,626.37,185.107,404.765
35,0.411,9.704,0.669,0.403,0.331,0,0,1724,0,73,608.256,149.918,416.364
36,0.423,9.531,0.657,0.415,0.343,0,0,1773,0,75,631.312,160.113,428.218
37,0.49,8.562,0.59,0.482,0.41,0,0,1827,0,78,632.973,185.913,441.502
38,0.455,9.062,0.625,0.447,0.375,0,0,1878,0,80,646.842,176.59,454.047
39,0.405,9.793,0.675,0.397,0.325,0,0,1926,0,82,603.869,146.606,465.514
40,0.412,9.679,0.668,0.404,0.332,0,0,1974,0,84,619.961,153.423,477.148
41,0.497,8.449,0.583,0.489,0.417,0,0,2028,0,87,639.661,190.865,490.599
42,0.412,9.682,0.668,0.404,0.332,0,0,2076,0,89,606.345,149.984,502.229
43,0.495,8.481,0.585,0.487,0.415,0,0,2130,0,92,623.842,185.312,515.632
44,0.47,8.843,0.61,0.462,0.39,0,0,2182,0,94,644.744,181.876,528.501
45,0.422,9.54,0.658,0.414,0.342,0,0,2231,0,96,626.406,158.639,540.342
46,0.512,8.239,0.568,0.504,0.432,0,0,2286,0,99,632.857,194.337,554.102
47,0.447,9.174,0.633,0.439,0.367,0,0,2337,0,101,646.898,173.609,566.482
48,0.46,8.99,0.62,0.452,0.38,0,0,2389,0,103,640.847,176.871,579.134
49,0.498,8.439,0.582,0.49,0.418,0,0,2443,0,106,645.095,192.746,592.599
50,0.431,9.417,0.649,0.423,0.351,0,0,2493,0,108,603.108,155.8,604.62
51,0.512,8.234,0.568,0.504,0.432,0,0,2548,0,111,674.817,207.35,618.388
52,0.502,8.378,0.578,0.494,0.422,0,0,2603,0,114,637.044,191.95,631.943
53,0.449,9.144,0.631,0.441,0.369,0,0,2654,0,116,635.446,171.336,644.367
54,0.515,8.192,0.565,0.507,0.435,0,0,2710,0,119,672.114,207.702,658.197
55,0.521,8.111,0.559,0.513,0.441,0,0,2766,0,122,655.57,204.769,672.146
56,0.5,8.414,0.58,0.492,0.42,0,0,2820,0,125,639.868,191.844,685.647
57,0.432,9.401,0.648,0.424,0.352,0,0,2870,0,127,636.016,164.724,697.693
58,0.436,9.337,0.644,0.428,0.356,0,0,2920,0,129,605.837,158.521,709.833
59,0.516,8.175,0.564,0.508,0.436,0,0,2976,0,132,673.254,208.532,723.689
60,0.516,8.183,0.564,0.508,0.436,0,0,3032,0,135,668.272,206.758,737.532
61,0.457,9.032,0.623,0.449,0.377,0,0,3083,0,137,633.137,173.65,750.122
62,0.461,8.98,0.619,0.453,0.381,0,0,3135,0,139,650.284,179.759,762.789
63,0.472,8.821,0.608,0.464,0.392,0,0,3188,0,141,628.262,177.786,775.69
64,0.486,8.617,0.594,0.478,0.406,0,0,3241,0,144,648.143,188.882,788.892
65,0.45,9.141,0.63,0.442,0.37,0,0,3292,0,146,644.874,173.951,801.321
66,0.533,7.937,0.547,0.525,0.453,0,0,3349,0,149,648.466,207.224,815.527
67,0.51,8.258,0.57,0.502,0.43,0,0,3404,0,152,659.578,202.028,829.26
68,0.449,9.15,0.631,0.441,0.369,0,0,3455,0,154,621.889,167.537,841.676
69,0.535,7.898,0.545,0.527,0.455,0,0,3512,0,157,667.934,214.527,855.94
70,0.525,8.042,0.555,0.517,0.445,0,0,3568,0,160,673.262,212.233,869.991
71,0.522,8.09,0.558,0.514,0.442,0,0,3624,0,163,683.221,214.026,883.972
72,0.449,9.149,0.631,0.441,0.369,0,0,3675,0,165,626.143,168.686,896.388
73,0.468,8.868,0.612,0.46,0.388,0,0,3727,0,167,656.104,184.396,909.22
74,0.513,8.218,0.567,0.505,0.433,0,0,3782,0,170,638.921,196.741,923.011
75,0.546,7.741,0.534,0.538,0.466,0,0,3840,0,173,670.792,219.82,937.507
76,0.455,9.061,0.625,0.447,0.375,0,0,3891,0,175,624.879,170.628,950.054
77,0.498,8.439,0.582,0.49,0.418,0,0,3945,0,178,652.843,195.061,963.519
78,0.509,8.276,0.571,0.501,0.429,0,0,4000,0,181,657.472,200.884,977.225
79,0.532,7.95,0.548,0.524,0.452,0,0,4057,0,184,687.175,219.223,991.411
80,0.543,7.788,0.537,0.535,0.463,0,0,4115,0,187,668.579,217.781,1005.837
81,0.51,8.263,0.57,0.502,0.43,0,0,4170,0,190,641.916,196.475,1019.562
82,0.555,7.618,0.525,0.547,0.475,0,0,4228,0,193,701.306,233.363,1034.238
83,0.546,7.74,0.534,0.538,0.466,0,0,4286,0,196,662.096,216.986,1048.735
84,0.49,8.555,0.59,0.482,0.41,0,0,4340,0,199,655.862,192.834,1062.029
85,0.464,8.936,0.616,0.456,0.384,0,0,4392,0,201,648.241,180.36,1074.761
86,0.517,8.163,0.563,0.509,0.437,0,0,4448,0,204,681.046,211.288,1088.634
87,0.495,8.481,0.585,0.487,0.415,0,0,4502,0,207,646.708,192.112,1102.037
88,0.511,8.244,0.569,0.503,0.431,0,0,4557,0,210,666.589,204.546,1115.79
89,0.563,7.495,0.517,0.555,0.483,0,0,4616,0,213,704.411,238.007,1130.649
90,0.527,8.025,0.553,0.519,0.447,0,0,4672,0,216,683.815,216.025,1144.724
91,0.476,8.758,0.604,0.468,0.396,0,0,4725,0,219,630.813,180.165,1157.719
92,0.521,8.106,0.559,0.513,0.441,0,0,4781,0,222,635.977,198.794,1171.676
93,0.474,8.789,0.606,0.466,0.394,0,0,4834,0,225,654.81,186.17,1184.624
94,0.53,7.98,0.55,0.522,0.45,0,0,4891,0,228,681.794,216.658,1198.766
95,0.531,7.958,0.549,0.523,0.451,0,0,4948,0,231,652.424,207.94,1212.942
96,0.515,8.194,0.565,0.507,0.435,0,0,5004,0,234,653.985,202.047,1226.769
97,0.568,7.423,0.512,0.56,0.488,0,0,5063,0,238,675.498,230.234,1241.734
98,0.53,7.974,0.55,0.522,0.45,0,0,5120,0,241,665.824,211.759,1255.885
99,0.522,8.086,0.558,0.514,0.442,0,0,5176,0,244,660.958,207.144,1269.871
100,0.49,8.559,0.59,0.482,0.41,0,0,5230,0,247,623.325,183.156,1283.159
101,0.503,8.365,0.577,0.495,0.423,0,0,5285,0,250,638.343,192.693,1296.734
102,0.543,7.784,0.537,0.535,0.463,0,0,5343,0,253,682.345,222.388,1311.166
103,0.51,8.268,0.57,0.502,0.43,0,0,5398,0,256,649.878,198.779,1324.883
104,0.519,8.132,0.561,0.511,0.439,0,0,5454,0,259,652.765,203.335,1338.801
105,0.53,7.971,0.55,0.522,0.45,0,0,5511,0,262,645.697,205.436,1352.957
106,0.57,7.401,0.51,0.562,0.49,0,0,5570,0,266,703.166,240.304,1367.954
107,0.498,8.434,0.582,0.49,0.418,0,0,5624,0,269,663.473,198.393,1381.427
108,0.507,8.306,0.573,0.499,0.427,0,0,5679,0,272,660.879,201.12,1395.089
109,0.517,8.17,0.563,0.509,0.437,0,0,5735,0,275,673.49,208.747,1408.952
110,0.509,8.286,0.571,0.501,0.429,0,0,5790,0,278,637.438,194.499,1422.643
111,0.529,7.996,0.551,0.521,0.449,0,0,5846,0,281,673.726,213.653,1436.762
112,0.54,7.828,0.54,0.532,0.46,0,0,5903,0,284,674.087,218.465,1451.129
113,0.504,8.359,0.576,0.496,0.424,0,0,5958,0,287,663.424,200.438,1464.713
114,0.526,8.033,0.554,0.518,0.446,0,0,6014,0,290,688.012,217.148,1478.778
115,0.551,7.671,0.529,0.543,0.471,0,0,6072,0,293,654.816,216.462,1493.376
116,0.538,7.865,0.542,0.53,0.458,0,0,6129,0,296,664.233,214.24,1507.688
117,0.598,6.986,0.482,0.59,0.518,1,0,6190,0,300,689.767,247.569,1523.297
118,0.534,7.916,0.546,0.526,0.454,0,0,6247,0,303,687.193,220.217,1537.535
119,0.58,7.251,0.5,0.572,0.5,0,0,6307,0,307,682.806,237.575,1552.753
120,0.533,7.926,0.547,0.525,0.453,0,0,6364,0,310,690.67,221.038,1566.975
121,0.527,8.021,0.553,0.519,0.447,0,0,6420,0,313,660.12,208.656,1581.057
122,0.539,7.842,0.541,0.531,0.459,0,0,6477,0,316,660.032,213.524,1595.404
123,0.58,7.245,0.5,0.572,0.5,1,1,6537,0,320,699.634,243.608,1610.631
124,0.593,7.055,0.487,0.585,0.513,1,1,6598,0,324,699.71,249.155,1626.139
125,0.596,7.02,0.484,0.588,0.516,1,0,6659,0,328,682.24,243.926,1641.699
126,0.518,8.142,0.562,0.51,0.438,0,0,6715,0,331,676.634,210.492,1655.602
127,0.537,7.875,0.543,0.529,0.457,0,0,6772,0,334,690.494,222.429,1669.9
128,0.524,8.055,0.556,0.516,0.444,0,0,6828,0,337,644.67,202.87,1683.932
129,0.528,8.0,0.552,0.52,0.448,0,0,6884,0,340,665.287,210.878,1698.045
130,0.599,6.972,0.481,0.591,0.519,1,0,6945,0,344,723.547,260.112,1713.675
131,0.557,7.583,0.523,0.549,0.477,0,0,7003,0,347,657.452,219.727,1728.403
132,0.52,8.117,0.56,0.512,0.44,0,0,7059,0,350,662.421,206.746,1742.343
133,0.584,7.191,0.496,0.576,0.504,1,1,7119,0,354,708.598,248.31,1757.649
134,0.541,7.812,0.539,0.533,0.461,0,0,7176,0,357,660.303,214.439,1772.041
135,0.535,7.901,0.545,0.527,0.455,0,0,7233,0,360,644.484,206.914,1786.299
136,0.556,7.597,0.524,0.548,0.476,0,0,7291,0,363,668.13,222.912,1801.007
137,0.528,8.001,0.552,0.52,0.448,0,0,7347,0,366,686.382,217.522,1815.118
138,0.573,7.35,0.507,0.565,0.493,0,0,7407,0,370,681.94,234.497,1830.191
139,0.622,6.646,0.458,0.614,0.542,1,0,7490,0,376,703.659,262.471,1846.303
140,0.539,7.846,0.541,0.531,0.459,0,0,7547,0,379,683.728,221.081,1860.643
141,0.585,7.176,0.495,0.577,0.505,1,0,7607,0,383,692.833,243.242,1875.973
142,0.607,6.864,0.473,0.599,0.527,1,1,7669,0,387,694.014,252.614,1891.764
143,0.606,6.867,0.474,0.598,0.526,1,1,7731,0,391,708.777,257.877,1907.548
144,0.611,6.794,0.469,0.603,0.531,1,1,7813,0,397,698.468,256.255,1923.442
145,0.547,7.732,0.533,0.539,0.467,0,0,7871,0,400,684.316,224.48,1937.95
146,0.594,7.051,0.486,0.586,0.514,1,0,7932,0,404,689.028,245.466,1953.464
147,0.576,7.307,0.504,0.568,0.496,0,0,7992,0,408,665.321,229.963,1968.6
148,0.62,6.667,0.46,0.612,0.54,1,1,8075,0,414,696.343,259.113,1984.68
149,0.552,7.649,0.528,0.544,0.472,0,0,8133,0,417,675.202,223.815,1999.31
150,0.575,7.329,0.505,0.567,0.495,0,0,8193,0,421,706.532,243.554,2014.413
151,0.617,6.709,0.463,0.609,0.537,1,0,8276,0,427,684.565,253.546,2030.431
152,0.59,7.109,0.49,0.582,0.51,1,0,8337,0,431,719.827,254.704,2045.86
153,0.608,6.848,0.472,0.6,0.528,1,0,8399,0,435,695.557,253.611,2061.672
154,0.614,6.758,0.466,0.606,0.534,1,1,8481,0,441,694.401,255.791,2077.619
155,0.598,6.996,0.482,0.59,0.518,1,0,8542,0,445,697.129,249.928,2093.214
156,0.636,6.44,0.444,0.628,0.556,1,1,8626,0,451,711.135,271.3,2109.628
157,0.608,6.838,0.472,0.6,0.528,1,0,8708,0,456,683.715,249.586,2125.456
158,0.563,7.498,0.517,0.555,0.483,0,0,8767,0,459,692.768,233.986,2140.311
159,0.61,6.818,0.47,0.602,0.53,1,1,8849,0,465,687.408,251.52,2156.169
160,0.585,7.181,0.495,0.577,0.505,1,1,8909,0,469,696.23,244.277,2171.491
161,0.632,6.491,0.448,0.624,0.552,1,0,8993,0,475,730.657,277.219,2187.831
162,0.625,6.597,0.455,0.617,0.545,1,0,9076,0,481,735.542,275.851,2204.016
163,0.589,7.117,0.491,0.581,0.509,1,0,9137,0,485,686.931,242.82,2219.431
164,0.606,6.873,0.474,0.598,0.526,1,0,9199,0,489,703.889,255.926,2235.207
165,0.588,7.141,0.492,0.58,0.508,1,1,9260,0,493,717.704,252.997,2250.588
166,0.643,6.337,0.437,0.635,0.563,1,1,9345,0,499,731.566,282.222,2267.155
167,0.572,7.36,0.508,0.564,0.492,0,0,9405,0,503,680.803,233.826,2282.213
168,0.563,7.492,0.517,0.555,0.483,0,0,9464,0,506,662.614,223.957,2297.076
169,0.605,6.889,0.475,0.597,0.525,1,1,9526,0,510,722.628,262.262,2312.829
170,0.647,6.272,0.433,0.639,0.567,1,1,9611,0,516,722.695,280.746,2329.492
171,0.575,7.327,0.505,0.567,0.495,0,0,9671,0,520,684.45,236.0,2344.598
172,0.59,7.105,0.49,0.582,0.51,1,0,9732,0,524,675.228,239.042,2360.033
173,0.604,6.903,0.476,0.596,0.524,1,1,9794,0,528,680.053,246.435,2375.766
174,0.66,6.094,0.42,0.652,0.58,1,1,9880,0,534,742.643,293.965,2392.692
