Time(s),Density,AvgSpeed(m/s),Alpha,CongestionScore_CD,Weight_wij,Sigma_Constrained(0/1),RerouteTriggered(0/1),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,0.369,11.881,0.711,0.361,0.289,0,0,45,0,1,588.013,130.04,8.818
2,0.396,11.42,0.684,0.388,0.316,0,0,92,0,3,597.844,142.116,18.299
3,0.36,12.023,0.72,0.352,0.28,0,0,137,0,4,567.043,122.506,26.912
4,0.417,11.078,0.663,0.409,0.337,0,0,186,0,6,613.474,153.362,36.885
5,0.364,11.95,0.716,0.356,0.284,0,0,231,0,7,560.049,122.457,45.602
6,0.448,10.557,0.632,0.44,0.368,0,0,282,0,9,601.602,161.663,56.326
7,0.404,11.291,0.676,0.396,0.324,0,0,330,0,11,586.031,142.025,65.993
8,0.416,11.082,0.664,0.408,0.336,0,0,379,0,13,607.55,151.788,75.96
9,0.393,11.475,0.687,0.385,0.313,0,0,426,0,15,581.589,137.085,85.361
10,0.419,11.047,0.661,0.411,0.339,0,0,475,0,17,632.31,158.782,95.379
11,0.457,10.412,0.623,0.449,0.377,0,0,526,0,19,637.151,174.525,106.31
12,0.457,10.411,0.623,0.449,0.377,0,0,577,0,21,623.632,170.841,117.243
13,0.387,11.579,0.693,0.379,0.307,0,0,624,0,23,578.01,134.092,126.495
14,0.391,11.515,0.689,0.383,0.311,0,0,671,0,25,578.169,135.468,135.84
15,0.421,10.999,0.659,0.413,0.341,0,0,720,0,27,623.677,157.69,145.927
16,0.451,10.5,0.629,0.443,0.371,0,0,771,0,29,633.104,171.408,156.732
17,0.46,10.358,0.62,0.452,0.38,0,0,823,0,31,652.685,180.055,167.741
18,0.462,10.326,0.618,0.454,0.382,0,0,875,0,33,612.784,169.749,178.797
19,0.459,10.369,0.621,0.451,0.379,0,0,927,0,35,614.368,169.239,189.791
20,0.394,11.451,0.686,0.386,0.314,0,0,974,0,37,594.276,140.592,199.227
21,0.45,10.528,0.63,0.442,0.37,0,0,1025,0,39,611.221,164.885,209.992
22,0.479,10.039,0.601,0.471,0.399,0,0,1078,0,42,646.247,185.669,221.46
23,0.464,10.289,0.616,0.456,0.384,0,0,1130,0,44,633.914,176.434,232.569
24,0.402,11.324,0.678,0.394,0.322,0,0,1178,0,46,616.056,148.573,242.188
25,0.386,11.584,0.694,0.378,0.306,0,0,1225,0,48,616.398,142.891,251.433
26,0.415,11.112,0.665,0.407,0.335,0,0,1274,0,50,613.471,152.616,261.357
27,0.423,10.968,0.657,0.415,0.343,0,0,1323,0,52,606.232,153.944,271.489
28,0.415,11.113,0.665,0.407,0.335,0,0,1372,0,54,620.549,154.36,281.412
29,0.419,11.031,0.661,0.411,0.339,0,0,1421,0,56,611.181,153.819,291.452
30,0.487,9.896,0.593,0.479,0.407,0,0,1475,0,59,663.367,194.013,303.127
31,0.45,10.514,0.63,0.442,0.37,0,0,1526,0,61,641.588,173.384,313.912
32,0.397,11.399,0.683,0.389,0.317,0,0,1573,0,63,604.42,144.126,323.423
33,0.477,10.07,0.603,0.469,0.397,0,0,1626,0,66,645.921,184.875,334.847
34,0.434,10.789,0.646,0.426,0.354,0,0,1676,0,68,627.342,163.338,345.236
35,0.442,10.663,0.638,0.434,0.362,0,0,1726,0,70,626.063,165.849,355.807
36,0.445,10.599,0.635,0.437,0.365,0,0,1777,0,72,613.658,163.964,366.469
37,0.434,10.784,0.646,0.426,0.354,0,0,1827,0,74,611.087,159.225,376.866
38,0.402,11.323,0.678,0.394,0.322,0,0,1875,0,76,608.412,146.747,386.487
39,0.498,9.726,0.582,0.49,0.418,0,0,1929,0,79,638.764,190.72,398.406
40,0.499,9.702,0.581,0.491,0.419,0,0,1983,0,82,624.726,187.056,410.36
41,0.459,10.37,0.621,0.451,0.379,0,0,2035,0,84,612.488,168.698,421.352
42,0.493,9.796,0.587,0.485,0.413,0,0,2089,0,87,640.009,189.469,433.171
43,0.421,11.005,0.659,0.413,0.341,0,0,2138,0,89,615.803,155.559,443.249
44,0.449,10.53,0.631,0.441,0.369,0,0,2189,0,91,620.128,167.229,454.01
45,0.475,10.105,0.605,0.467,0.395,0,0,2242,0,94,626.526,178.528,465.384
46,0.512,9.485,0.568,0.504,0.432,0,0,2297,0,97,643.453,197.674,477.649
47,0.423,10.97,0.657,0.415,0.343,0,0,2346,0,99,595.953,151.301,487.778
48,0.514,9.456,0.566,0.506,0.434,0,0,2401,0,102,642.776,198.154,500.087
49,0.428,10.893,0.652,0.42,0.348,0,0,2450,0,104,603.758,154.943,510.326
50,0.467,10.229,0.613,0.459,0.387,0,0,2502,0,106,647.712,181.677,521.521
51,0.44,10.696,0.64,0.432,0.36,0,0,2552,0,108,640.62,168.947,532.044
52,0.424,10.952,0.656,0.416,0.344,0,0,2601,0,110,604.142,153.755,542.198
53,0.475,10.111,0.605,0.467,0.395,0,0,2654,0,113,662.007,188.49,553.563
54,0.511,9.504,0.569,0.503,0.431,0,0,2709,0,116,638.91,195.856,565.802
55,0.493,9.808,0.587,0.485,0.413,0,0,2763,0,119,655.944,193.916,577.604
56,0.518,9.384,0.562,0.51,0.438,0,0,2819,0,122,652.148,202.709,590.015
57,0.525,9.275,0.555,0.517,0.445,0,0,2875,0,125,637.886,200.783,602.583
58,0.475,10.112,0.605,0.467,0.395,0,0,2928,0,128,656.357,186.865,613.947
59,0.439,10.713,0.641,0.431,0.359,0,0,2978,0,130,641.425,168.767,624.446
60,0.52,9.353,0.56,0.512,0.44,0,0,3034,0,133,677.79,211.445,636.902
61,0.494,9.788,0.586,0.486,0.414,0,0,3088,0,136,660.038,195.589,648.731
62,0.506,9.593,0.574,0.498,0.426,0,0,3143,0,139,657.545,199.465,660.842
63,0.454,10.45,0.626,0.446,0.374,0,0,3194,0,141,635.631,173.248,671.72
64,0.511,9.506,0.569,0.503,0.431,0,0,3249,0,144,659.499,202.11,683.955
65,0.509,9.541,0.571,0.501,0.429,0,0,3304,0,147,653.92,199.585,696.141
66,0.454,10.447,0.626,0.446,0.374,0,0,3355,0,149,649.555,177.106,707.022
67,0.453,10.467,0.627,0.445,0.373,0,0,3406,0,151,642.876,174.816,717.875
68,0.529,9.195,0.551,0.521,0.449,0,0,3463,0,154,677.219,215.112,730.558
69,0.513,9.473,0.567,0.505,0.433,0,0,3518,0,157,670.302,206.216,742.841
70,0.499,9.703,0.581,0.491,0.419,0,0,3572,0,160,645.413,193.232,754.794
71,0.523,9.297,0.557,0.515,0.443,0,0,3628,0,163,661.343,207.655,767.331
72,0.537,9.067,0.543,0.529,0.457,0,0,3685,0,166,674.597,217.389,780.199
73,0.481,9.998,0.599,0.473,0.401,0,0,3738,0,169,649.633,187.613,791.727
74,0.537,9.068,0.543,0.529,0.457,0,0,3795,0,172,657.596,211.887,804.594
75,0.482,9.978,0.598,0.474,0.402,0,0,3848,0,175,637.086,184.434,816.15
76,0.454,10.456,0.626,0.446,0.374,0,0,3899,0,177,647.639,176.365,827.018
77,0.546,8.919,0.534,0.538,0.466,0,0,3957,0,180,657.783,215.457,840.098
78,0.463,10.31,0.617,0.455,0.383,0,0,4009,0,182,613.186,170.214,851.177
79,0.475,10.104,0.605,0.467,0.395,0,0,4062,0,185,629.987,179.543,862.553
80,0.473,10.131,0.607,0.465,0.393,0,0,4115,0,188,641.072,182.071,873.889
81,0.535,9.103,0.545,0.527,0.455,0,0,4172,0,191,680.076,218.264,886.705
82,0.509,9.53,0.571,0.501,0.429,0,0,4227,0,194,650.762,198.888,898.907
83,0.524,9.29,0.556,0.516,0.444,0,0,4283,0,197,670.487,210.683,911.454
84,0.482,9.98,0.598,0.474,0.402,0,0,4336,0,200,629.277,182.147,923.008
85,0.494,9.788,0.586,0.486,0.414,0,0,4390,0,203,649.571,192.502,934.839
86,0.482,9.98,0.598,0.474,0.402,0,0,4443,0,206,651.462,188.568,946.393
87,0.5,9.682,0.58,0.492,0.42,0,0,4498,0,209,645.989,193.896,958.376
88,0.513,9.47,0.567,0.505,0.433,0,0,4553,0,212,670.22,206.258,970.663
89,0.518,9.389,0.562,0.51,0.438,0,0,4609,0,215,681.573,211.747,983.068
90,0.538,9.047,0.542,0.53,0.458,0,0,4666,0,218,645.418,208.432,995.963
91,0.568,8.545,0.512,0.56,0.488,0,0,4725,0,222,687.939,234.578,1009.582
92,0.548,8.88,0.532,0.54,0.468,0,0,4783,0,225,674.349,221.824,1022.719
93,0.496,9.75,0.584,0.488,0.416,0,0,4837,0,228,642.14,191.169,1034.604
94,0.479,10.031,0.601,0.471,0.399,0,0,4890,0,231,619.45,178.155,1046.084
95,0.49,9.848,0.59,0.482,0.41,0,0,4944,0,234,659.065,193.889,1057.828
96,0.496,9.747,0.584,0.488,0.416,0,0,4998,0,237,652.886,194.433,1069.717
97,0.573,8.461,0.507,0.565,0.493,0,0,5058,0,241,677.614,233.098,1083.456
98,0.515,9.438,0.565,0.507,0.435,0,0,5114,0,244,641.663,198.21,1095.79
99,0.54,9.019,0.54,0.532,0.46,0,0,5171,0,247,674.74,218.594,1108.727
100,0.554,8.782,0.526,0.546,0.474,0,0,5229,0,250,674.401,224.223,1122.005
101,0.58,8.345,0.5,0.572,0.5,1,0,5289,0,254,683.581,238.013,1135.912
102,0.565,8.604,0.515,0.557,0.485,0,0,5348,0,257,696.246,235.936,1149.447
103,0.544,8.945,0.536,0.536,0.464,0,0,5406,0,260,671.881,219.458,1162.49
