Time(s),Density,AvgSpeed(m/s),Alpha,CongestionScore_CD,Weight_wij,Sigma_Constrained(0/1),RerouteTriggered(0/1),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,0.429,9.434,0.651,0.421,0.349,0,0,50,0,2,590.074,152.014,11.996
2,0.384,10.099,0.696,0.376,0.304,0,0,96,0,4,588.35,135.386,23.012
3,0.384,10.09,0.696,0.376,0.304,0,0,142,0,6,615.872,141.957,34.041
4,0.427,9.463,0.653,0.419,0.347,0,0,191,0,8,627.961,161.024,45.995
5,0.441,9.269,0.639,0.433,0.361,0,0,241,0,10,615.776,162.839,58.234
6,0.369,10.315,0.711,0.361,0.289,0,0,286,0,11,603.991,133.587,68.931
7,0.405,9.785,0.675,0.397,0.325,0,0,334,0,13,593.087,144.178,80.409
8,0.379,10.164,0.701,0.371,0.299,0,0,380,0,15,609.047,138.516,91.329
9,0.431,9.415,0.649,0.423,0.351,0,0,430,0,17,610.515,157.777,103.355
10,0.418,9.596,0.662,0.41,0.338,0,0,479,0,19,610.202,153.107,115.112
11,0.414,9.662,0.666,0.406,0.334,0,0,527,0,21,601.658,149.333,126.772
12,0.401,9.849,0.679,0.393,0.321,0,0,575,0,23,597.043,143.552,138.156
13,0.377,10.198,0.703,0.369,0.297,0,0,621,0,25,611.012,138.104,149.025
14,0.43,9.429,0.65,0.422,0.35,0,0,671,0,27,616.308,158.909,161.03
15,0.433,9.387,0.647,0.425,0.353,0,0,721,0,29,592.226,153.737,173.097
16,0.467,8.893,0.613,0.459,0.387,0,0,773,0,31,618.989,173.336,185.892
17,0.462,8.968,0.618,0.454,0.382,0,0,825,0,33,638.305,176.754,198.577
18,0.436,9.345,0.644,0.428,0.356,0,0,875,0,35,604.576,157.994,210.706
19,0.445,9.201,0.635,0.437,0.365,0,0,926,0,37,636.477,170.124,223.047
20,0.395,9.939,0.685,0.387,0.315,0,0,973,0,39,589.324,139.516,234.299
21,0.472,8.809,0.608,0.464,0.392,0,0,1026,0,42,625.666,177.358,247.217
22,0.476,8.761,0.604,0.468,0.396,0,0,1079,0,45,619.69,176.905,260.207
23,0.394,9.945,0.686,0.386,0.314,0,0,1126,0,47,594.836,140.674,271.45
24,0.418,9.593,0.662,0.41,0.338,0,0,1175,0,49,617.484,155.02,283.212
25,0.478,8.724,0.602,0.47,0.398,0,0,1228,0,52,630.353,180.916,296.257
26,0.469,8.865,0.611,0.461,0.389,0,0,1280,0,54,646.009,181.65,309.094
27,0.4,9.865,0.68,0.392,0.32,0,0,1327,0,56,577.661,138.513,320.454
28,0.414,9.655,0.666,0.406,0.334,0,0,1375,0,58,592.329,147.184,332.125
29,0.464,8.937,0.616,0.456,0.384,0,0,1427,0,60,647.431,180.12,344.855
30,0.445,9.21,0.635,0.437,0.365,0,0,1478,0,62,616.026,164.415,357.183
31,0.402,9.831,0.678,0.394,0.322,0,0,1526,0,64,613.133,147.892,368.594
32,0.44,9.282,0.64,0.432,0.36,0,0,1576,0,66,594.961,157.023,380.815
33,0.492,8.53,0.588,0.484,0.412,0,0,1630,0,69,662.833,195.546,394.145
34,0.399,9.877,0.681,0.391,0.319,0,0,1677,0,71,588.58,140.848,405.488
35,0.494,8.5,0.586,0.486,0.414,0,0,1731,0,74,667.134,197.645,418.863
36,0.459,9.007,0.621,0.451,0.379,0,0,1783,0,76,622.187,171.276,431.489
37,0.425,9.495,0.655,0.417,0.345,0,0,1832,0,78,593.651,151.434,443.395
38,0.439,9.3,0.641,0.431,0.359,0,0,1882,0,80,597.524,157.247,455.59
39,0.44,9.28,0.64,0.432,0.36,0,0,1932,0,82,624.82,164.945,467.813
40,0.504,8.352,0.576,0.496,0.424,0,0,1987,0,85,665.152,201.153,481.407
41,0.449,9.149,0.631,0.441,0.369,0,0,2038,0,87,602.84,162.416,493.825
42,0.442,9.247,0.638,0.434,0.362,0,0,2088,0,89,623.825,165.549,506.098
43,0.476,8.761,0.604,0.468,0.396,0,0,2141,0,92,643.832,183.812,519.088
44,0.508,8.293,0.572,0.5,0.428,0,0,2196,0,95,671.911,204.826,532.769
45,0.495,8.482,0.585,0.487,0.415,0,0,2250,0,98,665.041,197.529,546.171
46,0.492,8.524,0.588,0.484,0.412,0,0,2304,0,101,651.897,192.494,559.51
47,0.471,8.837,0.609,0.463,0.391,0,0,2356,0,103,616.222,173.971,572.388
48,0.508,8.296,0.572,0.5,0.428,0,0,2411,0,106,665.33,202.741,586.064
49,0.501,8.39,0.579,0.493,0.421,0,0,2466,0,109,646.277,194.418,599.602
50,0.45,9.133,0.63,0.442,0.37,0,0,2517,0,111,600.276,162.116,612.042
51,0.474,8.788,0.606,0.466,0.394,0,0,2570,0,114,613.049,174.333,624.993
52,0.441,9.268,0.639,0.433,0.361,0,0,2620,0,116,614.473,162.531,637.235
53,0.443,9.23,0.637,0.435,0.363,0,0,2671,0,118,616.101,163.933,649.533
54,0.446,9.193,0.634,0.438,0.366,0,0,2722,0,120,642.482,171.932,661.886
55,0.442,9.252,0.638,0.434,0.362,0,0,2772,0,122,609.207,161.549,674.152
56,0.45,9.131,0.63,0.442,0.37,0,0,2823,0,124,613.571,165.768,686.596
57,0.499,8.428,0.581,0.491,0.419,0,0,2877,0,127,627.183,187.683,700.077
58,0.471,8.827,0.609,0.463,0.391,0,0,2929,0,129,640.632,181.135,712.969
59,0.473,8.798,0.607,0.465,0.393,0,0,2982,0,132,637.965,181.139,725.904
60,0.467,8.884,0.613,0.459,0.387,0,0,3034,0,134,628.903,176.333,738.713
61,0.525,8.054,0.555,0.517,0.445,0,0,3090,0,137,659.175,207.466,752.746
62,0.508,8.288,0.572,0.5,0.428,0,0,3145,0,140,669.676,204.277,766.434
63,0.435,9.353,0.645,0.427,0.355,0,0,3195,0,142,620.748,162.012,778.551
64,0.518,8.154,0.562,0.51,0.438,0,0,3251,0,145,683.678,212.348,792.437
65,0.526,8.031,0.554,0.518,0.446,0,0,3307,0,148,642.304,202.764,806.504
66,0.487,8.604,0.593,0.479,0.407,0,0,3361,0,151,622.25,181.683,819.726
67,0.456,9.047,0.624,0.448,0.376,0,0,3412,0,153,643.821,176.172,832.293
68,0.523,8.07,0.557,0.515,0.443,0,0,3468,0,156,680.679,213.782,846.303
69,0.497,8.452,0.583,0.489,0.417,0,0,3522,0,159,662.743,197.679,859.75
70,0.458,9.02,0.622,0.45,0.378,0,0,3574,0,161,632.993,173.928,872.358
71,0.487,8.606,0.593,0.479,0.407,0,0,3628,0,164,626.53,182.888,885.577
72,0.526,8.027,0.554,0.518,0.446,0,0,3684,0,167,642.946,203.075,899.651
73,0.521,8.103,0.559,0.513,0.441,0,0,3740,0,170,646.21,202.085,913.612
74,0.525,8.049,0.555,0.517,0.445,0,0,3796,0,173,661.06,208.202,927.654
75,0.464,8.935,0.616,0.456,0.384,0,0,3848,0,175,651.311,181.247,940.387
