Time(s),Density,AvgSpeed(m/s),Alpha,CongestionScore_CD,Weight_wij,Sigma_Constrained(0/1),RerouteTriggered(0/1),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,0.391,11.498,0.689,0.383,0.311,0,0,47,0,2,587.484,137.997,9.368
2,0.426,10.917,0.654,0.418,0.346,0,0,96,0,4,611.25,156.335,19.573
3,0.414,11.117,0.666,0.406,0.334,0,0,145,0,6,601.13,149.43,29.489
4,0.434,10.787,0.646,0.426,0.354,0,0,195,0,8,619.149,161.262,39.882
5,0.455,10.439,0.625,0.447,0.375,0,0,246,0,10,620.124,169.265,50.775
6,0.403,11.298,0.677,0.395,0.323,0,0,294,0,12,598.682,144.932,60.431
7,0.434,10.796,0.646,0.426,0.354,0,0,344,0,14,607.512,158.019,70.81
8,0.384,11.616,0.696,0.376,0.304,0,0,390,0,16,574.21,132.441,80.008
9,0.376,11.763,0.704,0.368,0.296,0,0,436,0,18,565.877,127.538,88.995
10,0.388,11.551,0.692,0.38,0.308,0,0,483,0,20,577.62,134.586,98.287
11,0.436,10.761,0.644,0.428,0.356,0,0,533,0,22,597.155,156.092,108.717
12,0.442,10.649,0.638,0.434,0.362,0,0,583,0,24,603.43,160.143,119.307
13,0.403,11.299,0.677,0.395,0.323,0,0,631,0,26,581.438,140.743,128.962
14,0.457,10.411,0.623,0.449,0.377,0,0,682,0,28,605.06,165.748,139.895
15,0.441,10.671,0.639,0.433,0.361,0,0,732,0,30,627.994,166.165,150.453
16,0.379,11.714,0.701,0.371,0.299,0,0,778,0,32,573.502,130.259,159.51
17,0.47,10.195,0.61,0.462,0.39,0,0,830,0,34,642.631,181.04,170.755
18,0.409,11.206,0.671,0.401,0.329,0,0,878,0,36,617.518,151.524,180.543
19,0.47,10.189,0.61,0.462,0.39,0,0,930,0,38,631.227,177.953,191.795
20,0.387,11.58,0.693,0.379,0.307,0,0,977,0,40,605.027,140.336,201.045
21,0.467,10.244,0.613,0.459,0.387,0,0,1029,0,42,650.251,182.039,212.219
22,0.381,11.673,0.699,0.373,0.301,0,0,1075,0,44,588.073,134.447,221.336
23,0.444,10.614,0.636,0.436,0.364,0,0,1126,0,46,632.039,168.538,231.977
24,0.398,11.386,0.682,0.39,0.318,0,0,1173,0,48,610.773,145.917,241.506
25,0.434,10.796,0.646,0.426,0.354,0,0,1223,0,50,638.826,166.165,251.884
26,0.46,10.356,0.62,0.452,0.38,0,0,1275,0,52,621.402,171.454,262.896
27,0.43,10.852,0.65,0.422,0.35,0,0,1325,0,54,637.079,164.426,273.194
28,0.451,10.511,0.629,0.443,0.371,0,0,1376,0,56,632.398,170.976,283.983
29,0.473,10.138,0.607,0.465,0.393,0,0,1429,0,59,645.245,183.09,295.309
30,0.426,10.929,0.654,0.418,0.346,0,0,1478,0,61,588.147,150.175,305.496
31,0.416,11.083,0.664,0.408,0.336,0,0,1527,0,63,622.858,155.587,315.461
32,0.446,10.595,0.634,0.438,0.366,0,0,1578,0,65,639.504,170.961,326.129
33,0.459,10.363,0.621,0.451,0.379,0,0,1630,0,67,628.809,173.341,337.131
34,0.458,10.395,0.622,0.45,0.378,0,0,1682,0,69,622.512,170.895,348.087
35,0.436,10.757,0.644,0.428,0.356,0,0,1732,0,71,635.265,166.128,358.522
36,0.444,10.624,0.636,0.436,0.364,0,0,1783,0,73,630.251,167.84,369.149
37,0.424,10.952,0.656,0.416,0.344,0,0,1832,0,75,618.39,157.399,379.304
38,0.424,10.954,0.656,0.416,0.344,0,0,1881,0,77,628.864,160.011,389.455
39,0.495,9.769,0.585,0.487,0.415,0,0,1935,0,80,657.569,195.317,401.313
40,0.411,11.171,0.669,0.403,0.331,0,0,1983,0,82,598.512,147.623,411.152
41,0.468,10.218,0.612,0.46,0.388,0,0,2035,0,84,647.897,181.976,422.363
42,0.466,10.254,0.614,0.458,0.386,0,0,2087,0,86,608.57,170.144,433.521
43,0.418,11.048,0.662,0.41,0.338,0,0,2136,0,88,624.877,156.887,443.537
44,0.424,10.953,0.656,0.416,0.344,0,0,2185,0,90,622.419,158.402,453.691
45,0.469,10.196,0.611,0.461,0.389,0,0,2237,0,92,616.167,173.564,464.934
46,0.428,10.886,0.652,0.42,0.348,0,0,2286,0,94,617.088,158.523,475.183
47,0.45,10.526,0.63,0.442,0.37,0,0,2337,0,96,601.842,162.399,485.952
48,0.482,9.986,0.598,0.474,0.402,0,0,2390,0,99,662.458,191.605,497.497
49,0.469,10.21,0.611,0.461,0.389,0,0,2442,0,101,611.494,171.943,508.72
50,0.514,9.45,0.566,0.506,0.434,0,0,2497,0,104,654.652,201.945,521.036
51,0.513,9.469,0.567,0.505,0.433,0,0,2552,0,107,668.478,205.755,533.326
52,0.444,10.615,0.636,0.436,0.364,0,0,2603,0,109,642.355,171.255,543.964
53,0.442,10.658,0.638,0.434,0.362,0,0,2653,0,111,599.511,158.916,554.542
54,0.436,10.762,0.644,0.428,0.356,0,0,2703,0,113,636.641,166.371,564.969
55,0.52,9.353,0.56,0.512,0.44,0,0,2759,0,116,656.552,204.814,577.425
56,0.486,9.927,0.594,0.478,0.406,0,0,2812,0,119,655.506,190.972,589.055
57,0.502,9.65,0.578,0.494,0.422,0,0,2867,0,122,664.565,200.232,601.083
58,0.482,9.99,0.598,0.474,0.402,0,0,2920,0,125,651.114,188.212,612.622
59,0.463,10.312,0.617,0.455,0.383,0,0,2972,0,127,608.352,168.823,623.698
60,0.506,9.587,0.574,0.498,0.426,0,0,3027,0,130,658.027,199.74,635.816
61,0.521,9.342,0.559,0.513,0.441,0,0,3083,0,133,649.41,202.846,648.288
62,0.515,9.435,0.565,0.507,0.435,0,0,3139,0,136,681.268,210.518,660.626
63,0.472,10.156,0.608,0.464,0.392,0,0,3192,0,139,627.992,177.783,671.925
64,0.478,10.057,0.602,0.47,0.398,0,0,3245,0,142,614.818,176.258,683.369
65,0.531,9.169,0.549,0.523,0.451,0,0,3302,0,145,642.998,204.838,696.089
66,0.449,10.544,0.631,0.441,0.369,0,0,3353,0,147,626.586,168.668,706.832
67,0.504,9.617,0.576,0.496,0.424,0,0,3408,0,150,667.186,201.809,718.908
68,0.489,9.873,0.591,0.481,0.409,0,0,3462,0,153,658.139,193.021,730.615
69,0.445,10.609,0.635,0.437,0.365,0,0,3513,0,155,638.288,170.314,741.263
70,0.475,10.111,0.605,0.467,0.395,0,0,3566,0,158,653.865,186.165,752.627
71,0.53,9.19,0.55,0.522,0.45,0,0,3623,0,161,649.918,206.566,765.319
72,0.528,9.21,0.552,0.52,0.448,0,0,3679,0,164,666.541,211.353,777.98
73,0.527,9.24,0.553,0.519,0.447,0,0,3735,0,167,656.468,207.458,790.599
74,0.504,9.622,0.576,0.496,0.424,0,0,3790,0,170,658.736,199.14,802.668
75,0.483,9.968,0.597,0.475,0.403,0,0,3843,0,173,631.532,183.068,814.239
76,0.513,9.465,0.567,0.505,0.433,0,0,3898,0,176,633.397,195.056,826.535
77,0.54,9.018,0.54,0.532,0.46,0,0,3955,0,179,674.12,218.407,839.473
78,0.544,8.945,0.536,0.536,0.464,0,0,4013,0,182,676.812,221.057,852.516
79,0.525,9.263,0.555,0.517,0.445,0,0,4069,0,185,658.892,207.683,865.102
80,0.48,10.014,0.6,0.472,0.4,0,0,4122,0,188,635.919,183.285,876.607
81,0.494,9.779,0.586,0.486,0.414,0,0,4176,0,191,637.149,189.021,888.45
82,0.507,9.573,0.573,0.499,0.427,0,0,4231,0,194,644.385,195.927,900.589
83,0.532,9.155,0.548,0.524,0.452,0,0,4288,0,197,664.843,212.142,913.331
84,0.516,9.422,0.564,0.508,0.436,0,0,4344,0,200,664.673,205.717,925.688
85,0.469,10.2,0.611,0.461,0.389,0,0,4396,0,202,651.475,183.414,936.925
86,0.478,10.056,0.602,0.47,0.398,0,0,4449,0,205,625.677,179.383,948.369
87,0.506,9.589,0.574,0.498,0.426,0,0,4504,0,208,672.893,204.214,960.486
88,0.542,8.99,0.538,0.534,0.462,0,0,4561,0,211,685.096,222.668,973.465
89,0.489,9.871,0.591,0.481,0.409,0,0,4615,0,214,663.046,194.511,985.176
90,0.536,9.087,0.544,0.528,0.456,0,0,4672,0,217,647.715,208.25,998.014
91,0.524,9.282,0.556,0.516,0.444,0,0,4728,0,220,681.411,214.305,1010.572
92,0.514,9.453,0.566,0.506,0.434,0,0,4783,0,223,640.336,197.471,1022.885
93,0.542,8.985,0.538,0.534,0.462,0,0,4840,0,226,675.299,219.597,1035.871
94,0.56,8.685,0.52,0.552,0.48,0,0,4899,0,229,694.269,233.26,1049.289
95,0.554,8.788,0.526,0.546,0.474,0,0,4957,0,232,673.411,223.749,1062.559
96,0.53,9.182,0.55,0.522,0.45,0,0,5014,0,235,682.138,216.983,1075.26
97,0.557,8.731,0.523,0.549,0.477,0,0,5073,0,238,683.611,228.532,1088.612
98,0.499,9.699,0.581,0.491,0.419,0,0,5127,0,241,667.665,199.982,1100.569
99,0.558,8.712,0.522,0.55,0.478,0,0,5186,0,244,679.341,227.58,1113.949
100,0.493,9.796,0.587,0.485,0.413,0,0,5240,0,247,668.542,197.914,1125.767
101,0.541,8.996,0.539,0.533,0.461,0,0,5297,0,250,679.857,220.805,1138.736
102,0.533,9.135,0.547,0.525,0.453,0,0,5354,0,253,677.368,216.631,1151.507
103,0.512,9.482,0.568,0.504,0.432,0,0,5409,0,256,633.118,194.585,1163.778
104,0.559,8.702,0.521,0.551,0.479,0,0,5468,0,259,689.919,231.379,1177.172
105,0.543,8.974,0.537,0.535,0.463,0,0,5525,0,262,683.74,222.623,1190.174
106,0.52,9.355,0.56,0.512,0.44,0,0,5581,0,265,637.307,198.782,1202.628
107,0.563,8.626,0.517,0.555,0.483,0,0,5640,0,268,706.184,238.757,1216.131
108,0.529,9.201,0.551,0.521,0.449,0,0,5697,0,271,663.93,210.756,1228.807
109,0.511,9.499,0.569,0.503,0.431,0,0,5752,0,274,660.616,202.635,1241.054
110,0.513,9.462,0.567,0.505,0.433,0,0,5807,0,277,653.88,201.436,1253.353
111,0.508,9.552,0.572,0.5,0.428,0,0,5862,0,280,651.064,198.451,1265.523
112,0.517,9.402,0.563,0.509,0.437,0,0,5918,0,283,638.798,198.167,1277.909
113,0.525,9.263,0.555,0.517,0.445,0,0,5974,0,286,648.188,204.318,1290.495
114,0.537,9.07,0.543,0.529,0.457,0,0,6031,0,289,687.965,221.626,1303.36
115,0.531,9.168,0.549,0.523,0.451,0,0,6088,0,292,646.669,206.044,1316.083
