Time(s),Density,AvgSpeed(m/s),Alpha,CongestionScore_CD,Weight_wij,Sigma_Constrained(0/1),RerouteTriggered(0/1),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,0.368,11.893,0.712,0.36,0.288,0,0,45,0,1,587.375,129.637,8.8
2,0.397,11.402,0.683,0.389,0.317,0,0,92,0,3,602.533,143.62,18.307
3,0.406,11.253,0.674,0.398,0.326,0,0,140,0,5,580.459,141.457,28.028
4,0.363,11.97,0.717,0.355,0.283,0,0,185,0,6,559.709,121.993,36.717
5,0.424,10.953,0.656,0.416,0.344,0,0,234,0,8,610.403,155.329,46.87
6,0.448,10.559,0.632,0.44,0.368,0,0,285,0,10,619.308,166.363,57.59
7,0.433,10.802,0.647,0.425,0.353,0,0,335,0,12,636.777,165.505,67.96
8,0.386,11.595,0.694,0.378,0.306,0,0,381,0,14,608.98,140.928,77.189
9,0.41,11.182,0.67,0.402,0.33,0,0,429,0,16,614.405,151.291,87.012
10,0.454,10.461,0.626,0.446,0.374,0,0,480,0,18,602.375,163.929,97.873
11,0.372,11.828,0.708,0.364,0.292,0,0,526,0,20,605.751,135.101,106.765
12,0.384,11.617,0.696,0.376,0.304,0,0,572,0,22,614.553,141.721,115.962
13,0.443,10.634,0.637,0.435,0.363,0,0,623,0,24,612.151,162.791,126.574
14,0.468,10.228,0.612,0.46,0.388,0,0,675,0,26,657.825,184.538,137.77
15,0.371,11.845,0.709,0.363,0.291,0,0,720,0,28,600.013,133.457,146.639
16,0.443,10.633,0.637,0.435,0.363,0,0,771,0,30,608.86,161.932,157.252
17,0.42,11.014,0.66,0.412,0.34,0,0,820,0,32,596.197,150.412,167.317
18,0.457,10.403,0.623,0.449,0.377,0,0,871,0,34,614.718,168.584,178.262
19,0.403,11.3,0.677,0.395,0.323,0,0,919,0,36,592.364,143.367,187.916
20,0.422,10.983,0.658,0.414,0.342,0,0,968,0,38,588.86,149.226,198.026
21,0.476,10.086,0.604,0.468,0.396,0,0,1021,0,41,631.695,180.425,209.427
22,0.448,10.562,0.632,0.44,0.368,0,0,1072,0,43,646.413,173.575,220.142
23,0.427,10.9,0.653,0.419,0.347,0,0,1121,0,45,593.296,152.119,230.372
24,0.394,11.46,0.686,0.386,0.314,0,0,1168,0,47,601.185,142.038,239.795
25,0.442,10.65,0.638,0.434,0.362,0,0,1218,0,49,642.315,170.437,250.383
26,0.448,10.559,0.632,0.44,0.368,0,0,1269,0,51,636.112,170.878,261.103
27,0.409,11.204,0.671,0.401,0.329,0,0,1317,0,53,600.361,147.371,270.895
28,0.422,10.992,0.658,0.414,0.342,0,0,1366,0,55,626.059,158.434,280.992
29,0.487,9.907,0.593,0.479,0.407,0,0,1420,0,58,666.123,194.546,292.65
30,0.459,10.365,0.621,0.451,0.379,0,0,1472,0,60,631.694,174.09,303.649
31,0.396,11.416,0.684,0.388,0.316,0,0,1519,0,62,580.176,137.986,313.135
32,0.483,9.973,0.597,0.475,0.403,0,0,1572,0,65,636.849,184.497,324.699
33,0.415,11.099,0.665,0.407,0.335,0,0,1621,0,67,592.199,147.606,334.643
34,0.45,10.523,0.63,0.442,0.37,0,0,1672,0,69,635.758,171.606,345.414
35,0.484,9.953,0.596,0.476,0.404,0,0,1725,0,72,638.042,185.292,357.007
36,0.439,10.703,0.641,0.431,0.359,0,0,1775,0,74,627.905,165.428,367.52
37,0.434,10.794,0.646,0.426,0.354,0,0,1825,0,76,640.546,166.676,377.902
38,0.492,9.824,0.588,0.484,0.412,0,0,1879,0,79,624.711,184.321,389.681
39,0.475,10.101,0.605,0.467,0.395,0,0,1932,0,82,649.528,185.169,401.06
40,0.427,10.905,0.653,0.419,0.347,0,0,1981,0,84,621.036,159.119,411.282
41,0.412,11.161,0.668,0.404,0.332,0,0,2029,0,86,597.085,147.48,421.135
42,0.49,9.846,0.59,0.482,0.41,0,0,2083,0,89,664.068,195.409,432.882
43,0.451,10.511,0.629,0.443,0.371,0,0,2134,0,91,645.954,174.648,443.672
44,0.413,11.146,0.667,0.405,0.333,0,0,2182,0,93,600.532,148.652,453.547
45,0.429,10.867,0.651,0.421,0.349,0,0,2232,0,95,631.742,162.707,463.823
46,0.493,9.797,0.587,0.485,0.413,0,0,2286,0,98,655.205,193.956,475.64
47,0.432,10.828,0.648,0.424,0.352,0,0,2336,0,100,635.257,164.522,485.974
48,0.475,10.096,0.605,0.467,0.395,0,0,2389,0,103,652.593,186.162,497.36
49,0.434,10.794,0.646,0.426,0.354,0,0,2439,0,105,617.049,160.555,507.742
50,0.437,10.732,0.643,0.429,0.357,0,0,2489,0,107,642.602,168.622,518.213
51,0.514,9.453,0.566,0.506,0.434,0,0,2544,0,110,678.245,209.141,530.524
52,0.44,10.68,0.64,0.432,0.36,0,0,2594,0,112,601.021,158.844,541.07
53,0.497,9.734,0.583,0.489,0.417,0,0,2648,0,115,642.562,191.659,552.978
54,0.439,10.712,0.641,0.431,0.359,0,0,2698,0,117,632.088,166.335,563.478
55,0.492,9.812,0.588,0.484,0.412,0,0,2752,0,120,625.286,184.752,575.273
56,0.451,10.511,0.629,0.443,0.371,0,0,2803,0,122,611.079,165.215,586.063
57,0.457,10.399,0.623,0.449,0.377,0,0,2855,0,124,622.98,170.93,597.013
58,0.439,10.712,0.641,0.431,0.359,0,0,2905,0,126,623.844,164.162,607.513
59,0.46,10.349,0.62,0.452,0.38,0,0,2957,0,128,625.0,172.612,618.536
60,0.476,10.093,0.604,0.468,0.396,0,0,3010,0,131,615.525,175.666,629.927
61,0.496,9.746,0.584,0.488,0.416,0,0,3064,0,134,669.157,199.304,641.817
62,0.464,10.293,0.616,0.456,0.384,0,0,3116,0,136,643.581,179.032,652.92
63,0.51,9.524,0.57,0.502,0.43,0,0,3171,0,139,657.429,201.052,665.13
64,0.479,10.036,0.601,0.471,0.399,0,0,3224,0,142,622.707,178.979,676.603
65,0.535,9.095,0.545,0.527,0.455,0,0,3281,0,145,669.523,215.071,689.43
66,0.482,9.983,0.598,0.474,0.402,0,0,3334,0,148,625.028,180.829,700.979
67,0.469,10.208,0.611,0.461,0.389,0,0,3386,0,150,650.197,182.854,712.203
68,0.496,9.749,0.584,0.488,0.416,0,0,3440,0,153,646.72,192.559,724.09
69,0.52,9.35,0.56,0.512,0.44,0,0,3496,0,156,661.092,206.298,736.55
70,0.518,9.38,0.562,0.51,0.438,0,0,3552,0,159,673.163,209.352,748.967
71,0.511,9.501,0.569,0.503,0.431,0,0,3607,0,162,632.123,193.838,761.21
72,0.541,8.995,0.539,0.533,0.461,0,0,3664,0,165,660.008,214.385,774.182
73,0.524,9.283,0.556,0.516,0.444,0,0,3720,0,168,651.349,204.843,786.739
74,0.451,10.499,0.629,0.443,0.371,0,0,3771,0,170,628.916,170.31,797.546
75,0.509,9.536,0.571,0.501,0.429,0,0,3826,0,173,657.214,200.714,809.739
76,0.477,10.073,0.603,0.469,0.397,0,0,3879,0,176,649.705,185.881,821.159
77,0.549,8.87,0.531,0.541,0.469,0,0,3937,0,179,694.093,228.573,834.31
78,0.465,10.274,0.615,0.457,0.385,0,0,3989,0,181,627.966,175.118,845.44
79,0.553,8.797,0.527,0.545,0.473,0,0,4047,0,184,668.123,221.776,858.697
80,0.476,10.089,0.604,0.468,0.396,0,0,4100,0,187,658.162,187.92,870.093
81,0.55,8.859,0.53,0.542,0.47,0,0,4158,0,190,673.759,222.152,883.261
82,0.538,9.051,0.542,0.53,0.458,0,0,4215,0,193,658.664,212.634,896.152
83,0.511,9.494,0.569,0.503,0.431,0,0,4270,0,196,651.28,199.872,908.405
84,0.494,9.791,0.586,0.486,0.414,0,0,4324,0,199,622.459,184.397,920.231
85,0.529,9.203,0.551,0.521,0.449,0,0,4381,0,202,652.91,207.196,932.903
86,0.501,9.667,0.579,0.493,0.421,0,0,4436,0,205,659.5,198.301,944.907
87,0.542,8.992,0.538,0.534,0.462,0,0,4493,0,208,667.394,216.855,957.883
88,0.516,9.423,0.564,0.508,0.436,0,0,4549,0,211,662.324,204.963,970.239
89,0.53,9.18,0.55,0.522,0.45,0,0,4606,0,214,658.489,209.526,982.944
90,0.529,9.201,0.551,0.521,0.449,0,0,4663,0,217,660.441,209.636,995.619
91,0.471,10.163,0.609,0.463,0.391,0,0,4716,0,219,632.558,178.93,1006.91
92,0.509,9.54,0.571,0.501,0.429,0,0,4771,0,222,645.444,197.029,1019.097
93,0.487,9.905,0.593,0.479,0.407,0,0,4825,0,225,648.252,189.365,1030.758
94,0.53,9.188,0.55,0.522,0.45,0,0,4882,0,228,673.242,214.026,1043.452
95,0.551,8.84,0.529,0.543,0.471,0,0,4940,0,231,681.388,225.132,1056.647
