Time(s),Density,AvgSpeed(m/s),Alpha,CongestionScore_CD,Weight_wij,Sigma_Constrained(0/1),RerouteTriggered(0/1),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,0.371,11.846,0.709,0.363,0.291,0,0,45,0,2,588.677,130.909,8.867
2,0.426,10.919,0.654,0.418,0.346,0,0,94,0,4,593.53,151.763,19.068
3,0.427,10.905,0.653,0.419,0.347,0,0,143,0,6,613.422,157.17,29.291
4,0.442,10.653,0.638,0.434,0.362,0,0,193,0,8,637.512,169.1,39.876
5,0.393,11.479,0.687,0.385,0.313,0,0,240,0,10,604.596,142.428,49.271
6,0.418,11.062,0.662,0.41,0.338,0,0,289,0,12,609.958,152.837,59.267
7,0.426,10.917,0.654,0.418,0.346,0,0,338,0,14,622.512,159.217,69.472
8,0.385,11.607,0.695,0.377,0.305,0,0,384,0,16,583.662,134.817,78.683
9,0.418,11.057,0.662,0.41,0.338,0,0,433,0,18,603.488,151.321,88.687
10,0.435,10.777,0.645,0.427,0.355,0,0,483,0,20,603.512,157.395,99.093
11,0.389,11.541,0.691,0.381,0.309,0,0,530,0,22,591.714,138.088,108.4
12,0.371,11.841,0.709,0.363,0.291,0,0,575,0,24,596.682,132.812,117.275
13,0.392,11.482,0.688,0.384,0.312,0,0,622,0,26,571.355,134.54,126.667
14,0.436,10.748,0.644,0.428,0.356,0,0,672,0,28,612.773,160.455,137.115
15,0.421,11.005,0.659,0.413,0.341,0,0,721,0,30,595.043,150.323,147.193
16,0.433,10.81,0.647,0.425,0.353,0,0,771,0,32,615.756,159.86,157.552
17,0.38,11.696,0.7,0.372,0.3,0,0,817,0,34,599.475,136.545,166.635
18,0.385,11.612,0.695,0.377,0.305,0,0,863,0,36,599.894,138.467,175.84
19,0.437,10.743,0.643,0.429,0.357,0,0,913,0,38,615.817,161.354,186.295
20,0.399,11.378,0.681,0.391,0.319,0,0,960,0,40,620.017,148.323,195.837
21,0.478,10.047,0.602,0.47,0.398,0,0,1013,0,43,646.786,185.641,207.294
22,0.459,10.369,0.621,0.451,0.379,0,0,1065,0,45,620.971,171.051,218.287
23,0.475,10.105,0.605,0.467,0.395,0,0,1118,0,48,634.166,180.699,229.66
24,0.445,10.605,0.635,0.437,0.365,0,0,1169,0,50,614.564,164.077,240.314
25,0.453,10.478,0.627,0.445,0.373,0,0,1220,0,52,615.068,167.008,251.15
26,0.48,10.028,0.6,0.472,0.4,0,0,1273,0,55,661.923,190.436,262.634
27,0.407,11.242,0.673,0.399,0.327,0,0,1321,0,57,593.224,144.81,272.372
28,0.466,10.255,0.614,0.458,0.386,0,0,1373,0,59,635.712,177.714,283.529
29,0.472,10.161,0.608,0.464,0.392,0,0,1426,0,61,650.859,184.14,294.821
30,0.444,10.618,0.636,0.436,0.364,0,0,1477,0,63,603.971,160.973,305.457
31,0.418,11.064,0.662,0.41,0.338,0,0,1526,0,65,600.247,150.363,315.451
32,0.443,10.643,0.637,0.435,0.363,0,0,1576,0,67,618.845,164.373,326.05
33,0.445,10.611,0.635,0.437,0.365,0,0,1627,0,69,597.581,159.423,336.695
34,0.453,10.463,0.627,0.445,0.373,0,0,1678,0,71,613.253,166.864,347.554
35,0.418,11.048,0.662,0.41,0.338,0,0,1727,0,73,610.869,153.374,357.571
36,0.448,10.555,0.632,0.44,0.368,0,0,1778,0,75,636.878,171.184,368.297
37,0.47,10.192,0.61,0.462,0.39,0,0,1830,0,77,658.378,185.545,379.545
38,0.46,10.353,0.62,0.452,0.38,0,0,1882,0,79,619.944,171.126,390.562
