# FCR baseline synthetic trace (formula-consistent template)
# Scenario=Manhattan | Seed=802 | Duration=3600s | UpdateInterval=300s | α=0.8 | β=1.3 | δ=0.5
# Generated=2026-02-14T11:34:25.865799Z
"# NOTE: This is a synthetic, equation-constrained trace for comparison formatting. Use real simulator outputs for publication claims."

Time(s),Scenario,SegmentID,K_t (density),K_max,v_t (m/s),v_max (m/s),F_t (flow),F_cap (capacity),ResidualCap,F_exc (excess),Congested(0/1),CongestionExpansion_beta,Compliance_alpha,UpdateStep(0/1),ReroutedVolume_Ek,DetourPriority_L,TravelTimeLoss_Ck_Path1,TravelTimeLoss_Ck_Path2,TravelTimeLoss_Ck_Path3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,Manhattan,M31-37,0.4537,0.8967,7.6249,15.0055,3.4594,1.682,-1.7774,1.7774,1,1.3,0.8,0,0.0,0.5273,94.587,117.866,149.626,0,66,0,5,801.568,260.014,25.691
2,Manhattan,M19-24,0.3938,0.9326,8.9591,15.7995,3.5277,1.8418,-1.6859,1.6859,1,1.3,0.8,0,0.0,0.9259,92.572,118.813,114.338,0,127,0,9,783.914,229.769,49.355
3,Manhattan,M12-19,0.3601,0.9323,11.2013,17.6118,4.0335,2.0524,-1.9811,1.9811,1,1.3,0.8,0,0.0,0.0503,83.02,110.86,135.707,0,185,0,12,773.287,213.149,70.013
4,Manhattan,M19-24,0.3809,0.9326,9.3246,15.7995,3.552,1.8418,-1.7102,1.7102,1,1.3,0.8,0,0.0,0.9259,86.802,112.381,139.249,0,245,0,16,766.388,220.568,93.143
5,Manhattan,M52-61,0.3994,0.9494,10.183,17.9482,4.067,2.1299,-1.937,1.937,1,1.3,0.8,0,0.0,0.7742,86.38,111.272,142.8,0,306,0,20,779.969,231.331,115.311
6,Manhattan,M78-85,0.4184,0.9211,9.5902,17.7069,4.0124,2.0387,-1.9737,1.9737,1,1.3,0.8,0,0.0,0.0912,104.922,119.55,142.484,0,369,0,24,803.674,244.937,138.334
7,Manhattan,M45-52,0.459,0.9851,8.2728,15.9695,3.7968,1.9665,-1.8304,1.8304,1,1.3,0.8,0,0.0,0.478,100.447,124.892,132.554,0,435,0,29,836.183,271.074,163.246
8,Manhattan,M52-61,0.3866,0.9494,9.9597,17.9482,3.8507,2.1299,-1.7208,1.7208,1,1.3,0.8,0,0.0,0.7742,84.574,110.128,116.694,0,495,0,33,761.551,221.94,185.616
9,Manhattan,M45-52,0.3646,0.9851,10.2158,15.9695,3.7249,1.9665,-1.7584,1.7584,1,1.3,0.8,0,0.0,0.478,82.103,94.523,125.752,0,554,0,36,764.752,213.364,207.534
10,Manhattan,M19-24,0.4009,0.9326,8.4,15.7995,3.3672,1.8418,-1.5254,1.5254,1,1.3,0.8,0,0.0,0.9259,90.951,112.684,113.177,0,616,0,40,790.772,234.343,231.94
11,Manhattan,M52-61,0.3629,0.9494,11.0862,17.9482,4.0227,2.1299,-1.8928,1.8928,1,1.3,0.8,0,0.0,0.7742,93.806,103.749,133.644,0,675,0,43,761.672,212.009,252.759
12,Manhattan,M70-78,0.4127,0.9908,9.1434,17.3604,3.7736,2.15,-1.6236,1.6236,1,1.3,0.8,0,0.0,0.4075,90.741,103.887,147.963,0,738,0,47,760.211,232.562,276.306
13,Manhattan,M24-31,0.4449,0.8978,9.0176,16.5716,4.012,1.8597,-2.1523,2.1523,1,1.3,0.8,0,0.0,0.3178,102.036,117.496,140.387,0,803,0,52,802.5,256.368,300.203
14,Manhattan,M31-37,0.4684,0.8967,6.7829,15.0055,3.1771,1.682,-1.4951,1.4951,1,1.3,0.8,0,0.0,0.5273,103.338,113.907,136.9,0,870,0,57,808.971,268.403,327.035
15,Manhattan,M31-37,0.42,0.8967,8.0889,15.0055,3.3972,1.682,-1.7152,1.7152,1,1.3,0.8,0,0.0,0.5273,101.82,112.63,123.316,0,933,0,61,805.671,246.102,351.944
16,Manhattan,M61-70,0.429,0.9503,8.321,16.6036,3.5698,1.9722,-1.5975,1.5975,1,1.3,0.8,0,0.0,0.07,103.689,113.148,149.223,0,997,0,65,801.216,249.051,376.617
17,Manhattan,M24-31,0.369,0.8978,9.7201,16.5716,3.5862,1.8597,-1.7265,1.7265,1,1.3,0.8,0,0.0,0.3178,90.559,100.603,114.217,0,1056,0,68,765.085,215.254,399.18
18,Manhattan,M52-61,0.4266,0.9494,10.1619,17.9482,4.3349,2.1299,-2.2049,2.2049,1,1.3,0.8,0,0.0,0.7742,106.195,111.614,137.479,0,1120,0,72,771.759,241.07,421.537
19,Manhattan,M31-37,0.3661,0.8967,9.0213,15.0055,3.3025,1.682,-1.6206,1.6206,1,1.3,0.8,0,0.0,0.5273,80.16,109.803,137.746,0,1179,0,75,768.458,214.724,444.957
20,Manhattan,M12-19,0.3717,0.9323,11.047,17.6118,4.1066,2.0524,-2.0542,2.0542,1,1.3,0.8,0,0.0,0.0503,84.062,99.478,113.98,0,1238,0,78,748.965,213.132,465.879
