# FCR baseline synthetic trace (formula-consistent template)
# Scenario=Manhattan | Seed=804 | Duration=3600s | UpdateInterval=300s | α=0.8 | β=1.3 | δ=0.5
# Generated=2026-02-14T11:34:25.970050Z
"# NOTE: This is a synthetic, equation-constrained trace for comparison formatting. Use real simulator outputs for publication claims."

Time(s),Scenario,SegmentID,K_t (density),K_max,v_t (m/s),v_max (m/s),F_t (flow),F_cap (capacity),ResidualCap,F_exc (excess),Congested(0/1),CongestionExpansion_beta,Compliance_alpha,UpdateStep(0/1),ReroutedVolume_Ek,DetourPriority_L,TravelTimeLoss_Ck_Path1,TravelTimeLoss_Ck_Path2,TravelTimeLoss_Ck_Path3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,Manhattan,M19-24,0.3806,0.919,9.8126,16.1358,3.7343,1.8537,-1.8806,1.8806,1,1.3,0.8,0,0.0,0.0381,95.69,100.86,119.363,0,60,0,4,789.617,225.275,22.518
2,Manhattan,M61-70,0.3772,0.9058,9.9576,16.9946,3.7559,1.9241,-1.8317,1.8317,1,1.3,0.8,0,0.0,0.6238,91.3,106.054,114.281,0,120,0,8,748.461,215.27,44.834
3,Manhattan,M70-78,0.4332,0.9749,8.2658,15.4547,3.5809,1.8834,-1.6976,1.6976,1,1.3,0.8,0,0.0,0.0235,96.95,109.3,152.505,0,184,0,12,792.315,248.786,69.601
4,Manhattan,M78-85,0.3799,0.9644,9.285,15.1212,3.5277,1.8229,-1.7048,1.7048,1,1.3,0.8,0,0.0,0.7158,86.391,106.348,137.742,0,244,0,16,774.251,221.792,92.774
5,Manhattan,M19-24,0.374,0.919,9.3179,16.1358,3.4852,1.8537,-1.6315,1.6315,1,1.3,0.8,0,0.0,0.0381,82.051,96.896,136.837,0,303,0,19,732.647,210.716,115.871
6,Manhattan,M37-45,0.365,0.8596,8.8496,15.3994,3.2299,1.6547,-1.5753,1.5753,1,1.3,0.8,0,0.0,0.3555,89.313,108.832,121.426,0,362,0,22,724.731,205.481,139.499
7,Manhattan,M78-85,0.4514,0.9644,8.0438,15.1212,3.6309,1.8229,-1.8079,1.8079,1,1.3,0.8,0,0.0,0.7158,98.83,129.921,144.994,0,428,0,27,831.754,266.492,164.652
8,Manhattan,M31-37,0.3765,0.9753,9.4569,16.1199,3.5608,1.9652,-1.5957,1.5957,1,1.3,0.8,0,0.0,0.0389,97.032,111.744,106.418,0,488,0,31,770.675,219.602,187.59
9,Manhattan,M12-19,0.3919,0.9218,9.2845,15.939,3.6387,1.8366,-1.8021,1.8021,1,1.3,0.8,0,0.0,0.7061,83.097,107.226,141.805,0,549,0,35,793.594,231.062,210.836
10,Manhattan,M61-70,0.466,0.9058,8.1859,16.9946,3.8143,1.9241,-1.8901,1.8901,1,1.3,0.8,0,0.0,0.6238,104.672,112.212,148.264,0,616,0,40,795.158,263.78,235.899
11,Manhattan,M70-78,0.4269,0.9749,8.61,15.4547,3.6757,1.8834,-1.7924,1.7924,1,1.3,0.8,0,0.0,0.0235,92.463,112.41,145.834,0,680,0,44,772.555,241.398,260.198
12,Manhattan,M45-52,0.4512,0.9754,7.8354,16.5454,3.5357,2.0174,-1.5183,1.5183,1,1.3,0.8,0,0.0,0.3691,97.256,120.597,123.634,0,746,0,49,824.566,264.646,285.612
13,Manhattan,M52-61,0.3734,0.9664,10.7291,16.9454,4.0058,2.047,-1.9587,1.9587,1,1.3,0.8,0,0.0,0.8233,87.55,109.204,118.979,0,805,0,52,736.296,211.194,306.94
14,Manhattan,M12-19,0.4615,0.9218,7.866,15.939,3.6301,1.8366,-1.7935,1.7935,1,1.3,0.8,0,0.0,0.7061,100.855,119.477,142.702,0,871,0,57,782.849,258.706,332.377
15,Manhattan,M45-52,0.437,0.9754,8.1594,16.5454,3.566,2.0174,-1.5486,1.5486,1,1.3,0.8,0,0.0,0.3691,104.975,118.633,121.911,0,935,0,62,774.336,246.126,357.3
16,Manhattan,M19-24,0.4789,0.919,7.7415,16.1358,3.7073,1.8537,-1.8536,1.8536,1,1.3,0.8,0,0.0,0.0381,103.778,122.79,159.101,0,1003,0,67,793.609,269.027,382.996
17,Manhattan,M52-61,0.4058,0.9664,9.8476,16.9454,3.9958,2.047,-1.9488,1.9488,1,1.3,0.8,0,0.0,0.8233,95.113,115.278,122.754,0,1065,0,71,761.794,230.009,405.621
18,Manhattan,M61-70,0.386,0.9058,9.5234,16.9946,3.6763,1.9241,-1.7522,1.7522,1,1.3,0.8,0,0.0,0.6238,88.408,101.598,134.033,0,1125,0,75,755.382,220.38,428.533
19,Manhattan,M45-52,0.4313,0.9754,8.665,16.5454,3.737,2.0174,-1.7196,1.7196,1,1.3,0.8,0,0.0,0.3691,94.591,113.728,130.153,0,1189,0,79,809.821,252.088,452.79
20,Manhattan,M12-19,0.4338,0.9218,8.8281,15.939,3.8293,1.8366,-1.9927,1.9927,1,1.3,0.8,0,0.0,0.7061,97.041,120.08,149.925,0,1253,0,83,783.738,246.977,476.857
21,Manhattan,M45-52,0.4712,0.9754,8.4918,16.5454,4.0014,2.0174,-1.9841,1.9841,1,1.3,0.8,0,0.0,0.3691,96.93,116.056,131.866,0,1320,0,88,836.809,276.873,501.569
22,Manhattan,M78-85,0.4466,0.9644,7.4201,15.1212,3.3136,1.8229,-1.4907,1.4907,1,1.3,0.8,0,0.0,0.7158,101.971,109.383,129.429,0,1385,0,93,813.45,259.795,527.474
23,Manhattan,M78-85,0.4768,0.9644,7.7595,15.1212,3.6994,1.8229,-1.8764,1.8764,1,1.3,0.8,0,0.0,0.7158,115.708,117.909,152.532,0,1453,0,98,823.201,275.856,553.135
24,Manhattan,M78-85,0.4601,0.9644,7.3605,15.1212,3.3865,1.8229,-1.5636,1.5636,1,1.3,0.8,0,0.0,0.7158,95.41,128.138,141.218,0,1519,0,103,831.359,270.377,579.195
25,Manhattan,M52-61,0.3783,0.9664,9.7213,16.9454,3.6778,2.047,-1.6308,1.6308,1,1.3,0.8,0,0.0,0.8233,89.556,111.072,117.391,0,1579,0,107,764.582,219.094,601.813
26,Manhattan,M70-78,0.4288,0.9749,7.6783,15.4547,3.2926,1.8834,-1.4092,1.4092,1,1.3,0.8,0,0.0,0.0235,100.576,127.185,115.809,0,1643,0,111,771.01,241.84,627.288
27,Manhattan,M31-37,0.4904,0.9753,7.7888,16.1199,3.8195,1.9652,-1.8543,1.8543,1,1.3,0.8,0,0.0,0.0389,104.6,125.6,126.816,0,1712,0,117,820.386,281.268,652.994
28,Manhattan,M78-85,0.4057,0.9644,8.7192,15.1212,3.5374,1.8229,-1.7145,1.7145,1,1.3,0.8,0,0.0,0.7158,85.356,122.019,111.513,0,1774,0,121,746.079,226.478,677.03
29,Manhattan,M45-52,0.4355,0.9754,8.7083,16.5454,3.7921,2.0174,-1.7747,1.7747,1,1.3,0.8,0,0.0,0.3691,106.374,122.52,127.88,0,1838,0,126,816.481,255.549,701.257
30,Manhattan,M61-70,0.3849,0.9058,9.8167,16.9946,3.7787,1.9241,-1.8546,1.8546,1,1.3,0.8,0,0.0,0.6238,87.019,100.315,129.799,0,1898,0,130,738.473,216.343,723.796
31,Manhattan,M61-70,0.4951,0.9058,7.5742,16.9946,3.7502,1.9241,-1.826,1.826,1,1.3,0.8,0,0.0,0.6238,101.145,132.719,146.81,0,1967,0,136,851.802,291.96,749.799
