# FCR baseline synthetic trace (formula-consistent template)
# Scenario=Delhi | Seed=903 | Duration=3600s | UpdateInterval=300s | α=0.8 | β=1.3 | δ=0.5
# Generated=2026-02-14T11:34:26.233991Z
"# NOTE: This is a synthetic, equation-constrained trace for comparison formatting. Use real simulator outputs for publication claims."

Time(s),Scenario,SegmentID,K_t (density),K_max,v_t (m/s),v_max (m/s),F_t (flow),F_cap (capacity),ResidualCap,F_exc (excess),Congested(0/1),CongestionExpansion_beta,Compliance_alpha,UpdateStep(0/1),ReroutedVolume_Ek,DetourPriority_L,TravelTimeLoss_Ck_Path1,TravelTimeLoss_Ck_Path2,TravelTimeLoss_Ck_Path3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,Delhi,D45-52,0.3701,0.9101,8.348,14.4677,3.0895,1.8104,-1.2791,1.2791,1,1.3,0.8,0,0.0,0.9514,95.575,103.287,114.919,0,59,0,3,743.328,211.303,24.286
2,Delhi,D52-61,0.3527,0.8623,8.8345,14.7486,3.1156,1.7487,-1.3669,1.3669,1,1.3,0.8,0,0.0,0.344,75.706,99.536,112.423,0,117,0,6,746.597,204.814,47.858
3,Delhi,D12-19,0.4093,0.8563,7.4247,14.2104,3.0388,1.6732,-1.3657,1.3657,1,1.3,0.8,0,0.0,0.6464,97.314,117.877,147.536,0,179,0,10,775.562,234.586,73.533
4,Delhi,D45-52,0.4352,0.9101,7.5358,14.4677,3.2796,1.8104,-1.4692,1.4692,1,1.3,0.8,0,0.0,0.9514,98.806,120.419,140.227,0,243,0,15,820.364,256.363,99.225
5,Delhi,D37-45,0.459,0.8791,7.8346,14.856,3.5964,1.7956,-1.8008,1.8008,1,1.3,0.8,0,0.0,0.9396,103.49,127.011,155.887,0,309,0,20,822.403,267.636,124.686
6,Delhi,D12-19,0.3605,0.8563,8.8623,14.2104,3.1951,1.6732,-1.522,1.522,1,1.3,0.8,0,0.0,0.6464,88.119,94.225,106.233,0,367,0,23,740.407,206.817,148.271
7,Delhi,D31-37,0.4067,0.8777,8.083,13.6559,3.2876,1.648,-1.6396,1.6396,1,1.3,0.8,0,0.0,0.7631,86.493,119.075,113.63,0,429,0,27,770.429,232.343,173.108
8,Delhi,D78-85,0.4291,0.9835,7.6868,13.4248,3.2988,1.8155,-1.4833,1.4833,1,1.3,0.8,0,0.0,0.7492,100.52,110.809,121.224,0,493,0,31,799.407,248.685,198.574
9,Delhi,D37-45,0.4617,0.8791,7.0818,14.856,3.2696,1.7956,-1.474,1.474,1,1.3,0.8,0,0.0,0.9396,100.919,128.404,124.745,0,559,0,36,791.616,261.018,224.992
10,Delhi,D45-52,0.3587,0.9101,9.0541,14.4677,3.2481,1.8104,-1.4377,1.4377,1,1.3,0.8,0,0.0,0.9514,92.518,104.882,121.259,0,617,0,39,755.307,209.029,248.327
11,Delhi,D31-37,0.4194,0.8777,6.8871,13.6559,2.8884,1.648,-1.2404,1.2404,1,1.3,0.8,0,0.0,0.7631,104.957,121.212,126.134,0,680,0,43,768.569,237.283,274.734
12,Delhi,D19-24,0.4153,0.948,8.5128,14.8237,3.5356,1.9323,-1.6033,1.6033,1,1.3,0.8,0,0.0,0.8848,87.858,123.593,137.057,0,743,0,47,788.849,240.196,299.085
13,Delhi,D19-24,0.409,0.948,8.0223,14.8237,3.2811,1.9323,-1.3489,1.3489,1,1.3,0.8,0,0.0,0.8848,96.943,104.166,111.998,0,805,0,51,779.876,235.434,324.011
14,Delhi,D24-31,0.3688,0.8936,9.2364,14.4454,3.4061,1.7748,-1.6313,1.6313,1,1.3,0.8,0,0.0,0.7249,88.522,98.095,113.683,0,864,0,54,754.71,213.072,347.178
15,Delhi,D70-78,0.4503,0.8878,6.9766,14.8361,3.1418,1.8112,-1.3306,1.3306,1,1.3,0.8,0,0.0,0.5544,100.5,115.319,124.353,0,930,0,59,828.928,265.308,373.66
16,Delhi,D31-37,0.4644,0.8777,6.8455,13.6559,3.1792,1.648,-1.5312,1.5312,1,1.3,0.8,0,0.0,0.7631,111.476,126.326,155.334,0,997,0,64,816.321,268.513,400.389
17,Delhi,D31-37,0.4506,0.8777,7.0332,13.6559,3.1693,1.648,-1.5213,1.5213,1,1.3,0.8,0,0.0,0.7631,109.627,129.666,124.394,0,1063,0,69,802.856,258.983,426.801
18,Delhi,D37-45,0.4472,0.8791,7.236,14.856,3.2356,1.7956,-1.4399,1.4399,1,1.3,0.8,0,0.0,0.9396,97.78,108.92,133.279,0,1128,0,74,779.893,251.802,452.939
19,Delhi,D52-61,0.4126,0.8623,8.195,14.7486,3.3809,1.7487,-1.6323,1.6323,1,1.3,0.8,0,0.0,0.344,102.362,111.122,142.9,0,1191,0,78,764.058,233.37,477.671
20,Delhi,D61-70,0.4138,0.8874,7.4123,14.1868,3.0673,1.731,-1.3363,1.3363,1,1.3,0.8,0,0.0,0.2162,103.14,114.094,134.594,0,1254,0,82,808.256,243.96,503.389
21,Delhi,D52-61,0.4413,0.8623,7.4485,14.7486,3.287,1.7487,-1.5384,1.5384,1,1.3,0.8,0,0.0,0.344,105.178,120.865,129.901,0,1319,0,87,795.091,252.982,529.226
22,Delhi,D31-37,0.4513,0.8777,6.9708,13.6559,3.1457,1.648,-1.4977,1.4977,1,1.3,0.8,0,0.0,0.7631,94.842,117.396,143.574,0,1385,0,92,819.442,263.385,555.72
23,Delhi,D24-31,0.477,0.8936,7.0793,14.4454,3.3767,1.7748,-1.6019,1.6019,1,1.3,0.8,0,0.0,0.7249,110.065,115.641,127.093,0,1453,0,97,799.618,269.773,582.233
24,Delhi,D37-45,0.4025,0.8791,8.9371,14.856,3.5972,1.7956,-1.8015,1.8015,1,1.3,0.8,0,0.0,0.9396,93.191,110.863,141.292,0,1515,0,101,790.939,235.095,605.976
25,Delhi,D70-78,0.4938,0.8878,6.4346,14.8361,3.1773,1.8112,-1.3661,1.3661,1,1.3,0.8,0,0.0,0.5544,112.309,125.571,154.132,0,1584,0,107,839.341,287.951,633.396
26,Delhi,D70-78,0.4546,0.8878,7.4156,14.8361,3.3714,1.8112,-1.5602,1.5602,1,1.3,0.8,0,0.0,0.5544,103.696,124.94,134.762,0,1650,0,112,807.022,261.796,659.354
27,Delhi,D78-85,0.3818,0.9835,7.4451,13.4248,2.8428,1.8155,-1.0273,1.0273,1,1.3,0.8,0,0.0,0.7492,81.217,115.999,134.446,0,1710,0,116,741.314,215.684,684.839
28,Delhi,D19-24,0.4842,0.948,7.4948,14.8237,3.6288,1.9323,-1.6965,1.6965,1,1.3,0.8,0,0.0,0.8848,114.277,130.482,127.865,0,1778,0,121,849.5,286.217,710.876
29,Delhi,D70-78,0.4517,0.8878,7.6316,14.8361,3.4474,1.8112,-1.6362,1.6362,1,1.3,0.8,0,0.0,0.5544,110.591,112.237,127.215,0,1844,0,126,801.062,259.024,736.546
30,Delhi,D61-70,0.4758,0.8874,6.4206,14.1868,3.0552,1.731,-1.3242,1.3242,1,1.3,0.8,0,0.0,0.2162,107.222,126.006,124.746,0,1912,0,131,795.599,268.22,763.876
31,Delhi,D24-31,0.4831,0.8936,6.251,14.4454,3.0201,1.7748,-1.2452,1.2452,1,1.3,0.8,0,0.0,0.7249,115.556,116.584,154.353,0,1980,0,136,834.512,281.749,791.461
32,Delhi,D31-37,0.4147,0.8777,7.3376,13.6559,3.0428,1.648,-1.3948,1.3948,1,1.3,0.8,0,0.0,0.7631,92.879,119.626,145.62,0,2043,0,140,759.039,233.119,817.277
33,Delhi,D31-37,0.4463,0.8777,6.7192,13.6559,2.9989,1.648,-1.351,1.351,1,1.3,0.8,0,0.0,0.7631,102.337,118.902,134.548,0,2108,0,145,782.356,252.051,844.056
34,Delhi,D19-24,0.4349,0.948,7.9753,14.8237,3.4688,1.9323,-1.5365,1.5365,1,1.3,0.8,0,0.0,0.8848,93.98,116.43,153.157,0,2172,0,150,778.328,246.188,869.196
35,Delhi,D31-37,0.3929,0.8777,7.6951,13.6559,3.0233,1.648,-1.3753,1.3753,1,1.3,0.8,0,0.0,0.7631,99.03,102.464,134.231,0,2233,0,154,774.063,227.267,894.435
36,Delhi,D70-78,0.3987,0.8878,8.0857,14.8361,3.2241,1.8112,-1.4129,1.4129,1,1.3,0.8,0,0.0,0.5544,88.979,109.28,133.898,0,2294,0,158,770.025,228.873,919.22
37,Delhi,D45-52,0.4737,0.9101,7.0173,14.4677,3.324,1.8104,-1.5136,1.5136,1,1.3,0.8,0,0.0,0.9514,109.626,113.469,150.059,0,2361,0,163,794.56,267.004,945.791
38,Delhi,D37-45,0.4907,0.8791,7.1586,14.856,3.5126,1.7956,-1.7169,1.7169,1,1.3,0.8,0,0.0,0.9396,108.487,118.538,154.92,0,2430,0,169,804.723,277.173,972.286
39,Delhi,D45-52,0.4787,0.9101,7.2415,14.4677,3.4666,1.8104,-1.6561,1.6561,1,1.3,0.8,0,0.0,0.9514,102.282,124.501,143.97,0,2498,0,174,842.485,281.818,998.607
40,Delhi,D45-52,0.4115,0.9101,7.5478,14.4677,3.1062,1.8104,-1.2958,1.2958,1,1.3,0.8,0,0.0,0.9514,97.639,109.513,144.448,0,2560,0,178,787.708,238.294,1024.141
41,Delhi,D70-78,0.4907,0.8878,6.6184,14.8361,3.2477,1.8112,-1.4365,1.4365,1,1.3,0.8,0,0.0,0.5544,111.318,117.538,131.45,0,2629,0,184,828.065,283.482,1051.312
42,Delhi,D37-45,0.4046,0.8791,8.1874,14.856,3.3123,1.7956,-1.5167,1.5167,1,1.3,0.8,0,0.0,0.9396,91.956,105.994,136.69,0,2691,0,188,754.37,227.853,1076.005
43,Delhi,D31-37,0.4983,0.8777,6.2953,13.6559,3.1369,1.648,-1.4889,1.4889,1,1.3,0.8,0,0.0,0.7631,107.839,139.401,148.322,0,2760,0,194,852.335,293.592,1103.626
44,Delhi,D24-31,0.4645,0.8936,7.0746,14.4454,3.2861,1.7748,-1.5113,1.5113,1,1.3,0.8,0,0.0,0.7249,112.952,122.265,135.757,0,2827,0,199,807.02,266.171,1130.07
45,Delhi,D37-45,0.4179,0.8791,8.3751,14.856,3.4999,1.7956,-1.7042,1.7042,1,1.3,0.8,0,0.0,0.9396,94.364,103.292,120.231,0,2890,0,203,768.598,236.655,1154.608
46,Delhi,D78-85,0.4924,0.9835,5.7833,13.4248,2.8478,1.8155,-1.0323,1.0323,1,1.3,0.8,0,0.0,0.7492,113.738,137.148,147.797,0,2959,0,209,821.124,282.385,1182.834
47,Delhi,D70-78,0.4397,0.8878,8.1139,14.8361,3.5678,1.8112,-1.7566,1.7566,1,1.3,0.8,0,0.0,0.5544,102.201,126.185,145.769,0,3024,0,214,785.223,249.899,1207.83
48,Delhi,D70-78,0.4403,0.8878,7.8174,14.8361,3.4418,1.8112,-1.6306,1.6306,1,1.3,0.8,0,0.0,0.5544,96.913,120.824,119.919,0,3089,0,219,812.871,256.838,1233.199
49,Delhi,D61-70,0.4308,0.8874,7.2592,14.1868,3.1275,1.731,-1.3965,1.3965,1,1.3,0.8,0,0.0,0.2162,100.66,116.051,139.255,0,3153,0,223,762.278,240.63,1259.211
50,Delhi,D45-52,0.4848,0.9101,7.139,14.4677,3.4607,1.8104,-1.6503,1.6503,1,1.3,0.8,0,0.0,0.9514,101.652,125.999,152.566,0,3221,0,228,802.769,274.034,1285.695
51,Delhi,D31-37,0.4183,0.8777,7.0876,13.6559,2.9651,1.648,-1.3171,1.3171,1,1.3,0.8,0,0.0,0.7631,101.295,104.617,149.953,0,3284,0,232,771.11,237.425,1311.846
52,Delhi,D37-45,0.5177,0.8791,6.6536,14.856,3.4445,1.7956,-1.6489,1.6489,1,1.3,0.8,0,0.0,0.9396,108.485,133.653,131.431,0,3355,0,238,864.09,306.03,1339.135
53,Delhi,D37-45,0.4427,0.8791,7.1238,14.856,3.1535,1.7956,-1.3579,1.3579,1,1.3,0.8,0,0.0,0.9396,100.624,113.992,131.601,0,3420,0,243,804.56,255.886,1365.386
54,Delhi,D19-24,0.4266,0.948,7.5476,14.8237,3.2198,1.9323,-1.2875,1.2875,1,1.3,0.8,0,0.0,0.8848,89.195,124.531,141.752,0,3484,0,247,764.116,239.281,1391.011
