# FCR baseline synthetic trace (formula-consistent template)
# Scenario=Manhattan | Seed=805 | Duration=3600s | UpdateInterval=300s | α=0.8 | β=1.3 | δ=0.5
# Generated=2026-02-14T11:34:26.032420Z
"# NOTE: This is a synthetic, equation-constrained trace for comparison formatting. Use real simulator outputs for publication claims."

Time(s),Scenario,SegmentID,K_t (density),K_max,v_t (m/s),v_max (m/s),F_t (flow),F_cap (capacity),ResidualCap,F_exc (excess),Congested(0/1),CongestionExpansion_beta,Compliance_alpha,UpdateStep(0/1),ReroutedVolume_Ek,DetourPriority_L,TravelTimeLoss_Ck_Path1,TravelTimeLoss_Ck_Path2,TravelTimeLoss_Ck_Path3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,Manhattan,M24-31,0.3789,0.861,8.7504,15.6688,3.3154,1.6863,-1.6291,1.6291,1,1.3,0.8,0,0.0,0.806,82.358,96.825,122.146,0,60,0,4,766.092,219.643,23.835
2,Manhattan,M31-37,0.4091,0.8922,9.9006,17.0154,4.0504,1.8976,-2.1529,2.1529,1,1.3,0.8,0,0.0,0.8221,93.761,110.69,139.48,0,122,0,8,800.194,240.053,46.414
3,Manhattan,M78-85,0.401,0.918,9.2439,16.6987,3.7069,1.9161,-1.7909,1.7909,1,1.3,0.8,0,0.0,0.6835,99.284,105.134,110.199,0,184,0,12,758.766,227.352,69.765
4,Manhattan,M12-19,0.4136,0.9241,8.8493,16.6345,3.6602,1.9215,-1.7386,1.7386,1,1.3,0.8,0,0.0,0.5744,86.625,114.244,147.376,0,247,0,16,770.108,235.188,93.685
5,Manhattan,M61-70,0.4015,0.9818,9.4131,16.1171,3.779,1.9779,-1.8011,1.8011,1,1.3,0.8,0,0.0,0.0852,88.605,114.715,141.409,0,309,0,20,764.006,228.694,116.828
6,Manhattan,M52-61,0.3856,0.9589,9.0654,16.4006,3.4955,1.9658,-1.5297,1.5297,1,1.3,0.8,0,0.0,0.9361,94.121,104.236,107.936,0,369,0,24,755.404,220.202,140.31
7,Manhattan,M24-31,0.3675,0.861,9.6957,15.6688,3.5632,1.6863,-1.8769,1.8769,1,1.3,0.8,0,0.0,0.806,95.929,108.656,140.709,0,428,0,27,756.22,212.853,162.895
8,Manhattan,M61-70,0.3919,0.9818,8.9375,16.1171,3.5025,1.9779,-1.5245,1.5245,1,1.3,0.8,0,0.0,0.0852,85.006,101.0,139.429,0,489,0,31,770.474,226.065,186.574
9,Manhattan,M70-78,0.3988,0.9624,9.3532,17.3238,3.7297,2.0841,-1.6456,1.6456,1,1.3,0.8,0,0.0,0.2917,87.175,112.698,143.163,0,550,0,35,757.676,226.173,209.775
10,Manhattan,M70-78,0.416,0.9624,9.7195,17.3238,4.043,2.0841,-1.9589,1.9589,1,1.3,0.8,0,0.0,0.2917,91.748,118.945,130.061,0,613,0,39,785.181,239.635,232.622
11,Manhattan,M78-85,0.4362,0.918,9.0472,16.6987,3.9467,1.9161,-2.0306,2.0306,1,1.3,0.8,0,0.0,0.6835,93.149,120.033,126.917,0,677,0,44,785.66,248.501,256.43
12,Manhattan,M24-31,0.3829,0.861,9.1609,15.6688,3.5082,1.6863,-1.8219,1.8219,1,1.3,0.8,0,0.0,0.806,98.461,105.553,128.042,0,737,0,48,788.735,226.124,279.777
13,Manhattan,M12-19,0.4694,0.9241,8.4558,16.6345,3.9694,1.9215,-2.0479,2.0479,1,1.3,0.8,0,0.0,0.5744,98.95,122.496,138.325,0,804,0,53,835.302,275.665,304.524
14,Manhattan,M37-45,0.3635,0.9853,9.512,16.1309,3.4574,1.9867,-1.4707,1.4707,1,1.3,0.8,0,0.0,0.7931,90.064,103.937,122.26,0,863,0,56,757.09,211.35,327.315
15,Manhattan,M61-70,0.4258,0.9818,8.2854,16.1171,3.5282,1.9779,-1.5503,1.5503,1,1.3,0.8,0,0.0,0.0852,90.615,118.377,121.268,0,927,0,60,786.663,244.242,352.013
16,Manhattan,M52-61,0.4466,0.9589,9.0268,16.4006,4.0316,1.9658,-2.0658,2.0658,1,1.3,0.8,0,0.0,0.9361,92.465,120.204,137.501,0,992,0,65,827.053,263.161,375.909
17,Manhattan,M70-78,0.467,0.9624,8.4715,17.3238,3.9561,2.0841,-1.8721,1.8721,1,1.3,0.8,0,0.0,0.2917,103.944,131.256,124.769,0,1059,0,70,839.247,275.557,400.622
18,Manhattan,M12-19,0.4355,0.9241,8.7793,16.6345,3.8236,1.9215,-1.9021,1.9021,1,1.3,0.8,0,0.0,0.5744,104.924,110.578,128.859,0,1123,0,75,785.626,248.19,424.761
