# FCR baseline synthetic trace (formula-consistent template)
# Scenario=Delhi | Seed=901 | Duration=3600s | UpdateInterval=300s | α=0.8 | β=1.3 | δ=0.5
# Generated=2026-02-14T11:34:26.083340Z
"# NOTE: This is a synthetic, equation-constrained trace for comparison formatting. Use real simulator outputs for publication claims."

Time(s),Scenario,SegmentID,K_t (density),K_max,v_t (m/s),v_max (m/s),F_t (flow),F_cap (capacity),ResidualCap,F_exc (excess),Congested(0/1),CongestionExpansion_beta,Compliance_alpha,UpdateStep(0/1),ReroutedVolume_Ek,DetourPriority_L,TravelTimeLoss_Ck_Path1,TravelTimeLoss_Ck_Path2,TravelTimeLoss_Ck_Path3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,Delhi,D24-31,0.342,0.9375,8.9268,13.7584,3.0526,1.7736,-1.279,1.279,1,1.3,0.8,0,0.0,0.8356,84.954,103.714,103.499,0,57,0,3,752.17,201.466,23.393
2,Delhi,D19-24,0.4311,0.8942,8.0984,15.1633,3.4916,1.8643,-1.6273,1.6273,1,1.3,0.8,0,0.0,0.0172,96.016,120.954,131.578,0,121,0,7,817.668,253.894,48.357
3,Delhi,D45-52,0.4432,0.8899,6.3619,13.3933,2.8196,1.6389,-1.1807,1.1807,1,1.3,0.8,0,0.0,0.2969,107.416,115.264,131.042,0,186,0,12,826.429,261.447,75.564
4,Delhi,D12-19,0.4286,0.9147,6.825,13.7159,2.9251,1.725,-1.2,1.2,1,1.3,0.8,0,0.0,0.1043,92.856,113.469,115.407,0,250,0,16,790.069,246.233,102.104
5,Delhi,D24-31,0.3976,0.9375,7.4846,13.7584,2.9755,1.7736,-1.2019,1.2019,1,1.3,0.8,0,0.0,0.8356,89.953,102.251,110.765,0,311,0,20,745.77,223.065,127.634
6,Delhi,D37-45,0.4587,0.964,6.7407,14.0794,3.0922,1.8661,-1.2261,1.2261,1,1.3,0.8,0,0.0,0.5313,100.861,121.237,138.095,0,377,0,25,785.739,258.246,154.46
7,Delhi,D78-85,0.4416,0.9458,8.4226,15.0906,3.7193,1.9625,-1.7568,1.7568,1,1.3,0.8,0,0.0,0.3813,102.176,120.141,136.734,0,442,0,30,787.559,251.279,179.081
8,Delhi,D37-45,0.4204,0.964,7.3456,14.0794,3.088,1.8661,-1.2219,1.2219,1,1.3,0.8,0,0.0,0.5313,95.394,120.446,147.24,0,505,0,34,784.378,241.36,204.922
9,Delhi,D52-61,0.4151,0.9569,8.354,15.2226,3.4677,2.003,-1.4647,1.4647,1,1.3,0.8,0,0.0,0.7128,87.564,104.965,135.246,0,568,0,38,776.745,237.331,229.47
10,Delhi,D24-31,0.3786,0.9375,8.1679,13.7584,3.0921,1.7736,-1.3185,1.3185,1,1.3,0.8,0,0.0,0.8356,89.324,111.243,135.372,0,628,0,42,754.825,217.165,254.031
11,Delhi,D61-70,0.4494,0.9954,7.5839,15.1483,3.4082,2.0732,-1.335,1.335,1,1.3,0.8,0,0.0,0.4362,94.694,129.199,143.718,0,693,0,47,826.512,264.29,279.748
12,Delhi,D78-85,0.3785,0.9458,8.7221,15.0906,3.3015,1.9625,-1.339,1.339,1,1.3,0.8,0,0.0,0.3813,86.666,115.228,107.319,0,753,0,51,788.666,224.191,303.617
13,Delhi,D31-37,0.4477,0.9079,7.2995,13.4378,3.2682,1.6775,-1.5907,1.5907,1,1.3,0.8,0,0.0,0.5473,104.568,109.635,137.256,0,818,0,56,823.43,262.77,329.678
14,Delhi,D24-31,0.4481,0.9375,7.2464,13.7584,3.2471,1.7736,-1.4735,1.4735,1,1.3,0.8,0,0.0,0.8356,99.482,117.578,139.48,0,883,0,61,805.621,258.548,355.809
15,Delhi,D37-45,0.3905,0.964,8.316,14.0794,3.2471,1.8661,-1.3809,1.3809,1,1.3,0.8,0,0.0,0.5313,89.214,99.526,128.904,0,944,0,65,793.337,230.371,380.257
16,Delhi,D70-78,0.4042,0.898,8.3535,15.227,3.3768,1.8803,-1.4965,1.4965,1,1.3,0.8,0,0.0,0.9293,90.135,106.618,137.483,0,1006,0,69,777.735,232.913,404.74
17,Delhi,D70-78,0.4428,0.898,7.8163,15.227,3.461,1.8803,-1.5808,1.5808,1,1.3,0.8,0,0.0,0.9293,93.263,116.411,148.426,0,1071,0,74,814.049,258.251,430.127
18,Delhi,D52-61,0.4497,0.9569,7.908,15.2226,3.5559,2.003,-1.5529,1.5529,1,1.3,0.8,0,0.0,0.7128,99.756,121.403,134.95,0,1136,0,79,804.723,259.017,455.44
19,Delhi,D24-31,0.4454,0.9375,6.5083,13.7584,2.8988,1.7736,-1.1253,1.1253,1,1.3,0.8,0,0.0,0.8356,105.052,124.369,119.444,0,1201,0,84,805.927,257.43,482.477
