# FCR baseline synthetic trace (formula-consistent template)
# Scenario=Delhi | Seed=904 | Duration=3600s | UpdateInterval=300s | α=0.8 | β=1.3 | δ=0.5
# Generated=2026-02-14T11:34:26.287272Z
"# NOTE: This is a synthetic, equation-constrained trace for comparison formatting. Use real simulator outputs for publication claims."

Time(s),Scenario,SegmentID,K_t (density),K_max,v_t (m/s),v_max (m/s),F_t (flow),F_cap (capacity),ResidualCap,F_exc (excess),Congested(0/1),CongestionExpansion_beta,Compliance_alpha,UpdateStep(0/1),ReroutedVolume_Ek,DetourPriority_L,TravelTimeLoss_Ck_Path1,TravelTimeLoss_Ck_Path2,TravelTimeLoss_Ck_Path3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,Delhi,D78-85,0.3436,0.9963,9.3331,14.0425,3.2067,1.9237,-1.283,1.283,1,1.3,0.8,0,0.0,0.0107,87.406,107.338,132.112,0,57,0,3,709.388,194.055,22.895
2,Delhi,D78-85,0.4068,0.9963,8.2362,14.0425,3.3509,1.9237,-1.4271,1.4271,1,1.3,0.8,0,0.0,0.0107,92.443,107.174,131.844,0,119,0,7,754.921,228.926,47.541
3,Delhi,D70-78,0.4037,0.9234,9.1445,15.1183,3.6914,1.9196,-1.7718,1.7718,1,1.3,0.8,0,0.0,0.1184,87.787,116.424,134.636,0,181,0,11,757.471,228.173,71.032
4,Delhi,D70-78,0.3849,0.9234,9.3084,15.1183,3.5827,1.9196,-1.6631,1.6631,1,1.3,0.8,0,0.0,0.1184,84.901,111.087,110.38,0,241,0,15,742.462,217.168,94.206
5,Delhi,D45-52,0.4071,0.9989,8.814,16.0452,3.5884,2.2038,-1.3846,1.3846,1,1.3,0.8,0,0.0,0.6582,87.496,112.589,134.581,0,303,0,19,805.949,240.468,118.131
6,Delhi,D37-45,0.4519,0.9855,7.5843,13.8166,3.427,1.8722,-1.5549,1.5549,1,1.3,0.8,0,0.0,0.8247,102.694,126.544,122.73,0,369,0,24,805.941,260.293,143.862
7,Delhi,D78-85,0.4426,0.9963,7.6782,14.0425,3.3981,1.9237,-1.4743,1.4743,1,1.3,0.8,0,0.0,0.0107,98.469,123.814,133.618,0,434,0,29,791.611,252.686,169.42
8,Delhi,D31-37,0.395,0.9095,9.3227,15.2821,3.6824,1.9112,-1.7712,1.7712,1,1.3,0.8,0,0.0,0.0756,95.288,109.031,142.725,0,495,0,33,747.059,222.294,192.636
9,Delhi,D24-31,0.4585,0.8926,7.2967,13.6676,3.3455,1.6774,-1.6681,1.6681,1,1.3,0.8,0,0.0,0.8725,107.752,110.852,136.72,0,561,0,38,822.277,267.353,218.767
10,Delhi,D78-85,0.4384,0.9963,6.959,14.0425,3.0511,1.9237,-1.1273,1.1273,1,1.3,0.8,0,0.0,0.0107,107.279,112.989,119.216,0,626,0,43,805.962,254.351,245.198
11,Delhi,D52-61,0.4387,0.9742,7.0629,13.9656,3.0988,1.8708,-1.228,1.228,1,1.3,0.8,0,0.0,0.0518,106.14,108.537,135.932,0,691,0,48,803.091,253.795,271.502
12,Delhi,D70-78,0.3756,0.9234,9.1648,15.1183,3.4425,1.9196,-1.5229,1.5229,1,1.3,0.8,0,0.0,0.1184,83.841,110.339,134.404,0,751,0,52,770.501,219.18,294.8
13,Delhi,D61-70,0.3943,0.8582,8.6096,14.5458,3.3945,1.7164,-1.6782,1.6782,1,1.3,0.8,0,0.0,0.2092,94.482,103.601,115.807,0,812,0,56,788.756,231.043,318.904
