# FCR baseline synthetic trace (formula-consistent template)
# Scenario=Delhi | Seed=905 | Duration=3600s | UpdateInterval=300s | α=0.8 | β=1.3 | δ=0.5
# Generated=2026-02-14T11:34:26.347760Z
"# NOTE: This is a synthetic, equation-constrained trace for comparison formatting. Use real simulator outputs for publication claims."

Time(s),Scenario,SegmentID,K_t (density),K_max,v_t (m/s),v_max (m/s),F_t (flow),F_cap (capacity),ResidualCap,F_exc (excess),Congested(0/1),CongestionExpansion_beta,Compliance_alpha,UpdateStep(0/1),ReroutedVolume_Ek,DetourPriority_L,TravelTimeLoss_Ck_Path1,TravelTimeLoss_Ck_Path2,TravelTimeLoss_Ck_Path3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,Delhi,D52-61,0.4153,0.9895,8.2201,14.0174,3.4138,1.9071,-1.5068,1.5068,1,1.3,0.8,0,0.0,0.1128,91.965,115.331,148.369,0,63,0,4,771.741,236.28,24.717
2,Delhi,D19-24,0.4292,0.9021,7.874,13.8638,3.3795,1.7196,-1.66,1.66,1,1.3,0.8,0,0.0,0.2454,100.502,127.1,146.162,0,127,0,8,798.67,248.534,49.949
3,Delhi,D24-31,0.3591,0.9307,9.4301,15.4069,3.3863,1.9717,-1.4146,1.4146,1,1.3,0.8,0,0.0,0.6364,93.413,107.767,106.54,0,185,0,11,738.911,205.936,72.816
4,Delhi,D61-70,0.4002,0.856,7.9796,14.6443,3.1937,1.7237,-1.47,1.47,1,1.3,0.8,0,0.0,0.8147,102.002,113.495,146.491,0,247,0,15,786.531,233.138,97.743
5,Delhi,D19-24,0.3604,0.9021,8.9205,13.8638,3.2154,1.7196,-1.4958,1.4958,1,1.3,0.8,0,0.0,0.2454,91.684,100.423,116.051,0,305,0,18,760.726,210.811,121.255
6,Delhi,D37-45,0.4613,0.8704,5.913,12.1744,2.7274,1.4571,-1.2703,1.2703,1,1.3,0.8,0,0.0,0.2502,109.259,114.655,126.857,0,371,0,23,792.323,261.005,149.132
7,Delhi,D37-45,0.4327,0.8704,6.4927,12.1744,2.8094,1.4571,-1.3523,1.3523,1,1.3,0.8,0,0.0,0.2502,101.142,114.872,124.875,0,435,0,27,792.036,248.493,176.112
8,Delhi,D45-52,0.391,0.8709,8.6849,14.1421,3.3961,1.6935,-1.7026,1.7026,1,1.3,0.8,0,0.0,0.9332,84.328,108.939,109.02,0,496,0,31,749.241,221.137,200.102
9,Delhi,D70-78,0.471,0.9833,7.0273,15.499,3.3099,2.0956,-1.2143,1.2143,1,1.3,0.8,0,0.0,0.8111,110.071,115.637,123.406,0,563,0,36,830.496,275.147,226.644
10,Delhi,D45-52,0.3727,0.8709,8.9899,14.1421,3.3509,1.6935,-1.6573,1.6573,1,1.3,0.8,0,0.0,0.9332,94.134,110.627,114.099,0,622,0,39,742.041,212.123,250.143
11,Delhi,D19-24,0.4119,0.9021,7.5567,13.8638,3.1126,1.7196,-1.3931,1.3931,1,1.3,0.8,0,0.0,0.2454,89.769,103.439,125.016,0,684,0,43,805.692,242.527,275.669
12,Delhi,D31-37,0.4224,0.9428,7.8077,13.3618,3.298,1.7322,-1.5658,1.5658,1,1.3,0.8,0,0.0,0.0426,88.884,123.028,127.25,0,747,0,47,814.268,249.174,300.943
13,Delhi,D12-19,0.4142,0.9526,8.8561,15.6346,3.6685,2.0479,-1.6206,1.6206,1,1.3,0.8,0,0.0,0.9294,88.953,108.36,130.199,0,810,0,51,768.531,235.094,324.859
14,Delhi,D52-61,0.4296,0.9895,6.9564,14.0174,2.9884,1.9071,-1.0813,1.0813,1,1.3,0.8,0,0.0,0.1128,99.011,116.422,141.438,0,874,0,55,799.716,248.951,351.241
15,Delhi,D61-70,0.3719,0.856,8.9197,14.6443,3.3174,1.7237,-1.5937,1.5937,1,1.3,0.8,0,0.0,0.8147,93.944,105.201,128.382,0,933,0,58,767.108,216.914,374.822
16,Delhi,D70-78,0.3824,0.9833,9.3568,15.499,3.5783,2.0956,-1.4827,1.4827,1,1.3,0.8,0,0.0,0.8111,92.041,100.413,126.621,0,993,0,62,790.456,226.259,397.921
