# FCR baseline synthetic trace (formula-consistent template)
# Scenario=Manhattan | Seed=801 | Duration=3600s | UpdateInterval=300s | α=0.8 | β=1.3 | δ=0.5
# Generated=2026-02-14T11:34:25.811648Z
"# NOTE: This is a synthetic, equation-constrained trace for comparison formatting. Use real simulator outputs for publication claims."

Time(s),Scenario,SegmentID,K_t (density),K_max,v_t (m/s),v_max (m/s),F_t (flow),F_cap (capacity),ResidualCap,F_exc (excess),Congested(0/1),CongestionExpansion_beta,Compliance_alpha,UpdateStep(0/1),ReroutedVolume_Ek,DetourPriority_L,TravelTimeLoss_Ck_Path1,TravelTimeLoss_Ck_Path2,TravelTimeLoss_Ck_Path3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,CongestionTime_snapshot_s,CO2_cum_g
1,Manhattan,M12-19,0.4609,0.8658,8.0151,15.2893,3.694,1.6546,-2.0394,2.0394,1,1.3,0.8,0,0.0,0.5945,104.304,126.131,124.573,0,66,0,5,789.616,260.155,25.246
2,Manhattan,M31-37,0.383,0.9241,11.0788,17.9614,4.2429,2.0747,-2.1682,2.1682,1,1.3,0.8,0,0.0,0.9726,98.691,116.363,141.843,0,126,0,9,762.918,220.699,46.196
3,Manhattan,M24-31,0.3717,0.9701,9.4991,16.2979,3.5307,1.9764,-1.5543,1.5543,1,1.3,0.8,0,0.0,0.4967,80.318,108.637,109.09,0,185,0,12,738.894,211.051,69.052
4,Manhattan,M12-19,0.4033,0.8658,8.1375,15.2893,3.282,1.6546,-1.6273,1.6273,1,1.3,0.8,0,0.0,0.5945,93.245,121.587,137.069,0,247,0,16,757.619,228.056,93.8
5,Manhattan,M45-52,0.4411,0.9708,9.4725,18.1477,4.1782,2.2022,-1.976,1.976,1,1.3,0.8,0,0.0,0.386,100.541,118.806,129.695,0,312,0,21,819.724,258.866,117.106
6,Manhattan,M31-37,0.4456,0.9241,8.7567,17.9614,3.9024,2.0747,-1.8277,1.8277,1,1.3,0.8,0,0.0,0.9726,106.756,118.37,131.625,0,377,0,26,792.218,254.177,141.334
7,Manhattan,M70-78,0.4352,0.8814,8.9964,17.8948,3.9149,1.9715,-1.9435,1.9435,1,1.3,0.8,0,0.0,0.267,95.029,126.693,130.064,0,441,0,31,816.837,255.504,165.199
8,Manhattan,M19-24,0.4622,0.9033,8.0445,16.8781,3.7182,1.9057,-1.8124,1.8124,1,1.3,0.8,0,0.0,0.7137,101.433,125.88,142.8,0,507,0,36,781.881,258.763,190.417
9,Manhattan,M70-78,0.396,0.8814,10.8646,17.8948,4.302,1.9715,-2.3305,2.3305,1,1.3,0.8,0,0.0,0.267,94.913,112.64,144.865,0,568,0,40,777.994,229.432,211.712
10,Manhattan,M12-19,0.4249,0.8658,7.7727,15.2893,3.3025,1.6546,-1.6479,1.6479,1,1.3,0.8,0,0.0,0.5945,101.248,118.812,123.216,0,631,0,44,803.373,247.738,237.046
11,Manhattan,M24-31,0.3775,0.9701,9.2664,16.2979,3.4978,1.9764,-1.5214,1.5214,1,1.3,0.8,0,0.0,0.4967,89.214,113.112,115.797,0,691,0,48,750.944,215.9,260.227
12,Manhattan,M37-45,0.4321,0.9245,9.7138,18.6502,4.1974,2.1552,-2.0422,2.0422,1,1.3,0.8,0,0.0,0.293,104.738,115.753,135.455,0,755,0,52,794.087,248.723,283.178
13,Manhattan,M19-24,0.3723,0.9033,10.0878,16.8781,3.7554,1.9057,-1.8497,1.8497,1,1.3,0.8,0,0.0,0.7137,88.377,112.024,131.8,0,814,0,55,769.743,217.606,305.302
14,Manhattan,M61-70,0.4769,0.8998,8.1418,17.3999,3.8828,1.957,-1.9258,1.9258,1,1.3,0.8,0,0.0,0.3553,108.801,126.538,128.164,0,882,0,60,813.771,273.448,330.486
15,Manhattan,M24-31,0.4307,0.9701,9.2365,16.2979,3.9783,1.9764,-2.0019,2.0019,1,1.3,0.8,0,0.0,0.4967,103.523,108.574,121.55,0,946,0,64,809.4,251.742,354.025
16,Manhattan,M37-45,0.4116,0.9245,10.883,18.6502,4.4794,2.1552,-2.3242,2.3242,1,1.3,0.8,0,0.0,0.293,98.377,110.535,131.165,0,1008,0,68,764.941,233.167,375.39
17,Manhattan,M19-24,0.475,0.9033,8.6068,16.8781,4.088,1.9057,-2.1823,2.1823,1,1.3,0.8,0,0.0,0.7137,101.688,125.481,148.937,0,1075,0,73,824.651,275.43,399.982
18,Manhattan,M52-61,0.4282,0.87,8.2407,16.2874,3.5286,1.7712,-1.7574,1.7574,1,1.3,0.8,0,0.0,0.5575,92.35,110.803,117.274,0,1139,0,77,808.357,250.373,424.75
19,Manhattan,M31-37,0.413,0.9241,9.3772,17.9614,3.8732,2.0747,-1.7986,1.7986,1,1.3,0.8,0,0.0,0.9726,86.412,114.022,124.225,0,1202,0,81,767.314,234.315,448.007
20,Manhattan,M37-45,0.4216,0.9245,10.2916,18.6502,4.3385,2.1552,-2.1833,2.1833,1,1.3,0.8,0,0.0,0.293,99.56,107.122,129.692,0,1265,0,85,779.793,240.8,470.172
21,Manhattan,M37-45,0.4305,0.9245,9.6451,18.6502,4.152,2.1552,-1.9968,1.9968,1,1.3,0.8,0,0.0,0.293,92.958,117.93,142.555,0,1329,0,89,777.509,244.085,493.198
