# ICDDR NO-REROUTE baseline trace (formula-consistent template)
# Scenario=Manhattan | Seed=1201 | Duration=3600s | RSU_Distance=1000m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:59:41.652054Z
"# NOTE: Congestion detection + dissemination active, but rerouting is DISABLED (all reroute flags = 0)."

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,CAM_ID,Ms_slope,Mr_slope,Theta_deg,DeltaC,Relevance_R,Urgency_U,TimeFactor_T,rho,gamma,Dnorm,SuitabilityIndex_Si,ForwarderSelected(0/1),w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,207,M78-85,380,18,54,16.642,11.397,0.685,0.333,0.332,0,2,,1.675,-0.551,88.044,6.961,0.989,0.635,0.661,0.65,0.35,0.874,0.949,0,35.7134,40.5931,0.1366,0,0,255.466,279.658,309.106,0,68,1,6,563.16,258.093,10.587
2,1,332,M78-85,380,18,54,16.208,10.943,0.675,0.333,0.332,0,2,,1.818,-1.15,69.831,7.044,0.388,0.64,0.583,0.637,0.363,0.181,0.313,0,35.7134,41.6808,0.1671,0,0,281.364,292.378,338.454,0,131,3,11,545.307,232.517,21.741
3,1,155,M45-52,260,11,37,15.519,11.013,0.71,0.297,0.297,0,2,,-0.137,0.698,42.725,3.409,0.737,0.592,0.539,0.615,0.385,0.946,0.818,0,10.8962,28.1963,1.5877,1,0,270.231,302.938,335.625,0,180,3,16,545.82,235.264,32.556
4,1,302,M37-45,380,18,54,18.609,12.138,0.652,0.333,0.335,0,2,,-0.734,0.464,61.164,3.514,0.84,0.59,0.689,0.633,0.367,0.306,0.644,0,27.4195,36.3024,0.324,1,0,291.393,319.228,324.558,0,236,5,20,553.142,254.562,42.217
5,1,162,M61-70,500,24,71,17.694,11.773,0.665,0.338,0.338,0,2,,0.46,-0.005,25.009,9.714,0.639,0.556,0.692,0.615,0.385,0.598,0.623,0,19.9461,50.5906,1.5364,1,0,276.668,312.866,306.125,0,303,5,25,529.107,245.112,52.366
6,1,315,M61-70,420,20,60,14.262,9.137,0.641,0.333,0.336,0,2,,-0.889,-1.573,15.929,0.111,0.588,0.616,0.64,0.636,0.364,0.213,0.452,0,50.5906,52.3544,0.0349,0,0,270.939,307.735,314.826,0,369,6,31,556.719,261.924,65.779
7,1,312,M24-31,500,29,71,15.383,9.317,0.606,0.408,0.407,0,3,,1.595,-1.279,70.101,7.905,0.389,0.626,0.645,0.62,0.38,0.513,0.436,0,19.2842,64.4775,2.3435,1,0,282.735,305.287,351.472,0,428,7,37,596.893,262.433,79.492
8,1,342,M52-61,300,15,43,15.176,10.368,0.683,0.349,0.346,0,2,,1.861,1.085,14.4,0.262,0.58,0.585,0.676,0.623,0.377,0.712,0.63,0,37.1909,35.9654,0.033,0,0,262.053,282.873,313.254,0,497,8,43,555.916,263.502,91.474
9,1,370,M37-45,260,13,37,17.58,11.848,0.674,0.351,0.349,0,2,,1.073,-0.431,70.333,4.694,0.891,0.642,0.607,0.637,0.363,0.771,0.847,0,36.3024,27.0079,0.256,1,0,271.597,310.496,318.531,0,566,10,50,573.213,266.172,101.623
10,1,263,M61-70,420,25,60,17.285,10.078,0.583,0.417,0.417,0,3,,-0.751,1.469,87.33,0.432,0.485,0.668,0.52,0.613,0.387,0.244,0.392,0,50.5906,48.766,0.0361,0,0,293.577,322.945,322.299,0,632,12,57,569.093,264.99,114.442
11,1,177,M12-19,500,26,71,17.199,10.574,0.615,0.366,0.368,0,2,,-1.9,-0.265,47.377,0.989,0.263,0.606,0.685,0.63,0.37,0.789,0.458,0,18.4626,54.2625,1.9391,1,0,264.411,299.42,327.321,0,697,13,63,574.101,251.07,126.288
12,1,328,M70-78,180,10,26,15.544,9.727,0.626,0.385,0.384,0,2,,1.574,0.684,23.215,4.849,0.129,0.625,0.64,0.625,0.375,0.39,0.227,0,39.9672,22.2006,0.4445,1,0,284.642,317.801,338.51,0,768,14,70,579.359,252.771,139.321
13,1,340,M24-31,380,19,54,16.992,10.398,0.612,0.352,0.355,0,2,,0.111,1.719,53.457,3.019,0.797,0.582,0.611,0.608,0.392,0.166,0.549,0,64.4775,40.8692,0.3661,1,0,283.344,301.614,311.478,0,826,15,75,542.686,231.96,151.287
14,1,377,M24-31,260,15,37,18.129,11.018,0.608,0.405,0.404,0,3,,0.667,-1.944,83.506,4.167,0.964,0.63,0.639,0.621,0.379,0.588,0.822,0,40.8692,28.3275,0.3069,1,0,288.957,310.543,327.643,0,887,17,80,599.334,281.336,162.852
15,1,232,M78-85,380,21,54,17.095,10.778,0.63,0.389,0.387,0,2,,-0.191,0.21,22.626,6.413,0.626,0.625,0.553,0.607,0.393,0.541,0.592,0,35.7134,42.8795,0.2007,1,0,287.481,310.426,324.849,0,953,18,86,586.847,273.325,174.601
