# ICDDR NO-REROUTE baseline trace (formula-consistent template)
# Scenario=Manhattan | Seed=1203 | Duration=3600s | RSU_Distance=1000m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:59:41.882637Z
"# NOTE: Congestion detection + dissemination active, but rerouting is DISABLED (all reroute flags = 0)."

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,CAM_ID,Ms_slope,Mr_slope,Theta_deg,DeltaC,Relevance_R,Urgency_U,TimeFactor_T,rho,gamma,Dnorm,SuitabilityIndex_Si,ForwarderSelected(0/1),w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,114,M31-37,380,21,54,15.667,9.261,0.591,0.389,0.391,0,2,,-0.034,1.496,58.185,6.658,0.823,0.63,0.65,0.628,0.372,0.394,0.664,0,25.328,46.7866,0.8472,1,0,300.454,320.286,361.761,0,68,2,7,589.237,266.284,13.646
2,1,125,M12-19,420,24,60,18.156,10.556,0.581,0.4,0.402,0,3,,1.592,0.64,25.228,5.224,0.64,0.671,0.651,0.646,0.354,0.303,0.521,0,22.0178,45.3392,1.0592,1,0,291.475,322.464,361.04,0,125,2,12,565.954,267.403,25.751
3,1,330,M52-61,180,9,26,16.516,10.741,0.65,0.346,0.347,0,2,,0.201,-1.157,60.506,1.602,0.836,0.582,0.543,0.596,0.404,0.378,0.651,0,36.868,19.7497,0.4643,1,0,261.193,285.712,325.502,0,190,3,17,535.916,252.421,37.248
4,1,212,M31-37,420,19,60,17.122,11.748,0.686,0.317,0.316,0,2,,1.088,-1.091,85.094,1.921,0.473,0.618,0.598,0.633,0.367,0.896,0.628,0,46.7866,42.5253,0.0911,0,0,273.28,306.712,333.205,0,241,4,22,548.646,252.147,47.28
5,1,334,M78-85,380,19,54,15.038,9.434,0.627,0.352,0.354,0,2,,0.098,-1.381,59.689,5.699,0.332,0.619,0.697,0.643,0.357,0.277,0.312,0,17.1462,46.1812,1.6934,1,0,284.648,297.995,323.185,0,310,5,27,539.554,253.821,60.45
6,1,385,M19-24,340,17,49,14.867,9.773,0.657,0.347,0.347,0,2,,1.761,0.783,22.353,3.154,0.624,0.657,0.626,0.65,0.35,0.936,0.733,0,37.7771,41.49,0.0983,0,0,295.202,333.288,338.847,0,371,7,32,550.307,254.744,73.162
7,1,303,M31-37,340,17,49,18.437,11.661,0.633,0.347,0.349,0,2,,-1.852,0.435,85.158,0.941,0.473,0.643,0.559,0.629,0.371,0.754,0.577,0,46.7866,33.4577,0.2849,1,0,257.251,291.025,309.328,0,442,8,37,572.623,255.201,83.514
8,1,193,M78-85,420,19,60,17.98,12.34,0.686,0.317,0.316,0,2,,-0.401,-0.024,20.458,4.146,0.614,0.573,0.529,0.597,0.403,0.99,0.765,0,46.1812,40.4963,0.1231,0,0,277.091,311.228,333.055,0,491,9,42,559.613,259.512,92.806
9,1,343,M12-19,220,10,31,17.646,12.081,0.685,0.323,0.322,0,2,,0.446,-0.188,34.712,4.505,0.693,0.543,0.582,0.591,0.409,0.907,0.781,0,45.3392,21.8085,0.519,1,0,262.53,297.198,310.531,0,547,10,46,536.715,249.066,102.463
10,1,340,M24-31,420,19,60,16.027,11.534,0.72,0.317,0.313,0,2,,1.534,-0.234,70.089,8.345,0.889,0.574,0.604,0.613,0.387,0.744,0.833,0,24.3168,45.4298,0.8682,1,0,261.153,288.138,321.625,0,610,12,51,518.428,246.78,112.763
11,1,334,M78-85,180,11,26,17.56,9.602,0.547,0.423,0.426,0,3,,0.589,1.209,19.921,7.451,0.111,0.667,0.551,0.617,0.383,0.283,0.177,0,46.1812,20.7594,0.5505,1,0,282.154,294.801,308.081,0,678,14,58,587.278,269.195,126.221
12,1,329,M45-52,500,28,71,15.388,8.669,0.563,0.394,0.399,0,2,,1.995,-0.394,84.888,4.625,0.972,0.693,0.583,0.645,0.355,0.976,0.973,0,31.8097,63.1744,0.986,1,0,307.344,328.176,343.541,0,744,16,65,591.808,269.257,140.646
13,1,233,M19-24,460,26,66,17.769,10.522,0.592,0.394,0.395,0,2,,1.995,1.73,3.412,0.539,1.0,0.613,0.683,0.625,0.375,0.352,0.757,0,37.7771,50.3008,0.3315,1,0,289.664,318.129,323.823,0,810,17,71,602.36,275.558,152.751
14,1,318,M37-45,340,17,49,16.426,11.039,0.672,0.347,0.345,0,2,,-0.658,1.737,86.608,5.266,0.981,0.651,0.653,0.652,0.348,0.526,0.823,0,37.6707,37.5537,0.0031,0,0,279.67,300.244,328.477,0,862,18,76,529.448,233.454,163.88
15,1,188,M78-85,180,9,26,18.673,11.633,0.623,0.346,0.349,0,2,,-1.907,1.335,64.503,0.722,0.858,0.563,0.502,0.578,0.422,0.497,0.706,0,20.7594,17.4686,0.1585,0,0,268.978,303.617,334.158,0,927,19,82,576.671,250.042,174.262
16,1,257,M70-78,420,19,60,16.908,11.043,0.653,0.317,0.32,0,2,,1.939,-1.381,63.203,8.301,0.851,0.584,0.63,0.623,0.377,0.077,0.559,0,31.1618,43.063,0.3819,1,0,280.441,314.12,328.295,0,986,21,86,514.166,241.298,185.174
17,1,236,M52-61,300,17,43,15.411,8.713,0.565,0.395,0.399,0,2,,-0.229,-1.711,46.821,0.843,0.26,0.621,0.576,0.607,0.393,0.22,0.244,0,19.7497,37.9024,0.9191,1,0,272.805,312.679,318.136,0,1056,23,92,567.507,270.244,199.551
18,1,306,M37-45,500,25,71,17.596,10.992,0.625,0.352,0.354,0,2,,1.754,0.763,22.975,2.93,0.628,0.635,0.523,0.617,0.383,0.426,0.55,0,37.6707,51.95,0.3791,1,0,270.241,290.412,310.041,0,1126,25,97,556.632,262.777,210.776
19,1,201,M61-70,300,14,43,17.112,10.974,0.641,0.326,0.329,0,2,,0.162,0.382,11.701,4.387,0.065,0.58,0.522,0.597,0.403,0.893,0.399,0,39.6302,30.8062,0.2227,1,0,272.917,303.609,338.543,0,1178,25,101,565.508,241.036,221.838
20,1,205,M78-85,180,11,26,16.485,9.352,0.567,0.423,0.424,0,3,,-1.595,0.102,63.739,7.891,0.854,0.718,0.684,0.669,0.331,0.571,0.761,0,20.7594,22.1122,0.0652,0,0,284.573,295.163,344.62,0,1249,27,108,574.644,275.795,235.61
21,1,305,M78-85,380,18,54,15.615,10.059,0.644,0.333,0.336,0,2,,-1.565,-1.395,3.054,0.751,1.0,0.558,0.518,0.583,0.417,0.908,0.962,0,20.7594,43.2641,1.0841,1,0,259.603,293.029,308.747,0,1317,28,113,543.422,249.055,247.87
22,1,191,M31-37,220,11,31,14.973,9.766,0.652,0.355,0.354,0,2,,-0.755,0.796,75.569,0.768,0.42,0.642,0.63,0.641,0.359,0.357,0.397,0,33.4577,26.9709,0.1939,0,0,271.06,306.533,327.157,0,1369,30,117,536.523,244.309,260.647
23,1,261,M37-45,420,22,60,17.34,10.847,0.626,0.367,0.367,0,2,,0.496,-0.901,68.382,0.71,0.88,0.642,0.667,0.644,0.356,0.58,0.773,0,51.95,45.2393,0.1292,0,0,288.431,299.695,320.416,0,1430,30,122,555.487,262.872,272.154
24,1,382,M52-61,460,22,66,16.822,11.279,0.671,0.333,0.333,0,2,,-1.742,-0.29,43.988,9.51,0.244,0.557,0.541,0.587,0.413,0.284,0.261,0,37.9024,48.6143,0.2826,1,0,283.303,316.485,342.877,0,1499,31,127,522.309,222.454,282.888
25,1,146,M37-45,300,18,43,16.415,9.74,0.593,0.419,0.417,0,3,,0.747,0.299,20.084,1.755,0.112,0.675,0.54,0.62,0.38,0.753,0.355,0,51.95,36.7783,0.292,1,0,295.024,305.375,358.282,0,1568,32,134,606.687,269.296,296.144
26,1,368,M52-61,380,22,54,17.549,9.811,0.559,0.407,0.411,0,3,,0.207,-1.275,63.587,1.581,0.853,0.675,0.501,0.616,0.384,0.934,0.884,0,48.6143,42.8919,0.1177,0,0,292.115,320.876,357.891,0,1631,33,140,607.695,291.549,309.231
27,1,113,M37-45,380,22,54,15.184,9.115,0.6,0.407,0.407,0,3,,1.974,-0.751,79.969,2.416,0.944,0.618,0.635,0.614,0.386,0.544,0.79,0,36.7783,49.5708,0.3478,1,0,276.272,303.718,345.327,0,1703,35,147,590.988,265.873,323.189
28,1,298,M78-85,260,13,37,17.62,11.509,0.653,0.351,0.351,0,2,,-0.975,0.107,50.386,2.372,0.28,0.587,0.64,0.616,0.384,0.472,0.354,0,43.2641,26.9465,0.3772,1,0,265.761,285.305,299.386,0,1760,37,152,577.394,268.44,333.762
29,1,164,M45-52,340,21,49,18.967,10.395,0.548,0.429,0.431,0,3,,-0.63,1.88,85.816,7.766,0.477,0.656,0.563,0.612,0.388,0.535,0.5,0,63.1744,36.5834,0.4209,1,0,290.569,308.613,339.427,0,1838,39,159,617.226,285.973,346.269
30,1,290,M24-31,220,13,31,18.528,10.134,0.547,0.419,0.423,0,3,,-0.632,0.834,72.126,7.401,0.901,0.7,0.588,0.642,0.358,0.37,0.711,0,45.4298,23.9214,0.4734,1,0,299.233,320.751,357.923,0,1904,40,165,590.491,259.818,359.037
31,1,126,M31-37,420,26,60,14.548,8.58,0.59,0.433,0.431,0,3,,1.651,-0.563,88.167,2.725,0.99,0.687,0.527,0.619,0.381,0.301,0.727,0,33.4577,59.3129,0.7728,1,0,306.915,328.027,340.335,0,1979,41,173,594.787,265.74,373.845
32,1,249,M19-24,300,16,43,17.224,11.047,0.641,0.372,0.371,0,2,,1.774,0.309,43.401,3.551,0.241,0.648,0.62,0.636,0.364,0.881,0.474,0,50.3008,32.7906,0.3481,1,0,277.32,290.961,320.677,0,2035,43,178,576.277,275.846,385.141
33,1,336,M31-37,500,27,71,18.178,11.161,0.614,0.38,0.381,0,2,,-1.069,-1.414,7.824,4.315,1.0,0.606,0.653,0.62,0.38,0.302,0.735,0,59.3129,52.402,0.1165,0,0,275.562,291.586,334.263,0,2091,44,184,565.467,246.688,396.351
34,1,275,M78-85,220,13,31,18.102,10.083,0.557,0.419,0.422,0,3,,-1.777,-1.299,8.21,0.412,1.0,0.65,0.665,0.632,0.368,0.59,0.849,0,26.9465,24.4841,0.0914,0,0,296.755,333.554,363.575,0,2159,46,191,575.898,273.943,409.183
35,1,266,M31-37,300,15,43,16.661,11.013,0.661,0.349,0.348,0,2,,1.36,-0.227,66.457,3.156,0.869,0.564,0.623,0.602,0.398,0.169,0.591,0,59.3129,32.7589,0.4477,1,0,266.055,278.997,313.013,0,2225,47,197,554.548,244.477,420.358
36,1,200,M61-70,340,22,49,16.643,9.222,0.554,0.449,0.449,0,3,,-0.848,0.865,81.182,5.328,0.951,0.727,0.639,0.657,0.343,0.445,0.777,0,30.8062,42.8926,0.3923,1,0,285.995,307.119,338.19,0,2300,48,205,586.608,283.881,434.474
37,1,292,M37-45,180,10,26,17.281,10.981,0.635,0.385,0.383,0,2,,0.096,-0.954,49.156,6.69,0.773,0.681,0.582,0.642,0.358,0.476,0.667,0,49.5708,19.9695,0.5972,1,0,304.852,326.351,371.159,0,2357,49,211,569.18,266.446,445.939
38,1,377,M78-85,380,21,54,14.923,8.685,0.582,0.389,0.392,0,2,,-0.709,-1.546,21.777,4.664,0.621,0.669,0.645,0.647,0.353,0.325,0.516,0,26.9465,49.12,0.8229,1,0,296.774,333.56,325.219,0,2430,51,218,555.739,250.229,460.305
39,1,235,M31-37,180,11,26,15.418,8.37,0.543,0.423,0.426,0,3,,-0.455,-0.819,14.838,0.222,0.582,0.675,0.662,0.643,0.357,0.811,0.664,0,32.7589,23.6436,0.2783,1,0,308.054,334.659,342.528,0,2496,53,225,580.681,277.787,475.305
40,1,138,M12-19,460,28,66,16.472,9.302,0.565,0.424,0.425,0,3,,1.796,-1.978,55.93,6.589,0.311,0.698,0.619,0.645,0.355,0.518,0.384,0,21.8085,56.6483,1.5975,1,0,316.131,353.322,342.942,0,2555,54,231,591.372,285.888,489.147
41,1,295,M31-37,220,14,31,17.677,9.766,0.552,0.452,0.451,0,3,,-0.408,-1.613,36.027,8.056,0.2,0.729,0.503,0.63,0.37,0.441,0.289,0,23.6436,26.2251,0.1092,0,0,286.728,320.952,312.795,0,2625,55,238,624.234,299.942,502.601
42,1,370,M37-45,420,24,60,15.15,9.007,0.594,0.4,0.401,0,3,,0.34,-1.953,81.667,0.567,0.954,0.68,0.639,0.648,0.352,0.377,0.751,0,19.9695,54.3358,1.7209,1,0,290.562,310.934,352.391,0,2686,55,243,589.839,265.163,516.642
43,1,387,M24-31,180,10,26,17.194,10.115,0.588,0.385,0.387,0,2,,-0.149,-1.142,40.309,7.009,0.724,0.667,0.553,0.629,0.371,0.748,0.733,0,23.9214,20.0705,0.161,0,0,300.886,317.268,370.882,0,2747,55,248,561.138,266.809,529.19
44,1,258,M45-52,380,20,54,16.678,9.942,0.596,0.37,0.374,0,2,,-1.924,1.252,66.074,7.043,0.867,0.657,0.597,0.637,0.363,0.4,0.697,0,36.5834,42.7879,0.1696,0,0,270.261,300.652,298.257,0,2811,56,253,575.588,272.462,541.855
45,1,171,M78-85,460,30,66,19.03,10.35,0.544,0.455,0.455,0,3,,0.306,1.903,45.267,4.041,0.751,0.655,0.648,0.621,0.379,0.198,0.542,0,49.12,51.1424,0.0412,0,0,301.835,336.138,343.563,0,2873,57,259,630.392,287.229,554.599
46,1,164,M70-78,300,19,43,17.145,9.387,0.548,0.442,0.443,0,3,,-1.115,-0.854,7.616,4.653,1.0,0.725,0.632,0.657,0.343,0.481,0.822,0,43.063,36.3771,0.1553,0,0,298.883,314.542,328.565,0,2950,58,266,615.635,290.617,568.458
47,1,197,M78-85,380,24,54,16.264,9.289,0.571,0.444,0.443,0,3,,-0.05,0.644,35.624,2.147,0.198,0.639,0.609,0.608,0.392,0.106,0.162,0,49.12,48.7493,0.0075,0,0,285.867,323.83,345.313,0,3027,59,274,623.94,301.179,582.458
48,1,316,M37-45,420,22,60,15.573,9.859,0.633,0.367,0.367,0,2,,-1.341,0.199,64.533,5.802,0.359,0.64,0.671,0.644,0.356,0.116,0.272,0,54.3358,50.3729,0.0729,0,0,268.476,285.366,322.659,0,3098,61,280,547.153,239.335,595.202
49,1,171,M52-61,340,19,49,18.175,11.415,0.628,0.388,0.386,0,2,,-0.67,0.922,76.508,1.036,0.925,0.667,0.685,0.654,0.346,0.535,0.79,0,48.6143,36.0274,0.2589,1,0,297.459,319.581,341.95,0,3170,62,287,575.817,260.117,606.148
50,1,163,M19-24,460,31,66,19.862,9.747,0.491,0.47,0.474,0,3,,0.063,0.368,16.589,8.681,0.092,0.679,0.592,0.617,0.383,0.544,0.265,0,32.7906,50.0245,0.5256,1,0,294.842,317.826,339.713,0,3245,63,296,600.865,296.345,619.752
51,1,120,M61-70,460,26,66,19.137,11.785,0.616,0.394,0.393,0,2,,0.539,-1.172,77.824,3.506,0.932,0.628,0.684,0.633,0.367,0.332,0.712,0,42.8926,46.707,0.0889,0,0,299.204,321.13,340.413,0,3306,64,301,599.103,274.099,630.278
52,1,221,M78-85,260,16,37,15.542,9.124,0.587,0.432,0.43,0,3,,0.142,1.584,49.627,0.436,0.776,0.671,0.56,0.617,0.383,0.698,0.746,0,49.12,34.3254,0.3012,1,0,303.556,333.038,336.975,0,3380,65,308,604.896,277.798,644.401
53,1,138,M37-45,380,24,54,15.263,8.584,0.562,0.444,0.444,0,3,,0.011,-0.703,35.747,0.603,0.699,0.681,0.61,0.629,0.371,0.734,0.712,0,54.3358,51.9459,0.044,0,0,286.884,302.501,328.559,0,3454,67,315,584.28,282.721,659.281
54,1,327,M12-19,340,19,49,16.661,10.204,0.612,0.388,0.388,0,2,,1.203,-0.902,87.681,7.649,0.987,0.656,0.54,0.62,0.38,0.597,0.839,0,56.6483,39.3002,0.3062,1,0,304.527,334.586,330.793,0,3513,68,321,566.407,258.508,671.74
55,1,199,M12-19,340,23,49,16.743,8.842,0.528,0.469,0.47,0,3,,0.031,-1.003,46.853,0.822,0.76,0.685,0.633,0.628,0.372,0.632,0.713,0,39.3002,43.8453,0.1157,0,0,310.682,326.928,377.735,0,3588,70,330,626.064,289.468,686.473
56,1,128,M78-85,500,30,71,16.393,8.728,0.532,0.423,0.427,0,3,,-0.367,0.403,42.119,1.748,0.234,0.653,0.576,0.615,0.385,0.976,0.52,0,34.3254,61.7217,0.7981,1,0,296.982,310.227,350.845,0,3660,71,336,615.045,292.182,701.02
57,1,145,M61-70,460,30,66,15.94,8.094,0.508,0.455,0.458,0,3,,0.529,-1.484,83.902,6.461,0.966,0.655,0.57,0.605,0.395,0.345,0.721,0,42.8926,61.0562,0.4235,1,0,304.315,330.525,341.615,0,3730,72,343,616.968,281.178,716.585
58,1,319,M70-78,220,14,31,17.224,8.863,0.515,0.452,0.455,0,3,,-0.041,-0.301,14.377,2.424,0.08,0.645,0.662,0.619,0.381,0.56,0.263,0,43.063,26.9152,0.375,1,0,305.027,326.21,370.428,0,3809,72,351,619.74,289.537,731.167
59,1,250,M12-19,460,30,66,15.998,7.923,0.495,0.455,0.46,0,3,,1.967,0.834,23.235,3.971,0.629,0.686,0.633,0.633,0.367,0.634,0.631,0,39.3002,60.8358,0.548,1,0,321.803,348.756,360.635,0,3887,74,358,618.964,296.918,746.945
60,1,326,M70-78,220,14,31,16.809,8.925,0.531,0.452,0.453,0,3,,0.665,-1.299,86.048,5.504,0.478,0.676,0.68,0.639,0.361,0.382,0.443,0,26.9152,27.5798,0.0247,0,0,304.861,335.525,348.79,0,3964,74,365,609.04,270.476,761.451
61,1,195,M24-31,380,22,54,16.208,9.88,0.61,0.407,0.406,0,3,,0.688,-1.289,86.716,6.602,0.982,0.688,0.684,0.658,0.342,0.575,0.843,0,23.9214,46.4413,0.9414,1,0,304.32,331.727,337.824,0,4027,76,372,579.813,278.486,774.453
62,1,124,M24-31,220,12,31,15.134,8.829,0.583,0.387,0.39,0,2,,-1.79,0.886,77.636,3.901,0.931,0.63,0.501,0.599,0.401,0.089,0.594,0,46.4413,27.9689,0.3978,1,0,291.56,325.92,354.617,0,4085,77,378,596.145,279.638,788.627
63,1,228,M24-31,340,23,49,15.225,7.547,0.496,0.469,0.473,0,3,,-1.613,-0.533,30.151,7.657,0.668,0.665,0.595,0.611,0.389,0.738,0.695,0,27.9689,48.2167,0.7239,1,0,312.887,332.97,342.415,0,4159,78,387,628.682,306.879,804.979
64,1,292,M52-61,220,15,31,18.971,9.541,0.503,0.484,0.485,0,3,,-1.043,-1.957,16.719,4.204,0.593,0.737,0.544,0.632,0.368,0.858,0.69,0,36.0274,25.5346,0.2912,1,0,310.603,339.11,370.201,0,4236,80,395,652.673,297.786,818.939
65,1,162,M70-78,260,17,37,16.87,9.399,0.557,0.459,0.458,0,3,,-1.149,-0.227,36.143,7.847,0.201,0.735,0.56,0.642,0.358,0.471,0.298,0,26.9152,32.8279,0.2197,1,0,292.542,303.608,343.033,0,4315,80,402,604.248,293.15,832.907
66,1,174,M31-37,500,29,71,16.883,9.709,0.575,0.408,0.41,0,3,,0.671,1.366,19.911,2.145,0.111,0.635,0.689,0.633,0.367,0.648,0.308,0,23.6436,58.7511,1.4849,1,0,307.623,342.613,367.616,0,4389,82,409,613.576,284.417,846.129
67,1,251,M78-85,220,13,31,16.108,9.074,0.563,0.419,0.421,0,3,,-1.362,-0.493,27.475,4.866,0.153,0.695,0.579,0.637,0.363,0.27,0.195,0,61.7217,27.514,0.5542,1,0,282.124,307.871,325.164,0,4464,83,416,591.752,261.397,860.223
68,1,145,M37-45,300,18,43,16.5,9.513,0.577,0.419,0.419,0,3,,0.614,0.521,4.049,6.725,1.0,0.672,0.517,0.614,0.386,0.286,0.724,0,54.3358,36.5908,0.3266,1,0,284.223,307.023,310.94,0,4541,85,424,579.906,260.742,873.762
69,1,141,M45-52,460,32,66,17.025,8.461,0.497,0.485,0.487,0,3,,-1.507,1.552,66.369,6.707,0.369,0.669,0.624,0.614,0.386,0.594,0.456,0,36.5834,59.5706,0.6284,1,0,334.053,356.069,385.676,0,4608,86,431,650.986,300.544,889.08
70,1,317,M12-19,460,28,66,17.911,10.664,0.595,0.424,0.422,0,3,,1.879,0.85,21.612,8.053,0.62,0.619,0.559,0.594,0.406,0.68,0.644,0,60.8358,52.0972,0.1436,0,0,317.281,346.025,360.277,0,4670,88,438,574.002,279.338,901.22
71,1,176,M24-31,340,24,49,17.5,8.657,0.495,0.49,0.491,0,3,,1.449,-0.752,87.672,7.267,0.987,0.739,0.611,0.645,0.355,0.247,0.724,0,48.2167,43.1226,0.1057,0,0,326.337,355.824,370.325,0,4747,90,446,635.529,298.846,916.327
72,1,395,M19-24,420,25,60,17.983,10.224,0.569,0.417,0.418,0,3,,-1.661,-0.004,58.741,4.796,0.826,0.635,0.657,0.624,0.376,0.113,0.558,0,50.0245,46.872,0.063,0,0,303.317,343.037,329.772,0,4805,91,451,587.726,259.738,928.963
73,1,345,M78-85,380,25,54,15.758,7.748,0.492,0.463,0.467,0,3,,-1.506,-0.208,44.65,3.613,0.748,0.679,0.554,0.611,0.389,0.116,0.502,0,27.514,51.6134,0.8759,1,0,290.773,322.081,360.198,0,4879,93,459,612.134,281.62,945.019
74,1,227,M19-24,500,35,71,17.85,8.256,0.463,0.493,0.497,0,3,,-0.571,-0.133,22.144,5.057,0.623,0.674,0.619,0.613,0.387,0.662,0.638,0,50.0245,62.4337,0.2481,1,0,320.745,339.253,377.277,0,4950,94,467,639.157,299.979,960.649
75,1,390,M31-37,500,35,71,14.344,6.806,0.474,0.493,0.496,0,3,,-0.334,-0.438,5.15,0.53,1.0,0.733,0.503,0.619,0.381,0.56,0.833,0,58.7511,77.6973,0.3225,1,0,307.192,320.955,357.689,0,5018,96,475,649.619,312.408,978.093
76,1,185,M78-85,500,31,71,16.381,8.578,0.524,0.437,0.441,0,3,,1.659,1.281,6.908,2.245,1.0,0.681,0.549,0.619,0.381,0.363,0.758,0,51.6134,62.9952,0.2205,1,0,320.343,339.417,384.86,0,5096,96,482,628.84,278.118,992.927
77,1,295,M45-52,300,19,43,16.053,9.094,0.567,0.442,0.441,0,3,,1.822,-0.062,64.787,6.533,0.86,0.66,0.547,0.607,0.393,0.818,0.844,0,59.5706,38.8517,0.3478,1,0,311.222,348.158,377.71,0,5168,97,489,592.706,286.375,1007.153
