# ICDDR NO-REROUTE baseline trace (formula-consistent template)
# Scenario=Delhi | Seed=1304 | Duration=3600s | RSU_Distance=800m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:59:42.544200Z
"# NOTE: Congestion detection + dissemination active, but rerouting is DISABLED (all reroute flags = 0)."

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,CAM_ID,Ms_slope,Mr_slope,Theta_deg,DeltaC,Relevance_R,Urgency_U,TimeFactor_T,rho,gamma,Dnorm,SuitabilityIndex_Si,ForwarderSelected(0/1),w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,1023,D78-85,300,16,43,13.646,8.366,0.613,0.372,0.374,0,2,,-1.357,-0.235,40.41,4.068,0.724,0.646,0.889,0.689,0.311,0.698,0.716,0,35.2051,41.3873,0.1756,0,0,287.322,303.367,352.936,0,61,2,6,586.699,272.15,14.648
2,1,1281,D31-37,380,21,54,14.726,9.131,0.62,0.389,0.388,0,2,,1.13,-0.274,63.802,7.896,0.354,0.675,0.73,0.667,0.333,0.864,0.524,0,28.0922,49.7759,0.7719,1,0,303.834,329.12,332.682,0,133,3,12,578.385,255.839,28.457
3,1,1250,D78-85,260,16,37,10.32,5.119,0.496,0.432,0.44,0,3,,0.605,1.696,28.311,3.656,0.157,0.635,0.889,0.666,0.334,0.247,0.187,0,35.2051,51.6951,0.4684,1,0,288.156,300.436,322.422,0,198,4,19,622.429,282.716,47.585
4,1,1213,D45-52,300,19,43,14.777,7.412,0.502,0.442,0.448,0,3,,1.159,1.076,2.099,3.747,1.0,0.697,0.835,0.683,0.317,0.222,0.754,0,38.2783,42.2059,0.1026,0,0,317.064,355.681,383.326,0,273,6,26,590.148,281.723,63.913
5,1,1299,D61-70,260,16,37,13.655,7.603,0.557,0.432,0.434,0,3,,0.579,-0.459,54.708,3.294,0.804,0.641,0.876,0.666,0.334,0.609,0.739,0,10.9226,39.0694,2.5769,1,0,290.153,318.86,326.409,0,343,8,34,623.809,294.813,79.936
6,1,1277,D70-78,340,21,49,11.356,6.011,0.529,0.429,0.433,0,3,,-0.55,0.241,42.359,1.015,0.735,0.667,0.851,0.675,0.325,0.719,0.73,0,22.8914,61.1041,1.6693,1,0,298.579,322.725,339.335,0,413,9,40,613.987,292.58,97.922
7,1,1104,D45-52,340,20,49,16.545,9.27,0.56,0.408,0.411,0,3,,-1.791,-1.263,9.2,2.964,1.0,0.641,0.745,0.647,0.353,0.147,0.699,0,38.2783,40.7483,0.0645,0,0,301.824,339.155,338.474,0,482,10,46,591.393,280.754,111.691
8,1,1053,D61-70,340,20,49,17.594,10.674,0.607,0.408,0.407,0,3,,1.238,-0.749,87.884,2.59,0.988,0.658,0.854,0.678,0.322,0.918,0.966,0,39.0694,38.3188,0.0192,0,0,298.689,330.38,360.177,0,546,12,53,598.372,275.61,123.705
9,1,1157,D52-61,300,16,43,16.239,9.776,0.602,0.372,0.375,0,2,,0.766,-0.834,77.264,3.919,0.929,0.599,0.701,0.628,0.372,0.063,0.607,0,32.8181,34.78,0.0598,0,0,265.209,285.353,321.95,0,606,13,58,566.99,248.894,136.59
10,1,1052,D12-19,340,21,49,13.696,7.616,0.556,0.429,0.43,0,3,,0.298,0.476,8.843,5.742,1.0,0.653,0.872,0.673,0.327,0.331,0.781,0,15.7496,50.6641,2.2168,1,0,289.935,315.409,354.038,0,673,15,65,610.697,282.912,152.57
