# ICDDR NO-REROUTE baseline trace (formula-consistent template)
# Scenario=Delhi | Seed=1305 | Duration=3600s | RSU_Distance=800m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:59:42.679798Z
"# NOTE: Congestion detection + dissemination active, but rerouting is DISABLED (all reroute flags = 0)."

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,CAM_ID,Ms_slope,Mr_slope,Theta_deg,DeltaC,Relevance_R,Urgency_U,TimeFactor_T,rho,gamma,Dnorm,SuitabilityIndex_Si,ForwarderSelected(0/1),w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,1202,D45-52,460,24,66,11.819,7.471,0.632,0.364,0.364,0,2,,1.583,1.489,1.602,0.017,1.0,0.629,0.814,0.668,0.332,0.69,0.897,0,32.576,72.3705,1.2216,1,0,268.92,292.502,298.879,0,56,0,5,575.459,248.533,15.707
2,1,1196,D52-61,420,26,60,14.974,8.607,0.575,0.433,0.433,0,3,,-1.921,0.103,68.379,1.213,0.88,0.677,0.727,0.654,0.346,0.731,0.828,0,32.4204,57.6238,0.7774,1,0,298.069,313.109,355.174,0,117,1,11,583.803,281.021,30.482
3,1,1132,D37-45,340,19,49,14.167,9.15,0.646,0.388,0.384,0,2,,1.684,-0.146,67.614,1.46,0.876,0.593,0.7,0.62,0.38,0.65,0.79,0,23.505,46.2185,0.9663,1,0,299.401,334.0,362.971,0,191,3,19,592.578,259.296,44.259
4,1,1230,D61-70,460,25,66,15.494,9.476,0.612,0.379,0.38,0,2,,0.221,0.349,6.758,6.533,1.0,0.587,0.841,0.648,0.352,0.918,0.971,0,20.2187,56.4388,1.7914,1,0,287.571,306.298,351.796,0,264,4,25,572.307,250.107,57.565
5,1,1253,D52-61,260,17,37,14.337,7.107,0.496,0.459,0.464,0,3,,1.279,1.786,8.767,9.066,0.049,0.722,0.891,0.701,0.299,0.45,0.169,0,57.6238,38.6268,0.3297,1,0,320.895,351.277,362.665,0,332,5,32,594.543,275.171,74.398
6,1,1164,D61-70,260,16,37,15.502,8.643,0.558,0.432,0.433,0,3,,1.668,0.145,50.819,2.532,0.282,0.706,0.761,0.676,0.324,0.167,0.245,0,56.4388,34.4147,0.3902,1,0,284.409,304.861,320.469,0,402,7,39,587.866,261.603,89.121
7,1,1167,D37-45,420,25,60,17.336,10.23,0.59,0.417,0.416,0,3,,-1.825,-0.071,57.215,3.165,0.318,0.705,0.804,0.688,0.312,0.414,0.348,0,46.2185,48.6233,0.052,0,0,281.06,296.252,336.021,0,476,8,46,581.721,260.833,101.75
8,1,1152,D78-85,220,13,31,14.627,7.84,0.536,0.419,0.424,0,3,,1.878,1.702,2.397,4.801,1.0,0.659,0.808,0.665,0.335,0.328,0.775,0,39.6477,30.2998,0.2358,1,0,307.008,344.923,361.083,0,552,10,53,587.567,278.783,117.386
9,1,1278,D78-85,220,12,31,15.179,8.994,0.593,0.387,0.389,0,2,,-1.651,0.52,86.289,5.853,0.479,0.663,0.869,0.689,0.311,0.346,0.438,0,30.2998,27.8865,0.0796,0,0,277.169,305.542,306.56,0,622,11,59,553.051,261.129,131.353
10,1,1040,D24-31,300,19,43,16.139,8.657,0.536,0.442,0.444,0,3,,0.86,1.627,17.749,6.453,0.099,0.691,0.724,0.658,0.342,0.837,0.351,0,10.5829,38.6458,2.6517,1,0,290.629,302.104,321.445,0,689,12,66,607.186,276.533,146.125
11,1,1007,D19-24,380,23,54,14.187,7.782,0.548,0.426,0.428,0,3,,0.45,1.078,22.937,4.043,0.127,0.625,0.716,0.628,0.372,0.109,0.12,0,28.9911,54.4603,0.8785,1,0,298.798,320.749,328.015,0,751,14,72,594.61,269.156,161.879
