# ICDDR NO-REROUTE baseline trace (formula-consistent template)
# Scenario=Delhi | Seed=1302 | Duration=3600s | RSU_Distance=800m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:59:42.333953Z
"# NOTE: Congestion detection + dissemination active, but rerouting is DISABLED (all reroute flags = 0)."

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,CAM_ID,Ms_slope,Mr_slope,Theta_deg,DeltaC,Relevance_R,Urgency_U,TimeFactor_T,rho,gamma,Dnorm,SuitabilityIndex_Si,ForwarderSelected(0/1),w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,1301,D37-45,220,12,31,15.946,9.917,0.622,0.387,0.386,0,2,,1.9,0.543,33.736,6.336,0.687,0.679,0.826,0.688,0.312,0.588,0.656,0,36.9175,26.5445,0.281,1,0,297.496,314.618,361.984,0,62,1,5,592.726,267.16,12.813
2,1,1232,D12-19,260,14,37,14.734,8.817,0.598,0.378,0.381,0,2,,1.773,-0.303,77.462,9.249,0.43,0.616,0.741,0.642,0.358,0.936,0.611,0,12.6453,33.5269,1.6513,1,0,275.762,310.824,317.018,0,136,3,12,559.703,264.654,26.94
3,1,1104,D12-19,340,19,49,15.105,9.615,0.637,0.388,0.385,0,2,,-1.278,1.816,66.887,9.108,0.872,0.602,0.789,0.642,0.358,0.069,0.584,0,33.5269,43.3494,0.293,1,0,301.609,318.741,328.752,0,208,5,18,552.541,246.763,40.136
4,1,1241,D52-61,380,23,54,17.748,10.129,0.571,0.426,0.426,0,3,,-0.045,-1.365,51.19,3.373,0.284,0.675,0.895,0.689,0.311,0.874,0.468,0,17.4435,43.5331,1.4957,1,0,305.681,327.475,347.955,0,272,7,24,588.761,266.478,52.956
5,1,1019,D12-19,420,24,60,14.851,8.195,0.552,0.4,0.405,0,3,,-0.896,1.122,89.863,5.409,0.999,0.694,0.802,0.687,0.313,0.212,0.753,0,43.3494,55.4311,0.2787,1,0,291.736,308.658,338.547,0,337,8,31,594.197,266.956,68.012
6,1,1230,D24-31,420,23,60,17.061,10.634,0.623,0.383,0.383,0,2,,0.577,-1.18,79.703,4.646,0.943,0.647,0.881,0.685,0.315,0.707,0.868,0,28.2404,47.1071,0.6681,1,0,276.089,291.617,303.562,0,407,10,37,596.411,284.008,79.902
7,1,1018,D24-31,380,24,54,15.485,8.852,0.572,0.444,0.443,0,3,,1.223,-0.375,71.264,8.016,0.896,0.709,0.715,0.664,0.336,0.126,0.637,0,47.1071,51.201,0.0869,0,0,285.948,308.179,345.266,0,481,12,45,607.453,292.708,94.449
8,1,1345,D52-61,260,14,37,15.102,9.138,0.605,0.378,0.38,0,2,,1.902,-1.654,58.895,4.392,0.827,0.593,0.816,0.646,0.354,0.807,0.82,0,43.5331,32.7093,0.2486,1,0,299.455,332.4,356.378,0,552,14,51,551.634,249.003,108.175
9,1,1294,D61-70,260,14,37,13.498,8.063,0.597,0.378,0.381,0,2,,-1.44,1.449,69.389,1.206,0.885,0.654,0.767,0.667,0.333,0.062,0.611,0,33.8413,36.5962,0.0814,0,0,303.436,343.088,362.224,0,615,14,56,557.388,243.526,123.245
10,1,1270,D61-70,460,28,66,12.447,6.882,0.553,0.424,0.427,0,3,,1.806,-1.595,61.058,4.564,0.339,0.652,0.733,0.646,0.354,0.377,0.353,0,33.8413,74.964,1.2152,1,0,307.775,319.273,348.599,0,678,14,61,612.085,279.067,140.112
