# ICDDR NO-REROUTE baseline trace (formula-consistent template)
# Scenario=Manhattan | Seed=1205 | Duration=3600s | RSU_Distance=1000m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:59:42.088588Z
"# NOTE: Congestion detection + dissemination active, but rerouting is DISABLED (all reroute flags = 0)."

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,CAM_ID,Ms_slope,Mr_slope,Theta_deg,DeltaC,Relevance_R,Urgency_U,TimeFactor_T,rho,gamma,Dnorm,SuitabilityIndex_Si,ForwarderSelected(0/1),w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,179,M52-61,220,12,31,17.989,10.813,0.601,0.387,0.388,0,2,,-0.297,-1.088,30.862,7.424,0.671,0.621,0.662,0.627,0.373,0.08,0.451,0,13.3421,23.5303,0.7636,1,0,290.384,317.033,320.343,0,61,1,6,573.002,266.729,11.693
2,1,331,M52-61,460,26,66,18.297,10.863,0.594,0.394,0.395,0,2,,-1.387,-1.45,1.197,4.866,1.0,0.6,0.687,0.619,0.381,0.783,0.917,0,23.5303,48.8492,1.076,1,0,298.24,314.602,345.832,0,121,3,11,600.54,268.45,23.372
3,1,244,M70-78,300,15,43,18.003,11.53,0.64,0.349,0.35,0,2,,0.417,-1.474,78.485,4.682,0.936,0.636,0.69,0.651,0.349,0.061,0.631,0,38.8141,30.3183,0.2189,1,0,270.507,289.573,326.017,0,179,5,16,559.215,264.516,33.901
4,1,293,M31-37,420,20,60,18.267,12.01,0.657,0.333,0.334,0,2,,0.865,0.326,22.814,3.015,0.127,0.608,0.69,0.642,0.358,0.185,0.148,0,34.1146,40.8749,0.1982,0,0,277.874,303.49,312.747,0,233,6,21,524.764,224.087,43.722
5,1,395,M37-45,420,21,60,16.689,11.4,0.683,0.35,0.347,0,2,,-0.615,1.199,81.774,4.673,0.454,0.578,0.53,0.59,0.41,0.462,0.458,0,26.9448,45.8643,0.7022,1,0,268.322,302.664,308.479,0,298,8,26,574.427,263.507,54.422
6,1,374,M45-52,340,16,49,15.957,10.262,0.643,0.327,0.33,0,2,,1.633,-1.836,60.059,4.738,0.334,0.587,0.582,0.612,0.388,0.475,0.389,0,15.7086,37.4949,1.3869,1,0,276.05,305.017,305.421,0,359,9,32,546.725,231.136,66.381
7,1,133,M70-78,180,9,26,15.685,10.824,0.69,0.346,0.343,0,2,,0.867,-0.169,50.516,6.593,0.281,0.603,0.635,0.625,0.375,0.071,0.202,0,30.3183,20.7954,0.3141,1,0,278.741,305.86,336.046,0,412,10,37,575.285,255.814,77.774
8,1,240,M24-31,340,18,49,16.42,10.182,0.62,0.367,0.369,0,2,,1.796,1.12,12.65,2.837,0.57,0.65,0.593,0.633,0.367,0.583,0.575,0,27.2202,38.7134,0.4222,1,0,283.298,295.026,329.142,0,482,11,44,554.116,264.583,90.118
9,1,173,M19-24,180,10,26,17.138,10.366,0.605,0.385,0.386,0,2,,-1.038,1.503,77.579,5.218,0.431,0.668,0.6,0.639,0.361,0.173,0.338,0,37.7279,20.1361,0.4663,1,0,276.642,307.071,337.903,0,541,12,49,556.578,260.387,102.353
10,1,130,M45-52,340,17,49,18.291,11.799,0.645,0.347,0.348,0,2,,-0.573,-1.011,15.496,0.042,0.086,0.621,0.564,0.62,0.38,0.872,0.385,0,37.4949,33.7237,0.1006,0,0,281.164,300.113,349.368,0,601,13,53,541.563,239.118,112.533
