# ICDDR NO-REROUTE baseline trace (formula-consistent template)
# Scenario=Manhattan | Seed=1202 | Duration=3600s | RSU_Distance=1000m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:59:41.773056Z
"# NOTE: Congestion detection + dissemination active, but rerouting is DISABLED (all reroute flags = 0)."

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,CAM_ID,Ms_slope,Mr_slope,Theta_deg,DeltaC,Relevance_R,Urgency_U,TimeFactor_T,rho,gamma,Dnorm,SuitabilityIndex_Si,ForwarderSelected(0/1),w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,138,M52-61,260,14,37,17.278,10.188,0.59,0.378,0.382,0,2,,-0.675,-1.476,21.887,1.304,0.122,0.68,0.575,0.642,0.358,0.707,0.331,0,16.4568,28.5896,0.7373,1,0,277.716,312.402,308.882,0,55,1,5,564.538,248.564,12.414
2,1,133,M52-61,500,25,71,16.661,10.75,0.645,0.352,0.352,0,2,,1.427,1.945,7.809,5.853,1.0,0.614,0.658,0.633,0.367,0.301,0.744,0,28.5896,54.8664,0.9191,1,0,297.757,322.916,363.311,0,119,3,10,552.99,237.724,23.941
3,1,363,M78-85,180,9,26,16.129,10.876,0.674,0.346,0.344,0,2,,1.809,-1.142,70.155,2.324,0.89,0.655,0.687,0.661,0.339,0.527,0.767,0,34.8173,20.2237,0.4191,1,0,288.917,309.586,337.126,0,184,5,15,572.073,268.147,35.27
4,1,373,M61-70,460,22,66,18.149,11.968,0.659,0.333,0.334,0,2,,1.092,1.949,15.333,6.179,0.585,0.564,0.508,0.583,0.417,0.151,0.404,0,27.8876,45.0588,0.6157,1,0,265.115,290.283,314.938,0,245,7,21,540.304,236.98,45.144
5,1,264,M70-78,340,18,49,18.083,11.164,0.617,0.367,0.369,0,2,,-0.212,1.854,73.649,4.26,0.409,0.671,0.548,0.635,0.365,0.765,0.539,0,10.0983,35.153,2.4811,1,0,280.85,306.323,326.325,0,312,9,28,559.898,259.37,56.261
6,1,299,M45-52,260,13,37,16.346,10.66,0.652,0.351,0.351,0,2,,0.899,0.887,0.389,4.689,1.0,0.658,0.661,0.656,0.344,0.14,0.704,0,29.9651,29.0461,0.0307,0,0,269.922,295.616,323.145,0,374,11,34,532.416,250.101,67.896
7,1,250,M52-61,420,23,60,19.082,11.197,0.587,0.383,0.386,0,2,,-1.133,0.809,87.554,7.623,0.486,0.624,0.632,0.623,0.377,0.95,0.661,0,54.8664,42.1198,0.2323,1,0,274.606,307.595,303.617,0,441,12,41,586.236,259.536,79.083
8,1,393,M31-37,460,23,66,16.69,10.583,0.634,0.348,0.35,0,2,,-1.407,-0.565,25.154,4.474,0.64,0.656,0.587,0.641,0.359,0.846,0.714,0,18.9679,50.1192,1.6423,1,0,260.145,282.499,298.164,0,510,13,48,552.085,241.048,90.794
9,1,341,M78-85,460,21,66,17.391,11.492,0.661,0.318,0.32,0,2,,1.465,1.826,5.609,7.113,1.0,0.565,0.548,0.597,0.403,0.935,0.974,0,20.2237,45.9616,1.2727,1,0,272.924,286.04,319.355,0,578,15,53,557.915,235.774,101.156
10,1,339,M37-45,500,27,71,14.162,8.763,0.619,0.38,0.38,0,2,,1.917,0.633,30.115,5.062,0.667,0.622,0.64,0.625,0.375,0.379,0.559,0,14.7548,67.2616,3.5586,1,0,294.42,314.308,326.723,0,634,16,59,591.941,280.436,115.364
