# ICDDR paper-aligned synthetic trace (formula-consistent template)
# Seed: 202
# Generated: 2026-02-14T10:52:44.152569Z
# Scenario: Manhattan | Duration: 3600s | k=3 | w_th=0.2 | λ=0.1 | V2V range=500m | Max hops=4 | RSU interval=1000m
# NOTE: Values are synthetically generated but constrained by the paper’s equations and parameter ranges; replace with real simulator outputs for publication.

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,CAM_ID,Ms_slope,Mr_slope,Theta_deg,DeltaC,Relevance_R,Urgency_U,TimeFactor_T,rho,gamma,Dnorm,SuitabilityIndex_Si,ForwarderSelected(0/1),w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,353,v37-v45,180,10,26,17.444,10.12,0.58,0.385,0.388,0,2,,-0.48,-1.954,37.246,7.779,0.707,0.611,0.572,0.605,0.395,0.886,0.778,0,31.4574,19.7829,0.3711,1,0,295.262,324.888,339.87,0,59,1,6,549.937,220.418,11.763
2,1,336,v31-v37,380,21,54,15.088,8.965,0.594,0.389,0.391,0,2,,1.05,-0.615,77.997,0.525,0.933,0.617,0.676,0.627,0.373,0.893,0.918,0,23.9484,48.5828,1.0286,1,0,273.332,289.276,312.929,0,116,2,12,565.732,225.71,24.939
3,1,248,v24-v31,340,19,49,15.367,9.046,0.589,0.388,0.39,0,2,,0.616,1.762,28.806,2.79,0.66,0.611,0.611,0.612,0.388,0.186,0.476,0,13.8523,42.6099,2.076,1,0,270.753,281.219,311.366,0,184,4,18,537.951,209.847,38.011
4,1,390,v24-v31,180,10,26,17.511,10.146,0.579,0.385,0.388,0,2,,-0.465,-0.532,3.052,1.62,1.0,0.659,0.517,0.617,0.383,0.447,0.789,0,42.6099,19.7067,0.5375,1,0,306.165,344.043,342.599,0,247,6,23,577.497,248.399,49.743
5,1,189,v19-v24,300,15,43,16.061,10.486,0.653,0.349,0.349,0,2,,-1.921,-0.328,44.336,2.5,0.246,0.626,0.601,0.629,0.371,0.879,0.481,0,19.8034,33.9833,0.716,1,0,285.418,310.685,327.302,0,316,7,29,534.966,204.959,60.853
6,1,198,v19-v24,500,26,71,16.901,10.49,0.621,0.366,0.368,0,2,,0.221,-0.995,57.328,0.763,0.318,0.639,0.56,0.622,0.378,0.522,0.396,0,33.9833,55.2169,0.6248,1,0,296.166,334.693,352.661,0,387,8,36,546.314,220.504,72.062
7,1,127,v78-v85,500,23,71,15.618,10.266,0.657,0.324,0.326,0,2,,0.498,-1.14,75.205,4.455,0.918,0.582,0.551,0.604,0.396,0.912,0.915,0,24.1474,56.1156,1.3239,1,0,283.216,302.264,315.311,0,455,8,40,520.633,218.679,83.286
8,1,273,v31-v37,260,15,37,19.852,11.464,0.578,0.405,0.407,0,3,,-1.914,-0.796,23.893,13.614,0.133,0.646,0.528,0.607,0.393,0.133,0.133,0,48.5828,25.869,0.4675,1,0,275.489,302.645,316.99,0,525,9,46,573.485,230.773,93.561
9,1,197,v37-v45,300,15,43,16.387,11.137,0.68,0.349,0.346,0,2,,0.966,-0.858,84.613,1.345,0.47,0.622,0.673,0.641,0.359,0.727,0.562,0,19.7829,33.3077,0.6837,1,0,294.236,320.544,334.738,0,591,10,52,552.201,224.211,103.89
10,1,271,v37-v45,300,15,43,16.184,10.612,0.656,0.349,0.348,0,2,,1.109,-0.545,76.553,9.178,0.425,0.6,0.554,0.606,0.394,0.562,0.479,0,33.3077,33.7246,0.0125,0,0,260.798,273.432,295.77,0,658,12,58,564.811,235.575,114.848
11,1,190,v12-v19,300,15,43,16.65,11.325,0.68,0.349,0.346,0,2,,1.889,1.913,0.299,6.229,1.0,0.567,0.51,0.581,0.419,0.768,0.903,0,36.0652,32.7812,0.0911,0,0,270.302,290.61,308.243,0,727,14,64,561.12,230.403,124.952
12,1,222,v12-v19,300,15,43,15.355,9.975,0.65,0.349,0.349,0,2,,1.35,-1.215,75.974,5.415,0.422,0.627,0.503,0.609,0.391,0.203,0.336,0,36.0652,35.5471,0.0144,0,0,262.403,290.899,326.037,0,796,15,70,547.359,224.367,136.675
13,1,253,v61-v70,340,16,49,16.137,11.433,0.708,0.327,0.323,0,2,,-1.162,-0.046,46.656,6.493,0.759,0.548,0.603,0.597,0.403,0.615,0.701,0,17.4571,37.0754,1.1238,1,0,272.4,312.048,318.814,0,858,16,76,543.278,203.969,146.515
14,1,280,v12-v19,220,11,31,15.178,9.56,0.63,0.355,0.356,0,2,,-1.341,0.085,58.138,2.456,0.323,0.574,0.679,0.616,0.384,0.87,0.533,0,36.0652,26.6055,0.2623,1,0,260.364,272.704,309.957,0,923,18,83,564.079,226.274,158.773
15,1,134,v52-v61,340,16,49,14.008,9.136,0.652,0.327,0.329,0,2,,-1.053,1.089,86.073,1.417,0.978,0.598,0.582,0.617,0.383,0.219,0.687,0,11.1024,42.7099,2.8469,1,0,264.628,298.579,318.078,0,977,20,88,512.666,211.766,171.368
16,1,169,v37-v45,500,24,71,15.165,10.283,0.678,0.338,0.336,0,2,,0.369,0.405,1.803,1.888,1.0,0.579,0.527,0.593,0.407,0.984,0.993,0,33.3077,59.0274,0.7722,1,0,258.353,293.814,300.622,0,1045,22,93,547.685,226.296,182.657
17,1,126,v45-v52,180,8,26,15.774,10.557,0.669,0.308,0.31,0,2,,-0.105,-0.76,31.26,2.124,0.674,0.594,0.523,0.609,0.391,0.501,0.606,0,31.2383,19.5144,0.3753,1,0,263.035,300.372,330.249,0,1098,23,97,510.918,215.06,193.435
18,1,192,v52-v61,180,9,26,15.839,10.428,0.658,0.346,0.346,0,2,,0.529,1.145,20.999,1.636,0.617,0.608,0.51,0.602,0.398,0.794,0.687,0,42.7099,20.5934,0.5178,1,0,294.769,331.137,329.447,0,1167,25,104,553.203,218.171,204.599
19,1,187,v24-v31,340,17,49,17.342,11.427,0.659,0.347,0.346,0,2,,-0.105,1.967,69.032,3.133,0.884,0.602,0.578,0.613,0.387,0.805,0.853,0,19.7067,35.5699,0.805,1,0,289.066,306.801,335.396,0,1229,25,109,544.485,215.203,214.568
20,1,254,v19-v24,420,25,60,16.066,9.289,0.578,0.417,0.417,0,3,,0.159,0.474,16.299,0.171,0.591,0.669,0.505,0.611,0.389,0.763,0.658,0,55.2169,52.4657,0.0498,0,0,306.786,330.203,340.18,0,1300,26,115,597.576,255.296,227.521
21,1,122,v31-v37,460,24,66,15.277,9.906,0.648,0.364,0.362,0,2,,-0.929,-1.239,8.194,1.46,1.0,0.608,0.692,0.633,0.367,0.455,0.8,0,25.869,55.9897,1.1644,1,0,287.925,327.748,320.076,0,1361,27,121,562.662,234.93,239.417
22,1,150,v19-v24,380,23,54,16.616,9.324,0.561,0.426,0.427,0,3,,1.115,-1.365,78.111,1.43,0.434,0.685,0.626,0.64,0.36,0.742,0.545,0,55.2169,46.501,0.1578,0,0,303.596,320.345,362.752,0,1437,27,129,572.317,228.596,252.383
23,1,109,v31-v37,500,29,71,17.925,10.665,0.595,0.408,0.408,0,3,,1.019,-0.308,62.666,4.316,0.848,0.662,0.511,0.61,0.39,0.779,0.821,0,55.9897,55.3353,0.0117,0,0,304.546,322.895,355.973,0,1506,29,135,578.373,232.131,263.636
24,1,386,v37-v45,300,16,43,16.852,10.696,0.635,0.372,0.371,0,2,,1.757,-1.931,57.023,0.789,0.817,0.641,0.521,0.613,0.387,0.069,0.527,0,59.0274,33.5139,0.4322,1,0,282.966,316.858,340.348,0,1565,29,141,572.845,222.921,274.633
25,1,217,v31-v37,460,27,66,19.278,11.55,0.599,0.409,0.408,0,3,,-1.262,1.255,76.943,0.432,0.927,0.625,0.669,0.624,0.376,0.417,0.736,0,55.9897,47.3769,0.1538,0,0,305.616,322.541,335.929,0,1623,31,148,595.561,243.95,284.828
26,1,296,v52-v61,260,14,37,14.621,8.704,0.595,0.378,0.381,0,2,,1.127,-0.709,83.749,4.567,0.965,0.599,0.6,0.606,0.394,0.887,0.934,0,20.5934,33.7848,0.6406,1,0,282.934,296.161,349.026,0,1678,32,154,555.457,234.018,298.253
27,1,108,v19-v24,300,17,43,17.151,9.921,0.578,0.395,0.398,0,2,,1.758,-0.041,62.694,3.199,0.348,0.673,0.584,0.635,0.365,0.575,0.431,0,55.2169,34.0554,0.3832,1,0,287.94,312.251,345.471,0,1752,34,161,561.12,242.296,310.319
28,1,165,v45-v52,220,12,31,18.321,11.179,0.61,0.387,0.387,0,2,,0.039,-1.541,59.244,0.36,0.329,0.671,0.629,0.645,0.355,0.54,0.404,0,19.5144,23.1044,0.184,0,0,290.989,323.56,342.812,0,1808,36,166,586.144,241.853,320.827
29,1,369,v37-v45,500,28,71,18.48,11.093,0.6,0.394,0.395,0,2,,1.483,0.282,40.281,4.04,0.224,0.678,0.558,0.632,0.368,0.598,0.361,0,33.5139,52.603,0.5696,1,0,287.277,311.283,336.434,0,1877,38,173,567.889,240.644,331.482
30,1,243,v37-v45,180,10,26,19.029,12.007,0.631,0.385,0.383,0,2,,1.176,1.82,11.603,0.33,0.564,0.634,0.527,0.607,0.393,0.681,0.61,0,52.603,18.1351,0.6552,1,0,293.334,309.275,350.665,0,1944,39,179,566.599,227.91,340.981
31,1,280,v37-v45,340,21,49,17.425,10.04,0.576,0.429,0.428,0,3,,-1.867,1.675,59.015,5.944,0.828,0.676,0.652,0.64,0.36,0.482,0.703,0,18.1351,39.8216,1.1958,1,0,315.855,333.016,371.187,0,2014,40,186,585.929,240.026,353.105
32,1,180,v52-v61,500,26,71,17.903,11.253,0.629,0.366,0.367,0,2,,0.843,-1.464,84.21,3.441,0.468,0.577,0.568,0.592,0.408,0.451,0.461,0,33.7848,52.1273,0.5429,1,0,278.764,291.094,343.94,0,2070,40,191,566.474,231.922,363.399
33,1,239,v12-v19,420,22,60,16.466,9.905,0.602,0.367,0.37,0,2,,-0.694,-0.574,4.914,7.055,1.0,0.651,0.648,0.645,0.355,0.185,0.711,0,26.6055,47.6413,0.7907,1,0,275.334,305.064,325.291,0,2140,41,198,552.095,235.202,375.313
34,1,372,v78-v85,340,18,49,16.659,11.033,0.662,0.367,0.364,0,2,,1.031,1.922,16.628,5.077,0.592,0.606,0.591,0.611,0.389,0.139,0.416,0,56.1156,38.1582,0.32,1,0,297.744,314.679,340.346,0,2195,42,203,575.174,216.532,385.877
35,1,204,v45-v52,300,19,43,16.264,9.21,0.566,0.442,0.441,0,3,,1.048,0.968,2.264,3.602,1.0,0.659,0.536,0.604,0.396,0.403,0.764,0,19.5144,38.3483,0.9651,1,0,294.131,315.831,328.217,0,2269,44,211,589.248,232.176,399.076
36,1,103,v24-v31,260,16,37,17.462,10.045,0.575,0.432,0.432,0,3,,1.174,1.867,12.252,1.517,0.068,0.711,0.574,0.64,0.36,0.158,0.1,0,35.5699,30.5507,0.1411,0,0,319.518,332.501,344.691,0,2336,46,219,583.122,235.237,411.217
37,1,208,v24-v31,420,23,60,15.024,9.434,0.628,0.383,0.382,0,2,,1.983,-0.599,85.862,0.3,0.977,0.675,0.599,0.643,0.357,0.984,0.979,0,35.5699,53.495,0.5039,1,0,271.758,302.165,304.698,0,2399,48,224,579.883,220.346,423.797
38,1,161,v31-v37,180,9,26,15.707,9.999,0.637,0.346,0.348,0,2,,1.454,0.256,41.098,5.652,0.728,0.575,0.559,0.595,0.405,0.881,0.79,0,55.9897,20.7666,0.6291,1,0,263.263,290.829,300.223,0,2455,49,229,530.936,217.862,435.474
39,1,274,v24-v31,180,11,26,17.646,9.782,0.554,0.423,0.425,0,3,,1.586,0.056,54.541,4.535,0.303,0.691,0.611,0.641,0.359,0.655,0.429,0,53.495,20.6577,0.6138,1,0,279.182,308.091,331.856,0,2522,51,235,601.42,254.422,447.875
40,1,337,v19-v24,180,10,26,15.943,9.926,0.623,0.385,0.384,0,2,,1.615,-1.952,58.895,3.943,0.827,0.591,0.659,0.612,0.388,0.864,0.841,0,34.0554,21.6452,0.3644,1,0,285.743,312.099,328.813,0,2579,52,240,584.455,227.047,459.871
