# ICDDR paper-aligned synthetic trace (formula-consistent template)
# Seed: 101
# Generated: 2026-02-14T10:52:44.039970Z
# Scenario: Manhattan | Duration: 3600s | k=3 | w_th=0.2 | λ=0.1 | V2V range=500m | Max hops=4 | RSU interval=1000m
# NOTE: Values are synthetically generated but constrained by the paper’s equations and parameter ranges; replace with real simulator outputs for publication.

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,CAM_ID,Ms_slope,Mr_slope,Theta_deg,DeltaC,Relevance_R,Urgency_U,TimeFactor_T,rho,gamma,Dnorm,SuitabilityIndex_Si,ForwarderSelected(0/1),w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,256,v31-v37,220,11,31,15.942,10.665,0.669,0.355,0.352,0,2,,-0.931,1.129,88.582,2.108,0.992,0.572,0.649,0.609,0.391,0.453,0.782,0,20.9954,25.3307,0.2065,1,0,294.228,310.729,323.489,0,68,1,6,532.619,225.023,10.932
2,1,118,v52-v61,260,12,37,16.804,11.966,0.712,0.324,0.321,0,2,,1.312,1.586,5.066,0.956,1.0,0.557,0.669,0.615,0.385,0.54,0.823,0,29.1228,27.1356,0.0682,0,0,285.541,300.975,334.417,0,135,1,12,532.432,212.134,20.118
3,1,327,v19-v24,460,25,66,17.179,10.906,0.635,0.379,0.377,0,2,,0.953,1.57,13.884,5.453,0.577,0.672,0.528,0.628,0.372,0.96,0.719,0,12.6659,50.9043,3.019,1,0,301.44,321.566,329.479,0,200,2,18,534.844,212.889,30.904
4,1,268,v19-v24,340,20,49,16.7,9.231,0.553,0.408,0.412,0,3,,1.924,1.604,4.476,6.029,1.0,0.619,0.631,0.613,0.387,0.894,0.959,0,50.9043,40.3711,0.2069,1,0,274.77,303.762,338.322,0,266,4,25,559.171,224.867,43.876
5,1,201,v70-v78,500,24,71,17.339,11.28,0.651,0.338,0.339,0,2,,-0.543,-0.387,7.328,4.187,1.0,0.629,0.603,0.634,0.366,0.263,0.73,0,16.248,51.6278,2.1775,1,0,281.245,295.621,311.709,0,317,5,30,544.339,226.653,53.968
6,1,363,v70-v78,300,14,43,15.693,10.813,0.689,0.326,0.324,0,2,,0.939,-1.037,89.245,3.254,0.996,0.589,0.559,0.608,0.392,0.098,0.644,0,51.6278,33.592,0.3493,1,0,253.147,292.932,311.444,0,375,6,35,539.821,227.247,64.546
7,1,339,v78-v85,180,8,26,18.299,13.063,0.714,0.308,0.306,0,2,,1.818,-0.05,64.068,2.041,0.356,0.593,0.507,0.605,0.395,0.878,0.562,0,22.9046,16.8216,0.2656,1,0,270.332,283.968,299.208,0,435,7,40,498.628,196.711,72.317
8,1,314,v19-v24,340,15,49,15.626,10.944,0.7,0.306,0.305,0,2,,1.926,0.934,19.506,7.375,0.108,0.546,0.683,0.618,0.382,0.795,0.371,0,40.3711,37.1204,0.0805,0,0,275.285,291.042,306.449,0,502,9,46,533.906,214.548,82.621
9,1,217,v19-v24,500,29,71,15.318,9.373,0.612,0.408,0.406,0,3,,0.308,-0.076,21.438,10.016,0.619,0.616,0.508,0.587,0.413,0.635,0.626,0,40.3711,64.7531,0.6039,1,0,302.874,342.675,354.986,0,579,10,53,550.374,222.453,95.424
10,1,372,v12-v19,220,11,31,16.879,10.701,0.634,0.355,0.356,0,2,,0.234,-1.394,67.498,8.788,0.375,0.659,0.651,0.653,0.347,0.94,0.571,0,15.7986,23.9254,0.5144,1,0,272.656,283.629,311.377,0,649,11,59,527.075,203.539,106.312
