# ICDDR Delhi Scenario Trace (Formula-Aligned Synthetic Dataset)
# Seed=502 | Duration=3600s | RSU_Distance=800m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:03:25.296906Z

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,Relevance_R,rho,gamma,SuitabilityIndex_Si,w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,1195,D86-94,220,12,31,15.28,9.108,0.596,0.387,0.389,0,2,0.384,0.691,0.309,0.388,16.2283,27.7017,0.707,1,0,289.984,338.757,363.23,73,0,5,627.702,277.76,13.882
2,1,1357,D26-35,260,15,37,16.758,9.84,0.587,0.405,0.406,0,3,0.296,0.662,0.338,0.297,25.5557,30.6452,0.1992,0,0,306.491,354.91,374.18,148,0,11,643.426,286.01,26.923
3,1,1025,D26-35,380,24,54,16.169,7.951,0.492,0.444,0.451,0,3,0.193,0.704,0.296,0.221,25.5557,49.0353,0.9188,1,0,316.182,338.495,364.607,227,0,18,714.59,316.773,42.653
4,1,1336,D10-18,340,23,49,13.686,6.518,0.476,0.469,0.475,0,3,0.303,0.669,0.331,0.334,30.1651,53.6368,0.7781,1,0,322.722,349.304,353.097,308,0,25,706.2,317.578,60.396
5,1,1125,D86-94,220,14,31,15.686,8.104,0.517,0.452,0.455,0,3,0.391,0.678,0.322,0.519,27.7017,29.5536,0.0669,0,0,357.158,398.941,412.08,388,0,32,690.9,309.557,75.97
6,1,1195,D69-77,420,26,60,14.183,7.75,0.546,0.433,0.435,0,3,0.021,0.69,0.31,0.098,41.5913,60.8372,0.4627,1,0,326.385,374.198,365.351,466,0,38,686.638,305.323,91.896
7,1,1127,D10-18,340,20,49,13.718,7.659,0.558,0.408,0.412,0,3,0.033,0.694,0.306,0.184,53.6368,49.1472,0.0837,0,0,294.238,315.665,332.683,541,0,44,663.707,293.522,107.788
8,1,1114,D26-35,300,18,43,12.121,6.999,0.577,0.419,0.419,0,3,0.296,0.679,0.321,0.516,49.0353,49.8069,0.0157,0,0,307.546,326.521,385.153,617,0,50,693.134,305.388,124.602
9,1,1086,D47-58,420,26,60,15.16,7.737,0.51,0.433,0.439,0,3,0.12,0.696,0.304,0.248,35.9327,56.9162,0.584,1,0,313.401,345.667,350.981,695,0,56,697.935,309.277,140.544
10,1,1189,D18-26,460,26,66,13.549,8.211,0.606,0.394,0.394,0,2,0.129,0.713,0.287,0.312,20.0543,65.9694,2.2895,1,0,330.173,359.342,372.799,769,0,61,652.658,287.521,155.633
11,1,1041,D18-26,420,24,60,13.654,8.282,0.607,0.4,0.399,0,2,0.285,0.677,0.323,0.287,65.9694,60.2918,0.0861,0,0,321.407,351.45,351.9,844,0,67,652.345,288.321,170.665
12,1,1337,D86-94,260,15,37,12.386,6.938,0.56,0.405,0.409,0,3,0.486,0.703,0.297,0.419,27.7017,41.462,0.4967,1,0,350.67,374.682,422.247,919,0,73,633.434,282.513,187.478
13,1,1190,D77-86,300,20,43,14.749,7.739,0.525,0.465,0.466,0,3,0.172,0.677,0.323,0.374,40.8353,43.6614,0.0692,0,0,309.971,337.237,347.279,1000,0,80,693.744,312.578,203.608
14,1,1343,D94-105,460,27,66,16.365,9.135,0.558,0.409,0.412,0,3,0.376,0.659,0.341,0.496,34.3355,55.8114,0.6255,1,0,332.622,364.875,410.162,1075,0,86,655.882,290.922,217.587
