# ICDDR paper-aligned synthetic trace (formula-consistent template)
# Seed: 404
# Generated: 2026-02-14T10:52:44.345954Z
# Scenario: Manhattan | Duration: 3600s | k=3 | w_th=0.2 | λ=0.1 | V2V range=500m | Max hops=4 | RSU interval=1000m
# NOTE: Values are synthetically generated but constrained by the paper’s equations and parameter ranges; replace with real simulator outputs for publication.

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,CAM_ID,Ms_slope,Mr_slope,Theta_deg,DeltaC,Relevance_R,Urgency_U,TimeFactor_T,rho,gamma,Dnorm,SuitabilityIndex_Si,ForwarderSelected(0/1),w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,380,v78-v85,300,13,43,16.524,11.534,0.698,0.302,0.302,0,2,,-0.283,-1.351,37.708,7.126,0.209,0.565,0.601,0.612,0.388,0.262,0.23,0,18.316,30.7923,0.6812,1,0,272.754,283.644,321.276,0,54,2,5,513.134,210.899,9.573
2,1,338,v31-v37,420,20,60,15.906,10.055,0.632,0.333,0.337,0,2,,-0.583,-0.171,20.529,3.922,0.614,0.651,0.523,0.63,0.37,0.543,0.588,0,15.7187,46.9436,1.9865,1,0,291.979,325.75,356.964,0,123,3,11,536.769,207.28,21.107
3,1,203,v61-v70,180,10,26,16.897,10.33,0.611,0.385,0.385,0,2,,1.924,-0.284,78.391,5.17,0.936,0.63,0.696,0.639,0.361,0.273,0.696,0,32.339,20.4229,0.3685,1,0,284.103,314.922,320.417,0,187,5,16,539.793,211.044,32.618
4,1,309,v24-v31,500,27,71,17.852,10.469,0.586,0.38,0.384,0,2,,0.058,0.993,41.464,2.641,0.73,0.656,0.594,0.633,0.367,0.553,0.665,0,29.8767,53.3601,0.786,1,0,303.012,324.684,351.652,0,251,7,23,550.956,223.449,43.937
5,1,289,v70-v78,220,10,31,18.05,12.605,0.698,0.323,0.32,0,2,,-1.859,0.34,80.481,1.901,0.947,0.589,0.538,0.605,0.395,0.944,0.946,0,26.6866,21.32,0.2011,1,0,273.368,310.234,298.733,0,318,9,28,503.053,189.407,52.346
6,1,223,v45-v52,180,8,26,14.767,9.975,0.676,0.308,0.309,0,2,,1.166,-1.982,67.386,4.323,0.874,0.533,0.642,0.603,0.397,0.272,0.635,0,31.9211,20.844,0.347,1,0,282.434,316.781,325.184,0,366,11,31,519.19,214.98,63.822
7,1,235,v19-v24,460,24,66,15.706,9.833,0.626,0.364,0.365,0,2,,1.918,0.862,21.697,2.73,0.621,0.614,0.582,0.614,0.386,0.479,0.566,0,39.7745,54.4607,0.3692,1,0,288.846,317.483,347.841,0,435,13,36,553.687,222.597,75.804
8,1,351,v24-v31,340,19,49,16.18,9.656,0.597,0.388,0.389,0,2,,1.887,-0.93,75.008,4.066,0.917,0.64,0.558,0.615,0.385,0.919,0.917,0,53.3601,40.4696,0.2416,1,0,297.594,307.963,350.508,0,492,14,41,568.352,233.085,88.144
9,1,307,v37-v45,180,11,26,17.888,9.73,0.544,0.423,0.426,0,3,,0.137,1.248,43.515,3.23,0.742,0.632,0.569,0.603,0.397,0.703,0.726,0,37.5117,20.3786,0.4567,1,0,295.543,310.5,334.619,0,556,15,47,559.08,242.267,100.607
10,1,259,v45-v52,460,22,66,17.131,11.303,0.66,0.333,0.334,0,2,,-1.58,-1.384,3.514,2.578,1.0,0.624,0.644,0.641,0.359,0.407,0.787,0,20.844,47.7372,1.2902,1,0,288.164,327.257,324.851,0,608,16,51,544.816,228.648,110.643
11,1,207,v37-v45,300,15,43,17.045,11.387,0.668,0.349,0.347,0,2,,1.657,-0.491,85.059,8.222,0.473,0.625,0.522,0.612,0.388,0.71,0.565,0,20.3786,32.021,0.5713,1,0,297.341,308.586,357.703,0,667,16,56,555.927,227.068,120.672
12,1,194,v70-v78,460,24,66,19.141,12.406,0.648,0.364,0.362,0,2,,1.59,0.568,28.218,10.763,0.657,0.584,0.555,0.594,0.406,0.49,0.589,0,21.32,44.6873,1.096,1,0,295.426,308.124,334.455,0,739,17,61,551.121,220.45,129.567
13,1,144,v45-v52,380,21,54,17.165,10.766,0.627,0.389,0.387,0,2,,0.433,-0.098,29.008,4.749,0.661,0.672,0.601,0.639,0.361,0.477,0.595,0,47.7372,42.7044,0.1054,0,0,299.232,316.704,352.495,0,799,19,67,542.569,222.661,140.581
14,1,374,v12-v19,300,15,43,16.158,10.665,0.66,0.349,0.348,0,2,,-0.388,1.641,79.864,1.916,0.444,0.624,0.616,0.63,0.37,0.231,0.365,0,29.7856,33.7796,0.1341,0,0,292.049,327.411,347.868,0,854,19,71,520.065,207.388,151.476
15,1,105,v31-v37,460,25,66,16.171,9.93,0.614,0.379,0.38,0,2,,0.915,-0.165,51.821,4.173,0.788,0.631,0.641,0.63,0.37,0.532,0.693,0,46.9436,54.0773,0.152,0,0,282.927,306.934,328.397,0,915,20,77,577.618,224.598,163.433
