# ICDDR Delhi Scenario Trace (Formula-Aligned Synthetic Dataset)
# Seed=501 | Duration=3600s | RSU_Distance=800m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:03:25.225782Z

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,Relevance_R,rho,gamma,SuitabilityIndex_Si,w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,1191,D77-86,220,14,31,13.984,7.381,0.528,0.452,0.454,0,3,0.001,0.653,0.347,0.173,25.5533,33.1507,0.2973,1,0,362.105,404.456,425.187,80,0,7,673.985,303.637,16.514
2,1,1398,D18-26,260,15,37,15.05,8.131,0.54,0.405,0.411,0,3,0.397,0.67,0.33,0.579,33.8618,34.1235,0.0077,0,0,348.454,379.772,418.97,155,0,13,643.494,286.034,31.777
3,1,1203,D18-26,380,22,54,13.657,8.012,0.587,0.407,0.408,0,3,0.255,0.664,0.336,0.343,33.8618,55.1149,0.6276,1,0,339.301,368.087,370.551,230,0,19,693.844,303.956,47.205
4,1,1038,D58-69,300,20,43,14.227,6.751,0.475,0.465,0.471,0,3,0.481,0.656,0.344,0.505,25.917,45.2646,0.7465,1,0,312.774,356.219,389.785,311,0,26,693.775,312.589,64.619
5,1,1356,D86-94,300,15,43,14.906,9.652,0.648,0.349,0.349,0,2,0.061,0.64,0.36,0.211,43.4094,36.6176,0.1565,0,0,317.733,342.914,374.639,380,0,30,647.869,279.08,77.564
6,1,1067,D10-18,380,22,54,16.216,8.902,0.549,0.407,0.412,0,3,0.007,0.681,0.319,0.225,34.1826,46.4172,0.3579,1,0,305.14,338.253,362.047,455,0,36,694.036,304.024,91.836
7,1,1001,D26-35,380,24,54,13.141,7.289,0.555,0.444,0.445,0,3,0.358,0.692,0.308,0.409,22.2277,60.3324,1.7143,1,0,356.586,396.536,418.725,534,0,43,680.412,304.811,108.427
8,1,1120,D69-77,220,12,31,12.404,6.88,0.555,0.387,0.393,0,2,0.401,0.698,0.302,0.516,36.5406,34.1246,0.0661,0,0,287.541,328.037,342.334,607,0,48,658.409,288.508,125.207
9,1,1022,D69-77,380,20,54,13.974,8.722,0.624,0.37,0.371,0,2,0.047,0.69,0.31,0.239,36.5406,51.0668,0.3975,1,0,300.418,335.175,338.315,679,0,53,617.227,271.585,139.49
10,1,1230,D86-94,260,16,37,15.768,8.834,0.56,0.432,0.433,0,3,0.248,0.661,0.339,0.449,43.4094,33.8336,0.2206,1,0,333.027,349.527,365.758,757,0,59,707.394,312.453,154.001
