# ICDDR Delhi Scenario Trace (Formula-Aligned Synthetic Dataset)
# Seed=505 | Duration=3600s | RSU_Distance=800m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:03:25.499430Z

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,Relevance_R,rho,gamma,SuitabilityIndex_Si,w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,1208,D94-105,380,23,54,16.896,8.938,0.529,0.426,0.43,0,3,0.276,0.666,0.334,0.33,40.2885,45.7303,0.1351,0,0,306.401,325.672,357.976,77,0,6,698.96,308.525,14.336
2,1,1270,D47-58,420,26,60,16.222,8.48,0.523,0.433,0.438,0,3,0.398,0.692,0.308,0.398,23.8166,53.1904,1.2333,1,0,311.113,328.639,377.64,155,0,12,709.836,313.442,29.312
3,1,1361,D94-105,460,30,66,13.394,6.265,0.468,0.455,0.462,0,3,0.085,0.691,0.309,0.36,40.2885,72.6638,0.8036,1,0,306.982,352.416,377.627,235,0,19,700.185,313.247,47.294
4,1,1318,D47-58,420,28,60,15.278,7.315,0.479,0.467,0.472,0,3,0.412,0.69,0.31,0.474,53.1904,59.1369,0.1118,0,0,369.603,406.945,419.121,316,0,26,685.014,309.755,63.984
5,1,1248,D35-47,380,22,54,13.51,7.719,0.571,0.407,0.41,0,3,0.35,0.663,0.337,0.54,36.0496,55.7138,0.5455,1,0,312.337,355.71,343.396,391,0,32,640.093,285.144,79.794
6,1,1255,D18-26,340,20,49,13.157,6.992,0.531,0.408,0.414,0,3,0.273,0.651,0.349,0.503,40.3293,51.2428,0.2706,1,0,335.868,368.967,368.679,466,0,38,663.811,293.558,96.553
7,1,1001,D77-86,380,20,54,11.974,7.675,0.641,0.37,0.369,0,2,0.252,0.68,0.32,0.423,16.8148,59.5978,2.5444,1,0,307.529,354.137,368.918,538,0,43,620.091,272.587,112.198
8,1,1199,D86-94,460,26,66,15.449,9.038,0.585,0.394,0.396,0,2,0.123,0.66,0.34,0.276,43.7743,57.8544,0.3217,1,0,289.713,333.623,359.257,612,0,48,683.294,298.244,126.212
9,1,1264,D86-94,340,19,49,14.201,8.728,0.615,0.388,0.388,0,2,0.493,0.667,0.333,0.641,57.8544,46.1105,0.203,1,0,337.588,378.422,406.016,685,0,53,642.511,283.042,140.592
10,1,1156,D69-77,220,12,31,15.891,8.828,0.556,0.387,0.393,0,2,0.335,0.67,0.33,0.508,34.3369,26.6371,0.2242,1,0,331.671,379.327,394.697,758,0,58,649.288,285.315,154.838
