# ICDDR Delhi Scenario Trace (Formula-Aligned Synthetic Dataset)
# Seed=503 | Duration=3600s | RSU_Distance=800m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:03:25.368237Z

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,Relevance_R,rho,gamma,SuitabilityIndex_Si,w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
1,1,1286,D77-86,340,22,49,15.082,7.968,0.528,0.449,0.451,0,3,0.26,0.698,0.302,0.344,35.9908,47.3305,0.3151,1,0,347.544,372.291,418.893,79,0,7,676.265,304.04,15.735
2,1,1251,D26-35,300,19,43,14.645,8.024,0.548,0.442,0.443,0,3,0.037,0.67,0.33,0.205,20.7639,42.5861,1.051,1,0,356.076,373.375,386.873,158,0,13,706.343,313.499,31.355
3,1,1356,D58-69,340,22,49,15.293,8.212,0.537,0.449,0.45,0,3,0.047,0.641,0.359,0.156,15.5648,46.6776,1.9989,1,0,351.2,390.699,427.207,237,0,20,713.251,316.985,46.773
4,1,1148,D86-94,260,16,37,15.583,7.83,0.502,0.432,0.439,0,3,0.37,0.666,0.334,0.56,15.8696,34.2353,1.1573,1,0,325.533,359.203,401.371,315,0,26,691.352,306.838,62.588
5,1,1291,D26-35,460,24,66,12.327,7.73,0.627,0.364,0.365,0,2,0.21,0.68,0.32,0.391,42.5861,69.3883,0.6294,1,0,321.719,369.174,364.52,386,0,31,665.705,287.542,78.122
6,1,1202,D94-105,420,21,60,11.122,7.115,0.64,0.35,0.351,0,2,0.434,0.651,0.349,0.5,16.0334,68.8242,3.2925,1,0,321.25,346.27,364.205,456,0,35,608.566,265.498,94.373
7,1,1280,D86-94,420,24,60,14.923,8.397,0.563,0.4,0.404,0,3,0.345,0.698,0.302,0.532,34.2353,55.1641,0.6113,1,0,301.709,343.895,359.404,531,0,41,671.673,295.086,109.256
8,1,1194,D58-69,460,26,66,15.618,8.757,0.561,0.394,0.398,0,2,0.04,0.684,0.316,0.211,46.6776,57.2284,0.226,1,0,308.441,330.075,387.396,605,0,46,627.498,278.715,123.635
9,1,1059,D58-69,220,14,31,14.446,7.097,0.491,0.452,0.457,0,3,0.224,0.653,0.347,0.305,57.2284,32.0899,0.4393,1,0,343.656,368.436,398.886,685,0,53,716.194,318.41,140.518
10,1,1014,D69-77,300,15,43,12.957,8.269,0.638,0.349,0.35,0,2,0.125,0.654,0.346,0.415,38.6429,42.1258,0.0901,0,0,292.545,333.618,353.223,754,0,57,644.305,277.832,155.262
11,1,1271,D35-47,340,21,49,14.325,7.886,0.55,0.429,0.431,0,3,0.261,0.685,0.315,0.293,24.328,48.4367,0.991,1,0,348.571,386.255,422.739,831,0,63,666.566,297.584,170.981
12,1,1311,D69-77,420,28,60,13.99,6.393,0.457,0.467,0.474,0,3,0.269,0.68,0.32,0.479,38.6429,64.5799,0.6712,1,0,313.553,350.087,375.616,912,0,70,714.788,320.176,188.871
13,1,1282,D58-69,300,16,43,14.46,8.57,0.593,0.372,0.376,0,2,0.134,0.646,0.354,0.363,32.0899,39.0588,0.2172,1,0,317.15,349.267,371.298,984,0,75,614.405,270.856,203.363
14,1,1249,D10-18,300,16,43,16.545,9.743,0.589,0.372,0.376,0,2,0.252,0.682,0.318,0.327,20.129,34.1369,0.6959,1,0,309.199,324.208,377.074,1056,0,80,629.431,276.115,216.33
15,1,1264,D35-47,260,15,37,12.658,7.522,0.594,0.405,0.405,0,3,0.12,0.678,0.322,0.204,48.4367,40.5712,0.1624,0,0,302.017,345.363,333.204,1131,0,86,657.163,290.818,232.384
16,1,1024,D35-47,340,23,49,13.579,6.39,0.471,0.469,0.475,0,3,0.319,0.666,0.334,0.434,48.4367,54.0621,0.1161,0,0,352.347,367.604,398.242,1212,0,93,671.955,305.592,250.294
17,1,1111,D58-69,220,12,31,17.303,9.945,0.575,0.387,0.391,0,2,0.26,0.675,0.325,0.35,39.0588,24.4632,0.3737,1,0,315.733,333.074,372.256,1285,0,98,661.977,289.756,263.088
18,1,1302,D10-18,220,13,31,14.036,8.022,0.572,0.419,0.42,0,3,0.179,0.694,0.306,0.365,34.1369,31.577,0.075,0,0,340.065,388.414,414.016,1361,0,104,695.804,306.434,278.575
19,1,1035,D69-77,220,13,31,15.382,8.207,0.534,0.419,0.424,0,3,0.182,0.691,0.309,0.215,64.5799,28.8141,0.5538,1,0,332.128,373.877,370.834,1437,0,110,692.4,305.243,293.823
20,1,1101,D35-47,380,25,54,12.552,6.443,0.513,0.463,0.465,0,3,0.467,0.658,0.342,0.526,48.4367,64.7931,0.3377,1,0,358.645,393.463,414.142,1518,0,117,684.478,309.012,311.625
